Date,High,Low,Open,Close,Volume,Adj Close,LW-15ma,LW-50ma,LW-100ma,LW-200ma
2016-11-10,32.349998474121094,29.81999969482422,32.040000915527344,30.329999923706055,35019100.0,29.212799072265625,29.212799072265625,29.212799072265625,29.212799072265625,29.212799072265625
2016-11-11,30.09000015258789,28.850000381469727,29.799999237060547,29.889999389648438,6020100.0,28.78900909423828,29.000904083251953,29.000904083251953,29.000904083251953,29.000904083251953
2016-11-14,30.43000030517578,28.75,29.34000015258789,30.190000534057617,4481900.0,29.077959060668945,29.026589075724285,29.026589075724285,29.026589075724285,29.026589075724285
2016-11-15,30.700000762939453,29.6200008392334,29.639999389648438,30.43000030517578,3667200.0,29.309120178222656,29.097221851348877,29.097221851348877,29.097221851348877,29.097221851348877
2016-11-16,32.040000915527344,30.610000610351562,30.770000457763672,31.700000762939453,4342300.0,30.53234100341797,29.384245681762696,29.384245681762696,29.384245681762696,29.384245681762696
2016-11-17,33.064998626708984,30.635000228881836,31.399999618530273,32.5099983215332,5252000.0,31.312496185302734,29.705620765686035,29.705620765686035,29.705620765686035,29.705620765686035
2016-11-18,33.099998474121094,31.790000915527344,32.13999938964844,32.68000030517578,4253400.0,31.476240158081055,29.958566393171036,29.958566393171036,29.958566393171036,29.958566393171036
2016-11-21,32.5,31.290000915527344,32.2599983215332,31.739999771118164,5036700.0,30.570863723754883,30.03510355949402,30.03510355949402,30.03510355949402,30.03510355949402
2016-11-22,33.150001525878906,30.43000030517578,31.520000457763672,32.70000076293945,5601700.0,31.495508193969727,30.197370741102432,30.197370741102432,30.197370741102432,30.197370741102432
2016-11-23,33.470001220703125,32.5,32.70000076293945,33.02000045776367,3619500.0,31.803714752197266,30.358005142211915,30.358005142211915,30.358005142211915,30.358005142211915
2016-11-25,32.779998779296875,32.27000045776367,32.7599983215332,32.59000015258789,827800.0,31.389558792114258,30.451782746748492,30.451782746748492,30.451782746748492,30.451782746748492
