Date,High,Low,Open,Close,Volume,Adj Close,AMG-15ma,AMG-50ma,AMG-100ma,AMG-200ma
2000-01-03,26.0,24.45833396911621,26.0,24.5,744000.0,23.938833236694336,23.938833236694336,23.938833236694336,23.938833236694336,23.938833236694336
2000-01-04,24.45833396911621,22.33333396911621,24.45833396911621,22.54166603088379,118800.0,22.02535057067871,22.982091903686523,22.982091903686523,22.982091903686523,22.982091903686523
2000-01-05,22.54166603088379,21.79166603088379,22.54166603088379,22.0,133600.0,21.49609375,22.486759185791016,22.486759185791016,22.486759185791016,22.486759185791016
2000-01-06,23.33333396911621,22.125,22.16666603088379,22.66666603088379,132100.0,22.14748764038086,22.401941299438477,22.401941299438477,22.401941299438477,22.401941299438477
2000-01-07,23.66666603088379,22.75,22.75,23.20833396911621,55500.0,22.6767520904541,22.4569034576416,22.4569034576416,22.4569034576416,22.4569034576416
2000-01-10,23.83333396911621,23.25,23.25,23.79166603088379,119200.0,23.246719360351562,22.588539441426594,22.588539441426594,22.588539441426594,22.588539441426594
2000-01-11,23.79166603088379,23.5,23.79166603088379,23.70833396911621,155500.0,23.16529655456543,22.670933314732142,22.670933314732142,22.670933314732142,22.670933314732142
2000-01-12,23.75,23.41666603088379,23.66666603088379,23.75,140100.0,23.206010818481445,22.737818002700806,22.737818002700806,22.737818002700806,22.737818002700806
2000-01-13,25.25,24.16666603088379,24.16666603088379,24.95833396911621,52300.0,24.386667251586914,22.921023474799263,22.921023474799263,22.921023474799263,22.921023474799263
2000-01-14,25.54166603088379,25.0,25.0,25.5,53700.0,24.915922164916992,23.120513343811034,23.120513343811034,23.120513343811034,23.120513343811034
2000-01-18,26.83333396911621,25.83333396911621,25.83333396911621,26.45833396911621,403200.0,25.85230827331543,23.368858337402344,23.368858337402344,23.368858337402344,23.368858337402344
2000-01-19,26.45833396911621,25.58333396911621,26.45833396911621,26.125,101500.0,25.526607513427734,23.548670768737793,23.548670768737793,23.548670768737793,23.548670768737793
2000-01-20,26.33333396911621,26.0,26.25,26.08333396911621,33700.0,25.485897064208984,23.69768817608173,23.69768817608173,23.69768817608173,23.69768817608173
2000-01-21,26.125,24.25,26.0,24.66666603088379,126900.0,24.101675033569336,23.72654438018799,23.72654438018799,23.72654438018799,23.72654438018799
