Date,High,Low,Open,Close,Volume,Adj Close,GS-15ma,GS-50ma,GS-100ma,GS-200ma
2000-01-03,94.375,87.75,94.1875,88.3125,1822600.0,71.16172790527344,71.16172790527344,71.16172790527344,71.16172790527344,71.16172790527344
2000-01-04,87.5,82.25,87.0,82.75,1647700.0,66.67945098876953,68.92058944702148,68.92058944702148,68.92058944702148,68.92058944702148
2000-01-05,81.875,78.375,80.875,78.875,1516600.0,63.55701446533203,67.13273111979167,67.13273111979167,67.13273111979167,67.13273111979167
2000-01-06,84.5,78.625,78.625,82.25,1845100.0,66.27658081054688,66.91869354248047,66.91869354248047,66.91869354248047,66.91869354248047
2000-01-07,83.1875,79.875,83.0625,82.5625,1127400.0,66.52835083007812,66.840625,66.840625,66.840625,66.840625
2000-01-10,84.875,81.75,81.75,84.375,803100.0,67.98886108398438,67.03199768066406,67.03199768066406,67.03199768066406,67.03199768066406
2000-01-11,86.25,84.5625,85.0,84.8125,808600.0,68.34142303466797,67.21905844552177,67.21905844552177,67.21905844552177,67.21905844552177
2000-01-12,86.0,83.375,84.125,84.375,916100.0,67.98886108398438,67.31528377532959,67.31528377532959,67.31528377532959,67.31528377532959
2000-01-13,85.125,82.875,85.125,84.5,711000.0,68.089599609375,67.4013188680013,67.4013188680013,67.4013188680013,67.4013188680013
2000-01-14,86.9375,85.3125,85.5,85.625,607000.0,68.99612426757812,67.56079940795898,67.56079940795898,67.56079940795898,67.56079940795898
2000-01-18,89.125,84.75,85.0,86.875,1095700.0,70.00334930419922,67.78284939852628,67.78284939852628,67.78284939852628,67.78284939852628
2000-01-19,89.375,86.75,86.875,87.5625,636900.0,70.55733489990234,68.01405652364095,68.01405652364095,68.01405652364095,68.01405652364095
2000-01-20,87.9375,84.875,87.0,85.9375,621800.0,69.34293365478516,68.11627784142128,68.11627784142128,68.11627784142128,68.11627784142128
2000-01-21,86.1875,84.5625,86.1875,85.6875,542500.0,69.1412124633789,68.18948745727539,68.18948745727539,68.18948745727539,68.18948745727539
2000-01-24,87.5,81.5,87.5,81.75,712900.0,65.96407318115234,68.04112650553385,68.04112650553385,68.04112650553385,68.04112650553385
2000-01-25,84.1875,82.375,83.0,83.875,749300.0,67.6787338256836,67.80892690022786,68.01847696304321,68.01847696304321,68.01847696304321
2000-01-26,88.5,84.125,84.125,88.25,1086600.0,71.20889282226562,68.1108896891276,68.20614848417394,68.20614848417394,68.20614848417394
2000-01-27,89.9375,87.625,88.25,89.0,702000.0,71.81410217285156,68.66136220296224,68.40659035576715,68.40659035576715,68.40659035576715
2000-01-28,88.0,86.125,87.5,87.0,776800.0,70.20026397705078,68.92294108072916,68.50099423057155,68.50099423057155,68.50099423057155
2000-01-31,91.6875,86.5,87.0,91.625,801800.0,73.93218994140625,69.41653035481771,68.77255401611328,68.77255401611328,68.77255401611328
2000-02-01,93.0,90.5,92.875,91.25,813100.0,73.62957763671875,69.792578125,69.00384085518974,69.00384085518974,69.00384085518974
2000-02-02,91.625,88.625,90.75,91.125,964700.0,73.52873992919922,70.13839925130209,69.20951808582653,69.20951808582653,69.20951808582653
2000-02-03,91.125,84.8125,90.0,85.375,2213300.0,68.88906860351562,70.1984130859375,69.1955854996391,69.1955854996391,69.1955854996391
2000-02-04,87.25,83.5625,87.25,84.6875,1451700.0,68.33434295654297,70.21472930908203,69.15970039367676,69.15970039367676,69.15970039367676
2000-02-07,86.5,83.5,84.4375,85.75,929800.0,69.19168853759766,70.22776692708334,69.1609799194336,69.1609799194336,69.1609799194336
2000-02-08,89.625,85.75,85.75,89.4375,1024800.0,72.16710662841797,70.37201741536458,69.27660017747145,69.27660017747145,69.27660017747145
2000-02-09,89.4375,86.5625,89.4375,86.75,397100.0,69.9985580444336,70.334765625,69.30333935772931,69.30333935772931,69.30333935772931
2000-02-10,87.3125,85.5,86.75,86.625,503200.0,69.89768981933594,70.37174936930339,69.32456615992955,69.32456615992955,69.32456615992955
2000-02-11,88.75,85.0,86.4375,85.125,856900.0,68.68733215332031,70.34149068196615,69.30259257349475,69.30259257349475,69.30259257349475
2000-02-14,86.875,84.625,85.125,86.5,627800.0,69.79684448242188,70.59700876871744,69.31906763712566,69.31906763712566,69.31906763712566
2000-02-15,86.625,85.125,86.25,86.5,542400.0,69.79684448242188,70.73821614583333,69.33447979342553,69.33447979342553,69.33447979342553
2000-02-16,87.3125,82.875,86.75,82.9375,720300.0,66.92224884033203,70.45243988037109,69.25909757614136,69.25909757614136,69.25909757614136
2000-02-17,84.75,81.125,84.75,82.125,895500.0,66.26665496826172,70.08261006673177,69.1684174971147,69.1684174971147,69.1684174971147
2000-02-18,84.5,80.75,84.5,80.8125,925500.0,65.20758819580078,69.74976501464843,69.0519225176643,69.0519225176643,69.0519225176643
2000-02-22,82.375,80.6875,81.25,81.5625,720100.0,65.81272888183594,69.20846761067709,68.9593741280692,68.9593741280692,68.9593741280692
2000-02-23,87.0,81.0625,81.3125,85.75,702900.0,69.19168853759766,68.91260833740235,68.96582730611165,68.96582730611165,68.96582730611165
2000-02-24,89.9375,85.5,85.8125,89.625,1199800.0,72.318359375,68.83191630045573,69.05643628094647,69.05643628094647,69.05643628094647
2000-02-25,94.0,88.25,89.4375,89.25,1333000.0,72.01581573486328,69.04036610921224,69.13431468762849,69.13431468762849,69.13431468762849
2000-02-28,89.25,87.0,89.25,88.0,518000.0,71.0071792602539,69.2185551961263,69.18233685615735,69.18233685615735,69.18233685615735
2000-02-29,92.5,88.0,88.75,92.5,1381200.0,74.63821411132812,69.58165690104167,69.31873378753662,69.31873378753662,69.31873378753662
2000-03-01,96.75,93.1875,93.25,94.75,1488900.0,76.45375061035156,69.8674331665039,69.49275858809308,69.49275858809308,69.49275858809308
2000-03-02,97.875,94.125,95.25,96.25,1819200.0,77.66410064697266,70.3784693400065,69.68731435139973,69.68731435139973,69.68731435139973
