Date,High,Low,Open,Close,Volume,Adj Close,APA-15ma,APA-50ma,APA-100ma,APA-200ma
2000-01-03,15.882034301757812,14.745671272277832,15.882034301757812,14.772727012634277,1082400.0,11.968017578125,11.968017578125,11.968017578125,11.968017578125,11.968017578125
2000-01-04,14.55627727508545,13.961038589477539,14.285714149475098,14.123376846313477,2959400.0,11.4419527053833,11.70498514175415,11.70498514175415,11.70498514175415,11.70498514175415
2000-01-05,14.583333015441895,14.123376846313477,14.23160171508789,14.529220581054688,2169800.0,11.770743370056152,11.72690455118815,11.72690455118815,11.72690455118815,11.72690455118815
2000-01-06,16.017316818237305,14.745671272277832,14.935065269470215,15.909090995788574,2415800.0,12.888636589050293,12.017337560653687,12.017337560653687,12.017337560653687,12.017337560653687
2000-01-07,16.45021629333496,15.55735969543457,16.12554168701172,15.854978561401367,1708800.0,12.84479808807373,12.182829666137696,12.182829666137696,12.182829666137696,12.182829666137696
2000-01-10,15.584415435791016,15.151515007019043,15.584415435791016,15.232684135437012,1621800.0,12.340644836425781,12.209132194519043,12.209132194519043,12.209132194519043,12.209132194519043
2000-01-11,15.44913387298584,15.097402572631836,15.232684135437012,15.286796569824219,1729400.0,12.384489059448242,12.234183175223214,12.234183175223214,12.234183175223214,12.234183175223214
2000-01-12,15.367965698242188,15.016233444213867,15.151515007019043,15.20562744140625,989400.0,12.318731307983398,12.244751691818237,12.244751691818237,12.244751691818237,12.244751691818237
2000-01-13,15.80086612701416,15.178571701049805,15.178571701049805,15.530303001403809,1492600.0,12.581766128540039,12.282197740342882,12.282197740342882,12.282197740342882,12.282197740342882
2000-01-14,15.69264030456543,15.178571701049805,15.638527870178223,15.395021438598633,2113000.0,12.472166061401367,12.30119457244873,12.30119457244873,12.30119457244873,12.30119457244873
2000-01-18,17.099567413330078,15.69264030456543,15.909090995788574,16.829004287719727,3291200.0,13.63389778137207,12.42234940962358,12.42234940962358,12.42234940962358,12.42234940962358
2000-01-19,17.207792282104492,16.693723678588867,17.207792282104492,16.720779418945312,2229400.0,13.546218872070312,12.516005198160807,12.516005198160807,12.516005198160807,12.516005198160807
2000-01-20,17.099567413330078,16.58549690246582,17.099567413330078,16.829004287719727,2245600.0,13.63389778137207,12.601996935330904,12.601996935330904,12.601996935330904,12.601996935330904
2000-01-21,18.12770652770996,16.964284896850586,17.15367889404297,17.42424201965332,3129400.0,14.11612319946289,12.710148811340332,12.710148811340332,12.710148811340332,12.710148811340332
