Date,High,Low,Open,Close,Volume,Adj Close,EW-15ma,EW-50ma,EW-100ma,EW-200ma
2000-03-27,4.15625,3.8125,3.8125,4.125,3675600.0,4.125,4.125,4.125,4.125,4.125
2000-03-28,4.125,4.0,4.125,4.015625,1077600.0,4.015625,4.0703125,4.0703125,4.0703125,4.0703125
2000-03-29,4.03125,3.953125,4.0,4.0,437200.0,4.0,4.046875,4.046875,4.046875,4.046875
2000-03-30,4.0,3.84375,4.0,3.84375,1883600.0,3.84375,3.99609375,3.99609375,3.99609375,3.99609375
2000-03-31,3.734375,3.390625,3.734375,3.390625,7931600.0,3.390625,3.875,3.875,3.875,3.875
2000-04-03,3.703125,3.4375,3.5,3.4375,11486800.0,3.4375,3.8020833333333335,3.8020833333333335,3.8020833333333335,3.8020833333333335
2000-04-04,3.578125,3.09375,3.53125,3.5,13136800.0,3.5,3.7589285714285716,3.7589285714285716,3.7589285714285716,3.7589285714285716
2000-04-05,3.5625,3.453125,3.46875,3.484375,6349600.0,3.484375,3.724609375,3.724609375,3.724609375,3.724609375
2000-04-06,3.59375,3.46875,3.5,3.578125,7181200.0,3.578125,3.7083333333333335,3.7083333333333335,3.7083333333333335,3.7083333333333335
2000-04-07,3.8125,3.59375,3.59375,3.609375,13904800.0,3.609375,3.6984375,3.6984375,3.6984375,3.6984375
2000-04-10,3.75,3.625,3.6875,3.640625,5280800.0,3.640625,3.6931818181818183,3.6931818181818183,3.6931818181818183,3.6931818181818183
2000-04-11,3.65625,3.5625,3.578125,3.578125,6590000.0,3.578125,3.68359375,3.68359375,3.68359375,3.68359375
2000-04-12,3.640625,3.53125,3.546875,3.578125,8546400.0,3.578125,3.675480769230769,3.675480769230769,3.675480769230769,3.675480769230769
2000-04-13,3.65625,3.578125,3.578125,3.61328125,6874400.0,3.61328125,3.6710379464285716,3.6710379464285716,3.6710379464285716,3.6710379464285716
2000-04-14,3.625,3.53125,3.609375,3.609375,2626000.0,3.609375,3.6669270833333334,3.6669270833333334,3.6669270833333334,3.6669270833333334
2000-04-17,3.609375,3.515625,3.578125,3.5625,2992000.0,3.5625,3.6294270833333333,3.660400390625,3.660400390625,3.660400390625
2000-04-18,3.625,3.484375,3.609375,3.515625,2896000.0,3.515625,3.59609375,3.6518841911764706,3.6518841911764706,3.6518841911764706
2000-04-19,3.65625,3.5625,3.5625,3.59375,4662400.0,3.59375,3.5690104166666665,3.648654513888889,3.648654513888889,3.648654513888889
2000-04-20,3.6875,3.5625,3.578125,3.65625,4558800.0,3.65625,3.556510416666667,3.6490542763157894,3.6490542763157894,3.6490542763157894
2000-04-24,3.65625,3.53125,3.59375,3.5625,3815200.0,3.5625,3.56796875,3.6447265625,3.6447265625,3.6447265625
2000-04-25,3.78125,3.46875,3.578125,3.765625,4635600.0,3.765625,3.58984375,3.650483630952381,3.650483630952381,3.650483630952381
2000-04-26,4.125,3.75,3.78125,3.828125,5321200.0,3.828125,3.61171875,3.6585582386363638,3.6585582386363638,3.6585582386363638
