Date,High,Low,Open,Close,Volume,Adj Close,ULTA-15ma,ULTA-50ma,ULTA-100ma,ULTA-200ma
2007-10-25,35.0,28.889999389648438,33.0,29.81999969482422,7486900.0,29.490022659301758,29.490022659301758,29.490022659301758,29.490022659301758,29.490022659301758
2007-10-26,32.97999954223633,29.25,29.690000534057617,32.0,1625600.0,31.64590072631836,30.56796169281006,30.56796169281006,30.56796169281006,30.56796169281006
2007-10-29,35.0,32.650001525878906,34.0,34.70000076293945,667900.0,34.31602478027344,31.81731605529785,31.81731605529785,31.81731605529785,31.81731605529785
2007-10-30,35.599998474121094,33.0,35.220001220703125,35.43000030517578,455600.0,35.03794479370117,32.62247323989868,32.62247323989868,32.62247323989868,32.62247323989868
2007-10-31,35.630001068115234,32.95000076293945,34.93000030517578,34.20000076293945,393200.0,33.821556091308594,32.86228981018066,32.86228981018066,32.86228981018066,32.86228981018066
2007-11-01,33.5,32.13999938964844,33.5,32.72999954223633,453900.0,32.367820739746094,32.77987829844157,32.77987829844157,32.77987829844157,32.77987829844157
2007-11-02,32.970001220703125,31.520000457763672,32.7400016784668,32.41999816894531,276000.0,32.06125259399414,32.67721748352051,32.67721748352051,32.67721748352051,32.67721748352051
2007-11-05,32.25,31.110000610351562,31.610000610351562,31.5,342300.0,31.15143394470215,32.48649454116821,32.48649454116821,32.48649454116821,32.48649454116821
2007-11-06,31.899999618530273,31.350000381469727,31.510000228881836,31.43000030517578,223100.0,31.08220863342285,32.33046277364095,32.33046277364095,32.33046277364095,32.33046277364095
2007-11-07,31.299999237060547,29.25,31.299999237060547,29.350000381469727,525600.0,29.025224685668945,31.99993896484375,31.99993896484375,31.99993896484375,31.99993896484375
2007-11-08,30.149999618530273,29.25,29.25,30.0,411100.0,29.668031692504883,31.787947394631125,31.787947394631125,31.787947394631125,31.787947394631125
2007-11-09,30.079999923706055,29.059999465942383,29.649999618530273,29.899999618530273,213400.0,29.569137573242188,31.60304657618205,31.60304657618205,31.60304657618205,31.60304657618205
2007-11-12,31.15999984741211,29.040000915527344,29.670000076293945,29.040000915527344,112900.0,28.718656539916992,31.381170419546272,31.381170419546272,31.381170419546272,31.381170419546272
2007-11-13,30.0,28.40999984741211,29.299999237060547,29.1299991607666,236700.0,28.80765724182129,31.197348049708776,31.197348049708776,31.197348049708776,31.197348049708776
2007-11-14,30.25,29.100000381469727,29.15999984741211,29.950000762939453,244500.0,29.61858558654785,31.09209721883138,31.09209721883138,31.09209721883138,31.09209721883138
2007-11-15,30.690000534057617,29.709999084472656,29.709999084472656,30.200000762939453,76800.0,29.865819931030273,31.117150370279948,31.01545488834381,31.01545488834381,31.01545488834381
2007-11-16,30.700000762939453,30.0,30.200000762939453,30.690000534057617,88900.0,30.35039710998535,31.030783462524415,30.97633384255802,30.97633384255802,30.97633384255802
2007-11-19,30.690000534057617,28.75,30.049999237060547,29.190000534057617,238300.0,28.866994857788086,30.66751480102539,30.859148343404133,30.859148343404133,30.859148343404133
2007-11-20,29.719999313354492,25.260000228881836,29.709999084472656,27.0,742900.0,26.701229095458984,30.11173375447591,30.640310488249128,30.640310488249128,30.640310488249128
2007-11-21,26.40999984741211,23.260000228881836,26.329999923706055,24.350000381469727,810400.0,24.08055305480957,29.462333552042644,30.31232261657715,30.31232261657715,30.31232261657715
