Date,High,Low,Open,Close,Volume,Adj Close,INTU-15ma,INTU-50ma,INTU-100ma,INTU-200ma
2000-01-03,30.1875,27.0,29.8046875,30.125,5070600.0,27.624204635620117,27.624204635620117,27.624204635620117,27.624204635620117,27.624204635620117
2000-01-04,31.0625,28.34375,28.5625,30.4375,6766400.0,27.9107608795166,27.76748275756836,27.76748275756836,27.76748275756836,27.76748275756836
2000-01-05,39.96875,30.75,30.96875,39.21875,22553000.0,35.963043212890625,30.49933624267578,30.49933624267578,30.49933624267578,30.49933624267578
2000-01-06,37.96875,35.0,36.71875,35.0,8734000.0,32.094520568847656,30.89813232421875,30.89813232421875,30.89813232421875,30.89813232421875
2000-01-07,37.375,31.84375,34.8125,36.78125,8537800.0,33.7278938293457,31.46408462524414,31.46408462524414,31.46408462524414,31.46408462524414
2000-01-10,45.0,36.625,37.5,42.5625,8397400.0,39.02922058105469,32.724940617879234,32.724940617879234,32.724940617879234,32.724940617879234
2000-01-11,42.1875,39.625,41.46875,41.1875,5694200.0,37.76836013793945,33.445429120744976,33.445429120744976,33.445429120744976,33.445429120744976
2000-01-12,40.90625,33.1875,40.875,35.5625,8344000.0,32.61031723022461,33.34104013442993,33.34104013442993,33.34104013442993,33.34104013442993
2000-01-13,40.875,36.65625,36.8125,40.0,7782200.0,36.679443359375,33.71197382609049,33.71197382609049,33.71197382609049,33.71197382609049
2000-01-14,42.9375,38.8125,41.40625,40.6875,5880800.0,37.30986785888672,34.07176322937012,34.07176322937012,34.07176322937012,34.07176322937012
2000-01-18,40.65625,37.75,40.65625,38.375,3520400.0,35.189327239990234,34.17335995760831,34.17335995760831,34.17335995760831,34.17335995760831
2000-01-19,39.0625,36.96875,38.5,37.25,3553600.0,34.15773391723633,34.17205778757731,34.17205778757731,34.17205778757731,34.17205778757731
2000-01-20,39.15625,37.0,37.75,38.1875,4420800.0,35.017391204833984,34.237083435058594,34.237083435058594,34.237083435058594,34.237083435058594
2000-01-21,39.625,37.0625,39.5,37.8125,6374400.0,34.67354202270508,34.268259048461914,34.268259048461914,34.268259048461914,34.268259048461914
2000-01-24,37.8125,33.6875,37.78125,33.78125,4457400.0,30.976940155029297,34.04883778889974,34.04883778889974,34.04883778889974,34.04883778889974
