Date,High,Low,Open,Close,Volume,Adj Close,CAT-15ma,CAT-50ma,CAT-100ma,CAT-200ma
2000-01-03,24.5,23.84375,23.84375,24.3125,5055000.0,14.079662322998047,14.079662322998047,14.079662322998047,14.079662322998047,14.079662322998047
2000-01-04,24.875,24.0,24.3125,24.0,6181400.0,13.898690223693848,13.989176273345947,13.989176273345947,13.989176273345947,13.989176273345947
2000-01-05,25.09375,24.0,24.0,24.5625,6398600.0,14.224443435668945,14.067598660786947,14.067598660786947,14.067598660786947,14.067598660786947
2000-01-06,26.125,25.28125,25.28125,25.8125,5140600.0,14.94832992553711,14.287781476974487,14.287781476974487,14.287781476974487,14.287781476974487
2000-01-07,27.5625,26.375,26.375,26.65625,6360200.0,15.436959266662598,14.51761703491211,14.51761703491211,14.51761703491211,14.51761703491211
2000-01-10,27.28125,25.75,26.65625,25.78125,3682200.0,14.930230140686035,14.58638588587443,14.58638588587443,14.58638588587443,14.58638588587443
2000-01-11,26.59375,25.375,25.78125,25.375,3945600.0,14.694969177246094,14.60189778464181,14.60189778464181,14.60189778464181,14.60189778464181
2000-01-12,26.15625,25.5625,25.5625,25.8125,3401000.0,14.94832992553711,14.645201802253723,14.645201802253723,14.645201802253723,14.645201802253723
2000-01-13,26.6875,26.03125,26.03125,26.09375,3129400.0,15.111212730407715,14.696980794270834,14.696980794270834,14.696980794270834,14.696980794270834
2000-01-14,26.4375,25.9375,26.09375,25.96875,3044400.0,15.03881549835205,14.731164264678956,14.731164264678956,14.731164264678956,14.731164264678956
2000-01-18,25.875,24.9375,25.875,24.96875,4054200.0,14.550764083862305,14.714764248241078,14.714764248241078,14.714764248241078,14.714764248241078
2000-01-19,25.34375,24.65625,24.96875,24.65625,3424600.0,14.368645668029785,14.68592103322347,14.68592103322347,14.68592103322347,14.68592103322347
2000-01-20,24.96875,23.53125,24.65625,23.5625,4279200.0,13.73125171661377,14.6124849319458,14.6124849319458,14.6124849319458,14.6124849319458
2000-01-21,23.96875,22.8125,23.5625,23.6875,5000000.0,13.804096221923828,14.554742881229945,14.554742881229945,14.554742881229945,14.554742881229945
2000-01-24,23.625,22.53125,23.625,22.65625,5385600.0,13.203126907348633,14.464635149637859,14.464635149637859,14.464635149637859,14.464635149637859
