Date,High,Low,Open,Close,Volume,Adj Close,RL-15ma,RL-50ma,RL-100ma,RL-200ma
2000-01-03,17.875,17.3125,17.3125,17.4375,217000.0,14.689957618713379,14.689957618713379,14.689957618713379,14.689957618713379,14.689957618713379
2000-01-04,17.25,16.625,17.1875,16.75,92700.0,14.110783576965332,14.400370597839355,14.400370597839355,14.400370597839355,14.400370597839355
2000-01-05,17.125,16.5,16.6875,17.0625,237600.0,14.374038696289062,14.391593297322592,14.391593297322592,14.391593297322592,14.391593297322592
2000-01-06,17.125,17.0,17.0625,17.0625,238100.0,14.374038696289062,14.387204647064209,14.387204647064209,14.387204647064209,14.387204647064209
2000-01-07,17.5,16.8125,17.0625,17.5,368400.0,14.742610931396484,14.458285903930664,14.458285903930664,14.458285903930664,14.458285903930664
2000-01-10,18.4375,17.625,18.3125,18.25,241100.0,15.374435424804688,14.610977490743002,14.610977490743002,14.610977490743002,14.610977490743002
2000-01-11,18.1875,17.4375,18.125,17.625,196500.0,14.84791088104248,14.644825117928642,14.644825117928642,14.644825117928642,14.644825117928642
2000-01-12,17.5,16.625,17.0,16.75,135600.0,14.110783576965332,14.578069925308228,14.578069925308228,14.578069925308228,14.578069925308228
2000-01-13,16.4375,15.3125,16.0,16.4375,909000.0,13.847517967224121,14.496897485521105,14.496897485521105,14.496897485521105,14.496897485521105
2000-01-14,16.8125,16.25,16.625,16.3125,266300.0,13.742213249206543,14.421429061889649,14.421429061889649,14.421429061889649,14.421429061889649
2000-01-18,16.125,15.875,16.125,16.0,137200.0,13.478954315185547,14.335749539462002,14.335749539462002,14.335749539462002,14.335749539462002
2000-01-19,16.25,15.75,15.75,16.25,165200.0,13.689568519592285,14.281901121139526,14.281901121139526,14.281901121139526,14.281901121139526
2000-01-20,16.4375,15.75,16.375,15.75,301600.0,13.268345832824707,14.203935329730694,14.203935329730694,14.203935329730694,14.203935329730694
2000-01-21,15.875,15.5,15.875,15.5,285000.0,13.057735443115234,14.122063909258161,14.122063909258161,14.122063909258161,14.122063909258161
2000-01-24,15.75,14.9375,15.625,15.0625,268600.0,12.68917179107666,14.026537768046062,14.026537768046062,14.026537768046062,14.026537768046062
2000-01-25,15.125,14.5625,14.9375,14.75,80200.0,12.425912857055664,13.875601450602213,13.926498711109161,13.926498711109161,13.926498711109161
2000-01-26,15.5,14.75,14.8125,15.125,211200.0,12.74181842803955,13.784337107340495,13.856811635634479,13.856811635634479,13.856811635634479
2000-01-27,15.6875,15.125,15.25,15.5,170200.0,13.057735443115234,13.696583557128907,13.812418513827854,13.812418513827854,13.812418513827854
2000-01-28,16.125,15.375,15.875,15.375,283000.0,12.952432632446289,13.601809819539389,13.767156099018298,13.767156099018298,13.767156099018298
2000-01-31,15.5,14.75,15.25,14.875,131800.0,12.531219482421875,13.454383722941081,13.705359268188477,13.705359268188477,13.705359268188477
2000-02-01,15.1875,14.25,14.8125,14.625,237500.0,12.320608139038086,13.250795237223308,13.639418738228935,13.639418738228935,13.639418738228935
2000-02-02,15.125,14.4375,15.125,14.5625,389800.0,12.267955780029297,13.078798230489095,13.577079512856223,13.577079512856223,13.577079512856223
2000-02-03,14.75,14.3125,14.625,14.375,377500.0,12.109997749328613,12.945412508646648,13.513293349224588,13.513293349224588,13.513293349224588
2000-02-04,14.75,14.125,14.4375,14.125,298300.0,11.89939022064209,12.815537325541179,13.446047385533651,13.446047385533651,13.446047385533651
2000-02-07,16.4375,14.75,14.875,16.25,723000.0,13.689568519592285,12.812027676900227,13.455788230895996,13.455788230895996,13.455788230895996
2000-02-08,17.4375,16.375,16.75,16.4375,612000.0,13.847517967224121,12.836598587036132,13.470854759216309,13.470854759216309,13.470854759216309
2000-02-09,16.4375,15.375,16.4375,16.0,255300.0,13.478954315185547,12.822557640075683,13.471154742770725,13.471154742770725,13.471154742770725
2000-02-10,16.0,15.0,16.0,15.0625,263400.0,12.68917179107666,12.78394603729248,13.443226780210223,13.443226780210223,13.443226780210223
2000-02-11,15.375,14.4375,15.0625,15.125,398800.0,12.74181842803955,12.762884902954102,13.419040285307785,13.419040285307785,13.419040285307785
2000-02-14,15.75,15.4375,15.5,15.5,240100.0,13.057735443115234,12.787455813090007,13.406996790568034,13.406996790568034,13.406996790568034
2000-02-15,15.6875,15.5,15.625,15.5625,285500.0,13.110393524169922,12.83308785756429,13.397428943264869,13.397428943264869,13.397428943264869
2000-02-16,15.625,15.4375,15.5625,15.5625,178300.0,13.110393524169922,12.857659530639648,13.388459086418152,13.388459086418152,13.388459086418152
2000-02-17,15.5,15.0,15.5,15.1875,206000.0,12.794478416442871,12.840109062194824,13.370459672176477,13.370459672176477,13.370459672176477
2000-02-18,15.375,15.0,15.0625,15.0,133600.0,12.636519432067871,12.819048182169597,13.348873194526224,13.348873194526224,13.348873194526224
2000-02-22,15.0625,14.5,15.0,14.9375,118800.0,12.583867073059082,12.82255802154541,13.32701587677002,13.32701587677002,13.32701587677002
2000-02-23,14.9375,14.5,14.9375,14.875,101000.0,12.531219482421875,12.836598777770996,13.30491042137146,13.30491042137146,13.30491042137146
2000-02-24,15.0,14.625,14.8125,14.6875,74000.0,12.373259544372559,12.843619028727213,13.279730667939058,13.279730667939058,13.279730667939058
2000-02-25,15.0625,14.8125,15.0,14.875,149400.0,12.531219482421875,12.871700477600097,13.26003300516229,13.26003300516229,13.26003300516229
2000-02-28,15.6875,14.75,14.75,15.6875,173200.0,13.215696334838867,12.959454218546549,13.258896167461689,13.258896167461689,13.258896167461689
2000-02-29,16.75,15.625,15.625,16.75,336500.0,14.110783576965332,12.987535222371418,13.28019335269928,13.28019335269928,13.28019335269928
2000-03-01,17.0625,16.4375,16.5625,17.0,249600.0,14.321390151977539,13.019126701354981,13.305588396584115,13.305588396584115,13.305588396584115
2000-03-02,17.5,17.0,17.5,17.25,308200.0,14.53199577331543,13.089329465230305,13.334788572220575,13.334788572220575,13.334788572220575
2000-03-03,16.9375,16.3125,16.875,16.4375,211500.0,13.847517967224121,13.166552543640137,13.346712511639263,13.346712511639263,13.346712511639263
2000-03-06,16.4375,15.8125,16.375,15.9375,156700.0,13.426300048828125,13.212184651692708,13.348521319302646,13.348521319302646,13.348521319302646
2000-03-07,16.625,15.8125,16.125,15.875,297500.0,13.373655319213867,13.23324597676595,13.349079852634006,13.349079852634006,13.349079852634006
2000-03-08,15.75,15.5,15.6875,15.5625,114800.0,13.110393524169922,13.23324597676595,13.343891019406525,13.343891019406525,13.343891019406525
2000-03-09,15.8125,15.25,15.5625,15.8125,223500.0,13.320998191833496,13.247286287943522,13.343403937968802,13.343403937968802,13.343403937968802
2000-03-10,15.9375,15.5625,15.625,15.625,118500.0,13.163043022155762,13.271857261657715,13.339646418889364,13.339646418889364,13.339646418889364
2000-03-13,15.875,15.4375,15.5625,15.5625,120100.0,13.110393524169922,13.30344886779785,13.334967788384885,13.334967788384885,13.334967788384885
2000-03-14,16.25,15.5,15.5,15.9375,103700.0,13.426300048828125,13.359611066182454,13.33679443359375,13.33679443359375,13.33679443359375
2000-03-15,16.625,15.6875,15.6875,16.625,232600.0,14.005478858947754,13.457895024617512,13.323104858398438,13.349905892914416,13.349905892914416
2000-03-16,17.5,16.5,16.6875,17.3125,241000.0,14.584648132324219,13.605320930480957,13.332582149505615,13.37365093597999,13.37365093597999
2000-03-17,18.625,17.375,17.5,18.125,428500.0,15.26912784576416,13.787848154703775,13.350483932495116,13.409414651258937,13.409414651258937
2000-03-20,18.4375,17.75,18.0625,17.75,352100.0,14.953211784362793,13.903682518005372,13.362067394256592,13.438003487057156,13.438003487057156
