Date,High,Low,Open,Close,Volume,Adj Close,GE-15ma,GE-50ma,GE-100ma,GE-200ma
2000-01-03,49.25881576538086,47.816505432128906,49.03845977783203,48.07692337036133,22952500.0,26.347469329833984,26.347469329833984,26.347469329833984,26.347469329833984,26.347469329833984
2000-01-04,47.43589782714844,46.153846740722656,47.19551467895508,46.153846740722656,23006200.0,25.2935733795166,25.820521354675293,25.820521354675293,25.820521354675293,25.820521354675293
2000-01-05,47.11538314819336,45.69310760498047,46.0737190246582,46.0737190246582,28384500.0,25.249656677246094,25.63023312886556,25.63023312886556,25.63023312886556,25.63023312886556
2000-01-06,47.09535217285156,45.71314239501953,45.87339782714844,46.68970489501953,20668100.0,25.587238311767578,25.619484424591064,25.619484424591064,25.619484424591064,25.619484424591064
2000-01-07,48.67788314819336,47.11538314819336,47.43589782714844,48.497596740722656,20947000.0,26.578020095825195,25.81119155883789,25.81119155883789,25.81119155883789,25.81119155883789
2000-01-10,49.379005432128906,48.4375,48.93830108642578,48.47756576538086,15835500.0,26.56702995300293,25.937164624532063,25.937164624532063,25.937164624532063,25.937164624532063
2000-01-11,48.93830108642578,48.277244567871094,48.39743423461914,48.55769348144531,15727900.0,26.61094856262207,26.033419472830637,26.033419472830637,26.033419472830637,26.033419472830637
2000-01-12,49.11859130859375,48.25720977783203,48.4174690246582,48.71794891357422,19075900.0,26.698776245117188,26.116589069366455,26.116589069366455,26.116589069366455,26.116589069366455
2000-01-13,49.659454345703125,49.03845977783203,49.07852554321289,49.278846740722656,15551600.0,27.00615692138672,26.215429941813152,26.215429941813152,26.215429941813152,26.215429941813152
2000-01-14,49.559295654296875,47.93669891357422,49.158653259277344,48.39743423461914,19219500.0,26.523122787475586,26.246199226379396,26.246199226379396,26.246199226379396,26.246199226379396
2000-01-18,47.956729888916016,47.035255432128906,47.956729888916016,47.43589782714844,19028500.0,25.996170043945312,26.22346930070357,26.22346930070357,26.22346930070357,26.22346930070357
2000-01-19,48.377403259277344,46.875,46.95512771606445,47.66626739501953,15443600.0,26.122425079345703,26.215048948923748,26.215048948923748,26.215048948923748,26.215048948923748
