Date,High,Low,Open,Close,Volume,Adj Close,RE-15ma,RE-50ma,RE-100ma,RE-200ma
2000-01-03,22.8125,21.625,22.8125,21.875,163600.0,15.9403076171875,15.9403076171875,15.9403076171875,15.9403076171875,15.9403076171875
2000-01-04,22.125,20.6875,22.125,21.8125,220900.0,15.894759178161621,15.91753339767456,15.91753339767456,15.91753339767456,15.91753339767456
2000-01-05,23.6875,22.1875,22.1875,23.25,661100.0,16.942262649536133,16.25910981496175,16.25910981496175,16.25910981496175,16.25910981496175
2000-01-06,24.6875,23.1875,23.1875,24.3125,624600.0,17.716508865356445,16.623459577560425,16.623459577560425,16.623459577560425,16.623459577560425
2000-01-07,25.6875,24.375,24.375,25.625,373500.0,18.672931671142578,17.033353996276855,17.033353996276855,17.033353996276855,17.033353996276855
2000-01-10,26.0,25.0,25.625,25.5,786400.0,18.581844329833984,17.291435718536377,17.291435718536377,17.291435718536377,17.291435718536377
2000-01-11,25.625,25.4375,25.625,25.5625,225300.0,18.62738609313965,17.48228577205113,17.48228577205113,17.48228577205113,17.48228577205113
2000-01-12,26.0,25.5625,25.5625,25.625,209700.0,18.672931671142578,17.63111650943756,17.63111650943756,17.63111650943756,17.63111650943756
2000-01-13,26.0,25.6875,25.6875,25.75,222700.0,18.764019012451172,17.75699456532796,17.75699456532796,17.75699456532796,17.75699456532796
2000-01-14,27.125,25.875,25.875,26.4375,290600.0,19.26499366760254,17.90779447555542,17.90779447555542,17.90779447555542,17.90779447555542
2000-01-18,26.5,26.25,26.5,26.4375,215300.0,19.26499366760254,18.031176220286977,18.031176220286977,18.031176220286977,18.031176220286977
2000-01-19,26.4375,25.875,26.4375,26.0625,236800.0,18.991737365722656,18.111222982406616,18.111222982406616,18.111222982406616,18.111222982406616
2000-01-20,26.1875,26.0,26.0625,26.0625,149800.0,18.991737365722656,18.17895485804631,18.17895485804631,18.17895485804631,18.17895485804631
2000-01-21,26.625,25.625,26.125,26.5625,189800.0,19.356096267700195,18.263036387307302,18.263036387307302,18.263036387307302,18.263036387307302
2000-01-24,26.3125,25.375,26.3125,25.4375,178000.0,18.536300659179688,18.281254005432128,18.281254005432128,18.281254005432128,18.281254005432128
2000-01-25,25.6875,24.8125,25.375,25.1875,589000.0,18.354127883911133,18.442175356547036,18.285808622837067,18.285808622837067,18.285808622837067
2000-01-26,25.1875,24.3125,24.9375,24.75,247000.0,18.035316467285156,18.58487917582194,18.271073790157544,18.271073790157544,18.271073790157544
2000-01-27,25.4375,25.0,25.0,25.25,215000.0,18.399667739868164,18.682039515177408,18.2782178984748,18.2782178984748,18.2782178984748
2000-01-28,25.5,24.75,25.5,25.125,135400.0,18.30858039855957,18.721510950724284,18.27981592479505,18.27981592479505,18.27981592479505
2000-01-31,25.25,24.8125,25.0,25.1875,145700.0,18.354127883911133,18.700257364908854,18.283531522750856,18.283531522750856,18.283531522750856
2000-02-01,25.375,24.9375,25.25,25.3125,167600.0,18.44521141052246,18.69114850362142,18.291230565025693,18.291230565025693,18.291230565025693
2000-02-02,25.4375,24.875,25.3125,25.0,207700.0,18.217500686645508,18.663822809855144,18.287879206917502,18.287879206917502,18.287879206917502
2000-02-03,25.125,24.625,25.0,24.8125,277600.0,18.080867767333984,18.62435188293457,18.278878709544305,18.278878709544305,18.278878709544305
2000-02-04,25.1875,24.625,24.6875,24.9375,89100.0,18.171953201293945,18.584880828857422,18.274423480033875,18.274423480033875,18.274423480033875
2000-02-07,25.1875,24.9375,24.9375,25.0,107100.0,18.217500686645508,18.515047963460287,18.27214656829834,18.27214656829834,18.27214656829834
2000-02-08,25.125,24.75,24.9375,25.0625,389100.0,18.26303482055664,18.44825070699056,18.27179611646212,18.27179611646212,18.27179611646212
2000-02-09,25.0625,24.75,25.0,25.0625,202100.0,18.26303482055664,18.399670537312826,18.271471624021178,18.271471624021178,18.271471624021178
2000-02-10,24.875,23.125,24.875,23.375,260700.0,17.033355712890625,18.269111760457356,18.227253198623657,18.227253198623657,18.227253198623657
2000-02-11,23.375,22.0625,23.375,22.375,479700.0,16.30466079711914,18.065682729085285,18.160956908916607,18.160956908916607,18.160956908916607
2000-02-14,22.375,21.6875,22.3125,22.0,261200.0,16.03139877319336,17.89868927001953,18.08997163772583,18.08997163772583,18.08997163772583
2000-02-15,23.5,21.25,21.25,22.4375,362400.0,16.350202560424805,17.765094248453774,18.033850054587088,18.033850054587088,18.033850054587088
2000-02-16,24.375,22.4375,22.4375,24.0,444500.0,17.48879051208496,17.728659184773765,18.016816943883896,18.016816943883896,18.016816943883896
2000-02-17,27.0,24.5,24.5,27.0,778600.0,19.674890518188477,17.813674036661784,18.067061597650703,18.067061597650703,18.067061597650703
2000-02-18,27.625,25.375,27.0,26.125,600400.0,19.037290573120117,17.86225471496582,18.095597743988037,18.095597743988037,18.095597743988037
2000-02-22,25.375,24.5,25.0,25.0,437700.0,18.217500686645508,17.853146235148113,18.099080685206822,18.099080685206822,18.099080685206822
2000-02-23,25.9375,24.75,25.0,25.875,219600.0,18.855100631713867,17.88047218322754,18.120081239276463,18.120081239276463,18.120081239276463
2000-02-24,25.9375,23.3125,25.9375,24.0,551100.0,17.48879051208496,17.8318915049235,18.103019327730745,18.103019327730745,18.103019327730745
