Date,High,Low,Open,Close,Volume,Adj Close,LMT-15ma,LMT-50ma,LMT-100ma,LMT-200ma
2000-01-03,22.3125,20.25,22.0,20.25,3011300.0,12.29531192779541,12.29531192779541,12.29531192779541,12.29531192779541,12.29531192779541
2000-01-04,21.3125,20.0,20.0,20.9375,3593500.0,12.712748527526855,12.504030227661133,12.504030227661133,12.504030227661133,12.504030227661133
2000-01-05,21.625,20.5,21.25,21.0625,1721200.0,12.788639068603516,12.598899841308594,12.598899841308594,12.598899841308594,12.598899841308594
2000-01-06,21.75,21.0,21.0,21.375,1750700.0,12.978386878967285,12.693771600723267,12.693771600723267,12.693771600723267,12.693771600723267
2000-01-07,22.0625,21.1875,21.75,21.4375,2203200.0,13.016337394714355,12.758284759521484,12.758284759521484,12.758284759521484,12.758284759521484
2000-01-10,21.5,20.5625,21.375,20.625,1361000.0,12.5230073928833,12.719071865081787,12.719071865081787,12.719071865081787,12.719071865081787
2000-01-11,20.75,19.75,20.5,19.9375,2236100.0,12.105572700500488,12.63142912728446,12.63142912728446,12.63142912728446,12.63142912728446
2000-01-12,21.25,20.0,20.0,21.1875,3562400.0,12.864542961120605,12.660568356513977,12.660568356513977,12.660568356513977,12.660568356513977
2000-01-13,21.4375,20.5625,21.4375,20.75,2871700.0,12.598897933959961,12.653716087341309,12.653716087341309,12.653716087341309,12.653716087341309
2000-01-14,20.9375,20.5,20.75,20.5,1609300.0,12.447115898132324,12.63305606842041,12.63305606842041,12.63305606842041,12.63305606842041
2000-01-18,21.25,19.75,21.0,20.0,3763800.0,12.143513679504395,12.58855221488259,12.58855221488259,12.58855221488259,12.58855221488259
2000-01-19,20.75,20.0,20.0625,20.6875,2270500.0,12.560953140258789,12.586252291997274,12.586252291997274,12.586252291997274,12.586252291997274
2000-01-20,20.6875,20.375,20.5,20.5625,2321600.0,12.485052108764648,12.578467662517841,12.578467662517841,12.578467662517841,12.578467662517841
2000-01-21,21.1875,20.625,20.75,21.0,2340600.0,12.750693321228027,12.590769495282855,12.590769495282855,12.590769495282855,12.590769495282855
2000-01-24,21.0625,19.5625,20.9375,19.5625,1917000.0,11.877881050109863,12.543243598937988,12.543243598937988,12.543243598937988,12.543243598937988
2000-01-25,19.9375,19.125,19.5625,19.25,2022500.0,11.68813705444336,12.502765274047851,12.489799439907074,12.489799439907074,12.489799439907074
2000-01-26,20.0625,19.25,19.4375,20.0625,2020300.0,12.18146800994873,12.467346572875977,12.471662296968347,12.471662296968347,12.471662296968347
2000-01-27,20.0,19.0,19.9375,19.4375,2236300.0,11.801981925964355,12.401569430033366,12.434457831912571,12.434457831912571,12.434457831912571
2000-01-28,19.9375,18.3125,19.0,18.875,2213200.0,11.46044921875,12.30037358601888,12.383194220693488,12.383194220693488,12.383194220693488
2000-01-31,18.875,18.1875,18.3125,18.5,1528600.0,11.232758522033691,12.18146832784017,12.325672435760499,12.325672435760499,12.325672435760499
2000-02-01,18.875,18.375,18.75,18.6875,737300.0,11.346598625183105,12.103041076660157,12.27904987335205,12.27904987335205,12.27904987335205
2000-02-02,18.8125,18.1875,18.4375,18.6875,1633700.0,11.346598625183105,12.052442804972332,12.236665725708008,12.236665725708008,12.236665725708008
2000-02-03,18.9375,18.5,18.625,18.625,1830200.0,11.308653831481934,11.948716862996418,12.196317382480787,12.196317382480787,12.196317382480787
2000-02-04,19.3125,18.375,18.75,19.125,2012900.0,11.612239837646484,11.882939656575521,12.171980818112692,12.171980818112692,12.171980818112692
2000-02-07,19.5,18.25,19.25,18.75,1633700.0,11.384552001953125,11.812102063496907,12.14048366546631,12.14048366546631,12.14048366546631
2000-02-08,18.375,17.875,18.3125,18.375,2110300.0,11.156855583190918,11.74632485707601,12.102651816148024,12.102651816148024,12.102651816148024
2000-02-09,18.5,17.875,17.875,18.375,1863800.0,11.156855583190918,11.652718353271485,12.067622326038501,12.067622326038501,12.067622326038501
2000-02-10,18.5,18.0625,18.0625,18.3125,1814500.0,11.118912696838379,11.561642392476399,12.033739839281354,12.033739839281354,12.033739839281354
2000-02-11,18.3125,17.375,18.125,17.5,1821000.0,10.625581741333008,11.419968287150065,11.985182663490033,11.985182663490033,11.985182663490033
2000-02-14,18.125,17.5,17.75,18.0625,1839400.0,10.967111587524414,11.359250322977703,11.951246960957844,11.951246960957844,11.951246960957844
2000-02-15,18.1875,17.8125,18.0,18.125,1273200.0,11.005067825317383,11.313712374369304,11.92072505335654,11.92072505335654,11.92072505335654
2000-02-16,18.0625,17.5,17.5,17.75,1630600.0,10.777372360229492,11.220105997721355,11.88499528169632,11.88499528169632,11.88499528169632
2000-02-17,18.25,17.8125,17.9375,18.0,4412100.0,10.929167747497559,11.161918385823567,11.856030810963023,11.856030810963023,11.856030810963023
2000-02-18,17.875,17.0,17.75,17.4375,1651200.0,10.587631225585938,11.10373051961263,11.818724940804874,11.818724940804874,11.818724940804874
2000-02-22,18.0,17.0625,17.0625,18.0,1411100.0,10.929167747497559,11.083491134643555,11.793309020996094,11.793309020996094,11.793309020996094
2000-02-23,17.9375,17.5,17.9375,17.8125,1358100.0,10.815322875976562,11.048072751363119,11.766142739189995,11.766142739189995,11.766142739189995
2000-02-24,17.6875,17.1875,17.625,17.5625,1248100.0,10.663521766662598,11.002534294128418,11.736342172364932,11.736342172364932,11.736342172364932
2000-02-25,17.9375,17.5625,17.625,17.75,1691300.0,10.777372360229492,10.967115529378255,11.711106124677157,11.711106124677157,11.711106124677157
2000-02-28,17.625,17.125,17.5625,17.5,1022400.0,10.625581741333008,10.901338322957356,11.68327216612987,11.68327216612987,11.68327216612987
