Date,High,Low,Open,Close,Volume,Adj Close,AFL-15ma,AFL-50ma,AFL-100ma,AFL-200ma
2000-01-03,11.78125,11.078125,11.734375,11.1875,2388800.0,7.737518787384033,7.737518787384033,7.737518787384033,7.737518787384033,7.737518787384033
2000-01-04,11.28125,10.8125,10.8125,10.890625,2716400.0,7.532189846038818,7.634854316711426,7.634854316711426,7.634854316711426,7.634854316711426
2000-01-05,11.046875,10.796875,10.90625,10.828125,1354800.0,7.488968372344971,7.586225668589274,7.586225668589274,7.586225668589274,7.586225668589274
2000-01-06,11.109375,10.71875,10.78125,11.046875,2027200.0,7.640259742736816,7.59973418712616,7.59973418712616,7.59973418712616,7.59973418712616
2000-01-07,11.28125,10.96875,11.03125,11.265625,2262000.0,7.791553497314453,7.638098049163818,7.638098049163818,7.638098049163818,7.638098049163818
2000-01-10,11.25,10.453125,11.234375,10.59375,5526800.0,7.32686710357666,7.586226224899292,7.586226224899292,7.586226224899292,7.586226224899292
2000-01-11,10.578125,10.265625,10.5,10.375,6569600.0,7.1755781173706055,7.527562209538051,7.527562209538051,7.527562209538051,7.527562209538051
2000-01-12,10.359375,9.890625,10.328125,10.203125,5877600.0,7.056704998016357,7.468705058097839,7.468705058097839,7.468705058097839,7.468705058097839
2000-01-13,10.5,10.25,10.296875,10.4375,7575200.0,7.21880578994751,7.440938472747803,7.440938472747803,7.440938472747803,7.440938472747803
2000-01-14,10.875,10.546875,10.546875,10.734375,5720000.0,7.424129962921143,7.439257621765137,7.439257621765137,7.439257621765137,7.439257621765137
2000-01-18,10.640625,9.96875,10.640625,10.0,6192400.0,6.916218280792236,7.391708590767601,7.391708590767601,7.391708590767601,7.391708590767601
2000-01-19,9.9375,9.375,9.890625,9.40625,7086800.0,6.505566120147705,7.317863384882609,7.317863384882609,7.317863384882609,7.317863384882609
2000-01-20,10.328125,9.5,9.640625,10.171875,16917600.0,7.035092830657959,7.296111803788405,7.296111803788405,7.296111803788405,7.296111803788405
2000-01-21,10.171875,9.59375,10.171875,9.6875,4750000.0,6.7000885009765625,7.253538710730417,7.253538710730417,7.253538710730417,7.253538710730417
2000-01-24,9.828125,9.46875,9.734375,9.578125,3986000.0,6.624440670013428,7.211598841349284,7.211598841349284,7.211598841349284,7.211598841349284
2000-01-25,10.046875,9.53125,9.5625,9.984375,5240000.0,6.90541410446167,7.156125195821127,7.192462295293808,7.192462295293808,7.192462295293808
2000-01-26,10.5,9.96875,10.0625,10.484375,4825200.0,7.251225471496582,7.13739423751831,7.1959189527175,7.1959189527175,7.1959189527175
