Date,High,Low,Open,Close,Volume,Adj Close,EQIX-15ma,EQIX-50ma,EQIX-100ma,EQIX-200ma
2000-08-11,448.0,384.0,408.0,420.0,792500.0,350.4476623535156,350.4476623535156,350.4476623535156,350.4476623535156,350.4476623535156
2000-08-14,420.0,384.0,419.0,384.0,80200.0,320.40924072265625,335.42845153808594,335.42845153808594,335.42845153808594,335.42845153808594
2000-08-15,396.0,384.0,389.0,388.0,48400.0,323.7469177246094,331.53460693359375,331.53460693359375,331.53460693359375,331.53460693359375
2000-08-16,418.0,386.0,386.0,396.0,42100.0,330.4220886230469,331.25647735595703,331.25647735595703,331.25647735595703,331.25647735595703
2000-08-17,400.0,382.0,392.0,384.0,47200.0,320.40924072265625,329.0870300292969,329.0870300292969,329.0870300292969,329.0870300292969
2000-08-18,460.0,396.0,401.0,458.0,60400.0,382.15478515625,337.93165588378906,337.93165588378906,337.93165588378906,337.93165588378906
2000-08-21,520.0,446.0,482.0,486.0,66500.0,405.5179443359375,347.5868399483817,347.5868399483817,347.5868399483817,347.5868399483817
2000-08-22,502.0,432.0,492.0,432.0,33800.0,360.46044921875,349.19604110717773,349.19604110717773,349.19604110717773,349.19604110717773
2000-08-23,440.0,408.0,434.0,416.0,17900.0,347.1100769042969,348.96426730685766,348.96426730685766,348.96426730685766,348.96426730685766
2000-08-24,418.0,386.0,414.0,386.0,18400.0,322.078125,346.27565307617186,346.27565307617186,346.27565307617186,346.27565307617186
2000-08-25,414.0,388.0,402.0,412.0,20100.0,343.7724304199219,346.0480873801491,346.0480873801491,346.0480873801491,346.0480873801491
2000-08-28,433.5,400.0,429.0,420.0,19400.0,350.4476623535156,346.4147186279297,346.4147186279297,346.4147186279297,346.4147186279297
2000-08-29,432.0,404.0,430.0,428.0,22700.0,357.1228332519531,347.23841975285455,347.23841975285455,347.23841975285455,347.23841975285455
2000-08-30,470.0,424.0,427.0,454.0,19800.0,378.8172607421875,349.4940512520926,349.4940512520926,349.4940512520926,349.4940512520926
2000-08-31,528.0,476.0,482.0,518.0,87300.0,432.21881103515625,355.0090352376302,355.0090352376302,355.0090352376302,355.0090352376302
2000-09-01,520.0,480.0,516.0,504.0,27700.0,420.53717041015625,359.6816691080729,359.1045436859131,359.1045436859131,359.1045436859131
2000-09-05,520.0,496.0,506.0,498.0,23000.0,415.5307922363281,366.023105875651,362.42373477711396,362.42373477711396,362.42373477711396
2000-09-06,520.0,488.0,516.0,496.0,20500.0,413.86199951171875,372.03077799479166,365.28141615125867,365.28141615125867,365.28141615125867
2000-09-07,512.0,428.0,512.0,460.0,23900.0,383.8236389160156,375.59088134765625,366.25732261256167,366.25732261256167,366.25732261256167
2000-09-08,464.0,440.0,456.5,448.0,15900.0,373.8108825683594,379.15099080403644,366.63500061035154,366.63500061035154,366.63500061035154
2000-09-11,448.0,432.0,442.0,444.0,34500.0,370.4732360839844,378.3722208658854,366.8177737281436,366.8177737281436,366.8177737281436
2000-09-12,442.0,412.0,435.0,416.0,33800.0,347.1100769042969,374.4783630371094,365.9219693270597,365.9219693270597,365.9219693270597
2000-09-13,420.0,396.0,408.0,400.0,10300.0,333.7596435546875,372.69830932617185,364.5236073369565,364.5236073369565,364.5236073369565
2000-09-14,444.0,400.0,444.0,406.0,8100.0,338.7660827636719,372.1420430501302,363.450377146403,363.450377146403,363.450377146403
2000-09-15,416.0,400.0,402.0,402.0,3600.0,335.4284973144531,373.0320678710938,362.329501953125,362.329501953125,362.329501953125
2000-09-18,424.0,382.0,420.0,386.0,18600.0,322.078125,371.585780843099,360.7813720703125,360.7813720703125,360.7813720703125
2000-09-19,420.0,344.0,419.0,360.0,48000.0,300.38372802734375,368.24818522135416,358.54442229094326,358.54442229094326,358.54442229094326
2000-09-20,370.0,312.0,368.0,332.0,24100.0,277.02056884765625,362.9080342610677,355.6328560965402,355.6328560965402,355.6328560965402
2000-09-21,344.0,326.0,330.0,340.0,25200.0,283.6957092285156,356.5665974934896,353.152264825229,353.152264825229,353.152264825229
2000-09-22,346.0,302.0,307.0,338.0,8400.0,282.0269470214844,346.5538065592448,350.7814208984375,350.7814208984375,350.7814208984375
2000-09-25,346.0,300.0,340.0,302.0,21000.0,251.98863220214844,335.3172373453776,347.5945567469443,347.5945567469443,347.5945567469443
2000-09-26,318.0,288.0,316.0,296.0,19600.0,246.98211669921875,324.080658976237,344.4504179954529,344.4504179954529,344.4504179954529
2000-09-27,302.0,276.0,301.0,299.0,16700.0,249.48538208007812,313.1222178141276,341.57268963438094,341.57268963438094,341.57268963438094
2000-09-28,344.0,292.0,296.0,320.0,22000.0,267.00775146484375,305.33449198404946,339.37960321762984,339.37960321762984,339.37960321762984
2000-09-29,324.0,279.0,323.0,284.0,19100.0,236.9694061279297,296.21172688802085,336.45359758649556,336.45359758649556,336.45359758649556
2000-10-02,301.0,268.0,300.0,272.0,6800.0,226.95663452148438,286.6439534505208,333.4120152791341,333.4120152791341,333.4120152791341
2000-10-03,284.0,248.0,275.0,254.0,10100.0,211.93739318847656,277.6324412027995,330.12891738479203,330.12891738479203,330.12891738479203
2000-10-04,258.0,216.0,256.0,228.0,14600.0,190.24301147460938,268.0646657307943,326.44770933452406,326.44770933452406,326.44770933452406
2000-10-05,260.0,208.0,222.0,210.0,15100.0,175.2238311767578,257.16184895833334,322.57017399714545,322.57017399714545,322.57017399714545
2000-10-06,224.0,190.0,222.5,195.0,11400.0,162.70787048339844,245.6471405029297,318.57361640930174,318.57361640930174,318.57361640930174
2000-10-09,214.0,185.0,210.0,198.0,10600.0,165.21104431152344,235.18933512369793,314.83306587033155,314.83306587033155,314.83306587033155
2000-10-10,204.0,176.0,202.0,182.0,13200.0,151.86065673828125,225.2877970377604,310.95277041480654,310.95277041480654,310.95277041480654
2000-10-11,184.0,130.0,168.0,132.0,42400.0,110.14067840576172,214.16247100830077,306.2827217634334,306.2827217634334,306.2827217634334
2000-10-12,168.0,144.0,163.0,166.0,37200.0,138.51028442382812,204.4834426879883,302.46971182389694,302.46971182389694,302.46971182389694
2000-10-13,252.0,177.0,182.0,242.0,42800.0,201.92459106445312,199.1432856241862,300.2353758070204,300.2353758070204,300.2353758070204
2000-10-16,262.0,236.0,260.0,260.0,38500.0,216.9437713623047,196.8069615681966,298.4246887538744,298.4246887538744,298.4246887538744
2000-10-17,274.0,244.0,272.0,250.0,11000.0,208.59983825683594,194.2481430053711,296.5135217220225,296.5135217220225,296.5135217220225
2000-10-18,268.0,190.0,248.0,258.0,19300.0,215.27496337890625,191.96744842529296,294.82105175654095,294.82105175654095,294.82105175654095
2000-10-19,298.0,216.0,272.0,221.0,25900.0,184.4022216796875,186.46041310628254,292.5676062447684,292.5676062447684,292.5676062447684
2000-10-20,240.0,224.0,240.0,234.0,21700.0,195.2493896484375,183.6790786743164,290.6212419128418,290.6212419128418,290.6212419128418
2000-10-23,269.0,228.0,236.0,264.0,17800.0,220.28135681152344,183.23406016031902,288.01791580200194,289.2420284794826,289.2420284794826
2000-10-24,272.0,260.0,265.5,270.0,19700.0,225.28775024414062,184.12408396402995,286.1154859924316,288.01213851341834,288.01213851341834
2000-10-25,272.0,252.0,267.5,272.0,13200.0,226.95663452148438,186.5716588338216,284.17968032836916,286.8601478720611,286.8601478720611
2000-10-26,308.0,270.0,271.0,290.0,8700.0,241.9757537841797,191.02178700764975,282.4107536315918,286.02895538895217,286.02895538895217
2000-10-27,292.0,276.0,291.5,288.0,3300.0,240.30697631835938,196.19506072998047,280.8087083435059,285.19764667857777,285.19764667857777
2000-10-30,300.0,276.0,286.0,286.0,7600.0,238.63816833496094,201.09020233154297,277.9383760070801,284.36622742244174,284.36622742244174
2000-10-31,328.0,280.0,292.0,312.0,10400.0,260.33251953125,208.32165985107423,275.0346675109863,283.9445834243507,283.9445834243507
2000-11-01,336.0,306.0,311.5,312.0,11500.0,260.33251953125,218.3344492594401,273.0321089172363,283.5374788744696,283.5374788744696
2000-11-02,316.0,284.0,311.5,296.0,7800.0,246.98211669921875,225.56590474446614,271.02954971313477,282.9178964647196,282.9178964647196
2000-11-03,302.0,287.0,287.0,292.0,7700.0,243.64454650878906,228.34723510742188,269.46087814331054,282.2633406321208,282.2633406321208
2000-11-06,300.0,278.0,296.0,284.0,9700.0,236.9694061279297,229.6822774251302,267.3248176574707,281.52081711565864,281.52081711565864
2000-11-07,288.0,280.0,288.0,284.0,6600.0,236.9694061279297,231.5735819498698,265.055252532959,280.80224597069525,280.80224597069525
2000-11-08,284.0,241.0,284.0,258.0,20900.0,215.27496337890625,231.5735819498698,262.21829513549807,279.7621303740002,279.7621303740002
2000-11-09,256.0,240.0,240.0,253.0,12600.0,211.10299682617188,233.35363362630207,258.86400985717773,278.68933141231537,278.68933141231537
2000-11-10,248.0,238.0,244.5,238.0,18100.0,198.58700561523438,233.57614135742188,254.19137374877928,277.45698793851415,277.45698793851415
2000-11-13,226.0,218.0,222.0,226.0,13700.0,188.57420349121094,231.46233113606772,249.55211441040038,276.11027908325195,276.11027908325195
2000-11-14,234.0,208.0,225.0,212.0,15700.0,176.89260864257812,228.2359883626302,244.77935073852538,274.62941833040605,274.62941833040605
2000-11-15,222.0,202.0,220.0,202.0,20400.0,168.54864501953125,224.34212239583334,239.87308364868164,273.0694069581873,273.0694069581873
2000-11-16,212.0,200.0,208.5,203.0,3900.0,169.38304138183594,219.5026082356771,235.58427169799805,271.5667060078054,271.5667060078054
