Date,High,Low,Open,Close,Volume,Adj Close,AZO-15ma,AZO-50ma,AZO-100ma,AZO-200ma
2000-01-03,32.5,30.5,32.125,30.5625,441000,30.5625,30.5625,30.5625,30.5625,30.5625
2000-01-04,30.9375,30.3125,30.5,30.4375,490600,30.4375,30.5,30.5,30.5,30.5
2000-01-05,30.4375,29.875,30.3125,30.3125,577400,30.3125,30.4375,30.4375,30.4375,30.4375
2000-01-06,29.9375,28.9375,29.75,29.0625,489600,29.0625,30.09375,30.09375,30.09375,30.09375
2000-01-07,31.125,29.0625,29.0625,30.4375,472100,30.4375,30.1625,30.1625,30.1625,30.1625
2000-01-10,31.625,30.5625,31.5,30.6875,355100,30.6875,30.25,30.25,30.25,30.25
2000-01-11,30.9375,29.5625,30.9375,30.0625,648700,30.0625,30.223214285714285,30.223214285714285,30.223214285714285,30.223214285714285
2000-01-12,30.0,29.5,29.9375,29.8125,445500,29.8125,30.171875,30.171875,30.171875,30.171875
2000-01-13,30.5,29.5625,29.6875,30.0,224300,30.0,30.15277777777778,30.15277777777778,30.15277777777778,30.15277777777778
2000-01-14,30.3125,29.625,30.0,29.75,546400,29.75,30.1125,30.1125,30.1125,30.1125
2000-01-18,30.4375,29.25,29.5,29.625,341900,29.625,30.068181818181817,30.068181818181817,30.068181818181817,30.068181818181817
2000-01-19,30.25,29.6875,29.75,30.125,240500,30.125,30.072916666666668,30.072916666666668,30.072916666666668,30.072916666666668
2000-01-20,30.0625,29.0,30.0,29.0625,375400,29.0625,29.995192307692307,29.995192307692307,29.995192307692307,29.995192307692307
2000-01-21,29.3125,28.0,29.3125,28.25,516500,28.25,29.870535714285715,29.870535714285715,29.870535714285715,29.870535714285715
2000-01-24,28.4375,27.75,28.1875,27.75,384600,27.75,29.729166666666668,29.729166666666668,29.729166666666668,29.729166666666668
2000-01-25,28.3125,27.375,27.625,27.875,361200,27.875,29.55,29.61328125,29.61328125,29.61328125
2000-01-26,28.0,26.75,26.75,27.625,600700,27.625,29.3625,29.496323529411764,29.496323529411764,29.496323529411764
2000-01-27,27.6875,26.6875,27.5,27.0,441300,27.0,29.141666666666666,29.35763888888889,29.35763888888889,29.35763888888889
2000-01-28,27.125,26.1875,26.75,26.1875,384800,26.1875,28.95,29.19078947368421,29.19078947368421,29.19078947368421
2000-01-31,26.5,26.125,26.25,26.25,329400,26.25,28.670833333333334,29.04375,29.04375,29.04375
