Date,High,Low,Open,Close,Volume,Adj Close,EMN-15ma,EMN-50ma,EMN-100ma,EMN-200ma
2000-01-03,24.15625,23.1875,23.96875,23.21875,502400.0,12.202322006225586,12.202322006225586,12.202322006225586,12.202322006225586,12.202322006225586
2000-01-04,23.53125,22.59375,23.21875,22.65625,412400.0,11.90671157836914,12.054516792297363,12.054516792297363,12.054516792297363,12.054516792297363
2000-01-05,23.875,22.90625,22.9375,23.78125,598600.0,12.497940063476562,12.202324549357096,12.202324549357096,12.202324549357096,12.202324549357096
2000-01-06,25.375,23.75,23.78125,25.28125,506000.0,13.28624439239502,12.473304510116577,12.473304510116577,12.473304510116577,12.473304510116577
2000-01-07,25.3125,24.875,25.28125,25.21875,830600.0,13.253397941589355,12.629323196411132,12.629323196411132,12.629323196411132,12.629323196411132
2000-01-10,25.09375,24.28125,25.09375,24.4375,511000.0,12.84282398223877,12.664906660715738,12.664906660715738,12.664906660715738,12.664906660715738
2000-01-11,24.78125,24.125,24.5625,24.15625,451800.0,12.695021629333496,12.669208799089704,12.669208799089704,12.669208799089704,12.669208799089704
2000-01-12,25.0625,24.1875,24.1875,24.9375,450800.0,13.105592727661133,12.723756790161133,12.723756790161133,12.723756790161133,12.723756790161133
2000-01-13,24.9375,24.65625,24.9375,24.65625,265200.0,12.957782745361328,12.749759674072266,12.749759674072266,12.749759674072266,12.749759674072266
2000-01-14,24.59375,24.21875,24.59375,24.25,279200.0,12.744282722473145,12.749211978912353,12.749211978912353,12.749211978912353,12.749211978912353
2000-01-18,24.28125,23.59375,24.28125,23.65625,475000.0,12.43224811553955,12.7203970822421,12.7203970822421,12.7203970822421,12.7203970822421
2000-01-19,23.59375,22.3125,23.5625,22.875,901600.0,12.021672248840332,12.662170012791952,12.662170012791952,12.662170012791952,12.662170012791952
2000-01-20,23.09375,22.03125,23.0,22.4375,883200.0,11.791749000549316,12.595214550311749,12.595214550311749,12.595214550311749,12.595214550311749
2000-01-21,22.28125,21.6875,22.125,21.84375,973400.0,11.479707717895508,12.515535490853447,12.515535490853447,12.515535490853447,12.515535490853447
2000-01-24,22.125,21.75,21.875,21.8125,767600.0,11.463282585144043,12.445385297139486,12.445385297139486,12.445385297139486,12.445385297139486
2000-01-25,21.875,20.125,21.875,20.53125,976000.0,10.789942741394043,12.35122667948405,12.341920137405396,12.341920137405396,12.341920137405396
2000-01-26,21.25,20.71875,20.78125,21.1875,856400.0,11.134830474853516,12.299767939249675,12.270914863137637,12.270914863137637,12.270914863137637
2000-01-27,21.71875,20.5,20.5,21.40625,1044400.0,11.249786376953125,12.216557693481445,12.214185502794054,12.214185502794054,12.214185502794054
2000-01-28,20.5,18.84375,18.875,19.96875,1261200.0,10.494330406188965,12.030430094401042,12.12366681349905,12.12366681349905,12.12366681349905
