Date,High,Low,Open,Close,Volume,Adj Close,APH-15ma,APH-50ma,APH-100ma,APH-200ma
2000-01-03,4.234375,4.1640625,4.21484375,4.203125,2100800.0,3.873108148574829,3.873108148574829,3.873108148574829,3.873108148574829,3.873108148574829
2000-01-04,4.18359375,4.046875,4.1796875,4.05859375,1681600.0,3.7399253845214844,3.8065167665481567,3.8065167665481567,3.8065167665481567,3.8065167665481567
2000-01-05,4.04296875,3.87890625,4.04296875,3.96875,1822400.0,3.6571357250213623,3.756723086039225,3.756723086039225,3.756723086039225,3.756723086039225
2000-01-06,3.953125,3.84765625,3.953125,3.859375,780800.0,3.556349039077759,3.7066295742988586,3.7066295742988586,3.7066295742988586,3.7066295742988586
2000-01-07,3.8984375,3.7890625,3.875,3.8984375,1811200.0,3.592343807220459,3.683772420883179,3.683772420883179,3.683772420883179,3.683772420883179
2000-01-10,4.09375,3.90625,3.90625,4.08203125,763200.0,3.761523485183716,3.696730931599935,3.696730931599935,3.696730931599935,3.696730931599935
2000-01-11,4.1953125,4.08203125,4.09375,4.1796875,1241600.0,3.851510524749756,3.7188423020499095,3.7188423020499095,3.7188423020499095,3.7188423020499095
2000-01-12,4.875,4.234375,4.234375,4.7578125,13043200.0,4.384243488311768,3.8020174503326416,3.8020174503326416,3.8020174503326416,3.8020174503326416
2000-01-13,4.86328125,4.625,4.7734375,4.6953125,2764800.0,4.326651096343994,3.8603100776672363,3.8603100776672363,3.8603100776672363,3.8603100776672363
2000-01-14,4.875,4.6875,4.6875,4.79296875,1152000.0,4.416638374328613,3.915942907333374,3.915942907333374,3.915942907333374,3.915942907333374
2000-01-18,5.0625,4.8984375,4.92578125,4.921875,2561600.0,4.535423278808594,3.9722593047402124,3.9722593047402124,3.9722593047402124,3.9722593047402124
2000-01-19,5.0,4.7890625,4.90625,4.875,1918400.0,4.4922308921813965,4.015590270360311,4.015590270360311,4.015590270360311,4.015590270360311
2000-01-20,5.0546875,4.84375,4.953125,4.84765625,1563200.0,4.467033386230469,4.050316663888784,4.050316663888784,4.050316663888784,4.050316663888784
2000-01-21,4.875,4.65625,4.84765625,4.66015625,1180800.0,4.29425573348999,4.067740883146014,4.067740883146014,4.067740883146014,4.067740883146014
2000-01-24,4.828125,4.5625,4.67578125,4.625,1500800.0,4.26185941696167,4.080682118733724,4.080682118733724,4.080682118733724,4.080682118733724
2000-01-25,4.625,4.4453125,4.625,4.49609375,812800.0,4.143072128295898,4.0986797173817955,4.08458149433136,4.08458149433136,4.08458149433136
2000-01-26,4.59765625,4.375,4.49609375,4.5625,1344000.0,4.204265594482422,4.129635731379191,4.091621735516717,4.091621735516717,4.091621735516717
2000-01-27,4.65234375,4.48046875,4.578125,4.49609375,1100800.0,4.143072128295898,4.162031491597493,4.094480090671116,4.094480090671116,4.094480090671116
2000-01-28,4.53515625,4.2734375,4.49609375,4.28515625,552000.0,3.948698043823242,4.188188091913859,4.0868073513633325,4.0868073513633325,4.0868073513633325
2000-01-31,4.34375,4.17578125,4.28515625,4.2421875,1344000.0,3.909102439880371,4.209305334091186,4.077922105789185,4.077922105789185,4.077922105789185
2000-02-01,4.26171875,4.1796875,4.2421875,4.21484375,812800.0,3.8839070796966553,4.217464240392049,4.068683295022874,4.068683295022874,4.068683295022874
