Date,High,Low,Open,Close,Volume,Adj Close,WAB-15ma,WAB-50ma,WAB-100ma,WAB-200ma
2000-01-03,8.78125,8.34375,8.78125,8.59375,181400.0,8.125091552734375,8.125091552734375,8.125091552734375,8.125091552734375,8.125091552734375
2000-01-04,8.5,8.3125,8.5,8.46875,193400.0,8.006905555725098,8.065998554229736,8.065998554229736,8.065998554229736,8.065998554229736
2000-01-05,8.4375,8.25,8.375,8.4375,304800.0,7.9773640632629395,8.03645372390747,8.03645372390747,8.03645372390747,8.03645372390747
2000-01-06,8.40625,7.9375,8.40625,8.09375,199000.0,7.652359962463379,7.940430283546448,7.940430283546448,7.940430283546448,7.940430283546448
2000-01-07,8.09375,7.75,8.09375,7.78125,231400.0,7.356902599334717,7.823724746704102,7.823724746704102,7.823724746704102,7.823724746704102
2000-01-10,8.0,7.625,7.9375,7.875,337000.0,7.4455389976501465,7.760693788528442,7.760693788528442,7.760693788528442,7.760693788528442
2000-01-11,7.8125,7.53125,7.8125,7.65625,318000.0,7.2387166023254395,7.686125619070871,7.686125619070871,7.686125619070871,7.686125619070871
2000-01-12,7.65625,7.1875,7.65625,7.25,219600.0,6.854622840881348,7.58218777179718,7.58218777179718,7.58218777179718,7.58218777179718
2000-01-13,7.34375,7.25,7.3125,7.3125,95600.0,6.913712501525879,7.5079127417670355,7.5079127417670355,7.5079127417670355,7.5079127417670355
2000-01-14,7.4375,6.75,7.4375,6.90625,755000.0,6.52962064743042,7.410083532333374,7.410083532333374,7.410083532333374,7.410083532333374
2000-01-18,6.875,6.6875,6.84375,6.875,431800.0,6.500074863433838,7.327355471524325,7.327355471524325,7.327355471524325,7.327355471524325
2000-01-19,7.09375,6.875,6.875,7.0,261800.0,6.618255138397217,7.268263777097066,7.268263777097066,7.268263777097066,7.268263777097066
2000-01-20,7.28125,6.9375,7.03125,7.0,525800.0,6.618255138397217,7.218263112581694,7.218263112581694,7.218263112581694,7.218263112581694
2000-01-21,7.0,6.875,6.90625,6.90625,767600.0,6.52962064743042,7.169074365070888,7.169074365070888,7.169074365070888,7.169074365070888
2000-01-24,7.0,6.75,6.9375,6.78125,258200.0,6.411434650421143,7.118565050760905,7.118565050760905,7.118565050760905,7.118565050760905
2000-01-25,6.6875,6.0625,6.6875,6.21875,654000.0,5.879611492156982,6.968866380055745,7.04113045334816,7.04113045334816,7.04113045334816
2000-01-26,6.1875,5.78125,6.1875,5.875,521200.0,5.554609775543213,6.805379994710287,6.953688060536104,6.953688060536104,6.953688060536104
2000-01-27,5.96875,5.78125,5.875,5.78125,272400.0,5.465972900390625,6.637953917185466,6.8710372183057995,6.8710372183057995,6.8710372183057995
2000-01-28,5.8125,5.625,5.78125,5.65625,98400.0,5.347787857055664,6.4843157768249515,6.790866199292634,6.790866199292634,6.790866199292634
2000-01-31,5.6875,5.53125,5.59375,5.5625,303400.0,5.259149551391602,6.344465573628743,6.714280366897583,6.714280366897583,6.714280366897583
2000-02-01,5.65625,5.4375,5.625,5.5625,290200.0,5.259149551391602,6.198706277211508,6.64498842330206,6.64498842330206,6.64498842330206
2000-02-02,5.78125,5.625,5.65625,5.71875,182600.0,5.406879901885986,6.076583830515544,6.588710763237693,6.588710763237693,6.588710763237693
2000-02-03,5.8125,5.71875,5.71875,5.75,196200.0,5.436426162719727,5.982037385304769,6.538611432780391,6.538611432780391,6.538611432780391
2000-02-04,5.84375,5.75,5.78125,5.78125,411400.0,5.465972900390625,5.885521411895752,6.493918160597484,6.493918160597484,6.493918160597484
