Date,High,Low,Open,Close,Volume,Adj Close,DVN-15ma,DVN-50ma,DVN-100ma,DVN-200ma
2000-01-03,16.75,16.03125,16.5625,16.1875,717600.0,13.400674819946289,13.400674819946289,13.400674819946289,13.400674819946289,13.400674819946289
2000-01-04,16.34375,15.6875,16.34375,15.84375,1480200.0,13.116108894348145,13.258391857147217,13.258391857147217,13.258391857147217,13.258391857147217
2000-01-05,16.125,15.75,15.9375,16.125,854000.0,13.348938941955566,13.28857421875,13.28857421875,13.28857421875,13.28857421875
2000-01-06,17.25,15.875,15.9375,16.9375,521000.0,14.021562576293945,13.471821308135986,13.471821308135986,13.471821308135986,13.471821308135986
2000-01-07,17.625,16.875,17.0,17.03125,545200.0,14.099164009094238,13.597289848327637,13.597289848327637,13.597289848327637,13.597289848327637
2000-01-10,17.125,16.46875,17.0625,16.8125,381800.0,13.918079376220703,13.650754769643148,13.650754769643148,13.650754769643148,13.650754769643148
2000-01-11,17.09375,16.6875,16.8125,17.0625,540400.0,14.125035285949707,13.718509129115514,13.718509129115514,13.718509129115514,13.718509129115514
2000-01-12,17.0,16.75,17.0,16.8125,370800.0,13.918079376220703,13.743455410003662,13.743455410003662,13.743455410003662,13.743455410003662
2000-01-13,17.28125,16.875,16.90625,17.1875,807400.0,14.228511810302734,13.797350565592447,13.797350565592447,13.797350565592447,13.797350565592447
2000-01-14,17.375,16.75,17.1875,17.28125,714400.0,14.306123733520508,13.848227882385254,13.848227882385254,13.848227882385254,13.848227882385254
2000-01-18,18.6875,17.28125,17.28125,18.6875,964600.0,15.470280647277832,13.995687224648215,13.995687224648215,13.995687224648215,13.995687224648215
2000-01-19,19.25,18.6875,18.6875,19.1875,1093800.0,15.884198188781738,14.15306313832601,14.15306313832601,14.15306313832601,14.15306313832601
2000-01-20,19.875,19.0625,19.0625,19.46875,1191400.0,16.11703109741211,14.304137596717247,14.304137596717247,14.304137596717247,14.304137596717247
2000-01-21,20.875,19.75,19.75,20.65625,1187200.0,17.10009765625,14.503849029541016,14.503849029541016,14.503849029541016,14.503849029541016
2000-01-24,21.03125,19.625,20.75,20.125,2022000.0,16.660287857055664,14.647611618041992,14.647611618041992,14.647611618041992,14.647611618041992
2000-01-25,20.03125,19.5625,20.0,19.625,595600.0,16.246383666992188,14.837325541178386,14.74753487110138,14.74753487110138,14.74753487110138
2000-01-26,20.15625,19.125,19.65625,19.125,668200.0,15.832459449768066,15.01841557820638,14.811353963964125,14.811353963964125,14.811353963964125
2000-01-27,19.75,18.46875,19.1875,18.78125,737400.0,15.547894477844238,15.165012613932292,14.852272881401909,14.852272881401909,14.852272881401909
2000-01-28,19.0625,18.5,18.75,18.78125,587200.0,15.547894477844238,15.266768074035644,14.888884544372559,14.888884544372559,14.888884544372559
2000-01-31,18.75,17.5625,18.75,17.5625,954000.0,14.538961410522461,15.296087900797525,14.871388387680053,14.871388387680053,14.871388387680053
2000-02-01,18.21875,17.5625,17.5625,18.03125,934400.0,14.927011489868164,15.363350041707356,14.874037106831869,14.874037106831869,14.874037106831869
2000-02-02,18.40625,17.8125,18.15625,17.8125,556000.0,14.745917320251465,15.404742177327474,14.868213480169123,14.868213480169123,14.868213480169123
2000-02-03,18.15625,17.8125,18.125,17.96875,409800.0,14.875269889831543,15.468554878234864,14.868520280589228,14.868520280589228,14.868520280589228
2000-02-04,18.375,17.8125,17.96875,18.0,466400.0,14.901135444641113,15.513396453857421,14.869879245758057,14.869879245758057,14.869879245758057
2000-02-07,18.5,17.875,17.875,18.0,535600.0,14.901135444641113,15.553063901265462,14.87112949371338,14.87112949371338,14.87112949371338
2000-02-08,18.0625,17.5625,18.0,18.0,266600.0,14.901135444641113,15.515120887756348,14.872283568749062,14.872283568749062,14.872283568749062
