Date,High,Low,Open,Close,Volume,Adj Close,CXO-15ma,CXO-50ma,CXO-100ma,CXO-200ma
2007-08-03,13.390000343322754,11.600000381469727,11.609999656677246,12.899999618530273,6608700.0,12.847240447998047,12.847240447998047,12.847240447998047,12.847240447998047,12.847240447998047
2007-08-06,13.229999542236328,12.069999694824219,13.0,12.699999809265137,796500.0,12.648058891296387,12.747649669647217,12.747649669647217,12.747649669647217,12.747649669647217
2007-08-07,12.899999618530273,12.369999885559082,12.640000343322754,12.600000381469727,450100.0,12.548467636108398,12.681255658467611,12.681255658467611,12.681255658467611,12.681255658467611
2007-08-08,13.0,12.520000457763672,12.649999618530273,12.880000114440918,225500.0,12.827322959899902,12.717772483825684,12.717772483825684,12.717772483825684,12.717772483825684
2007-08-09,13.100000381469727,12.270000457763672,12.449999809265137,12.9399995803833,131900.0,12.887076377868652,12.751633262634277,12.751633262634277,12.751633262634277,12.751633262634277
2007-08-10,13.199999809265137,12.609999656677246,12.720000267028809,12.8100004196167,236000.0,12.757610321044922,12.75262943903605,12.75262943903605,12.75262943903605,12.75262943903605
2007-08-13,13.210000038146973,12.899999618530273,12.90999984741211,13.069999694824219,240400.0,13.016546249389648,12.790331840515137,12.790331840515137,12.790331840515137,12.790331840515137
2007-08-14,13.489999771118164,12.8100004196167,13.449999809265137,13.010000228881836,45600.0,12.956790924072266,12.811139225959778,12.811139225959778,12.811139225959778,12.811139225959778
2007-08-15,13.100000381469727,12.600000381469727,12.989999771118164,12.880000114440918,298900.0,12.827322959899902,12.812937418619791,12.812937418619791,12.812937418619791,12.812937418619791
2007-08-16,12.729999542236328,12.5,12.600000381469727,12.699999809265137,78900.0,12.648058891296387,12.796449565887452,12.796449565887452,12.796449565887452,12.796449565887452
2007-08-17,13.0,12.489999771118164,12.489999771118164,13.0,297300.0,12.946831703186035,12.810120669278232,12.810120669278232,12.810120669278232,12.810120669278232
