Date,High,Low,Open,Close,Volume,Adj Close,ALK-15ma,ALK-50ma,ALK-100ma,ALK-200ma
2000-01-03,9.0,8.75,8.875,8.75,900400.0,7.886592864990234,7.886592864990234,7.886592864990234,7.886592864990234,7.886592864990234
2000-01-04,8.84375,8.625,8.796875,8.640625,892000.0,7.788008689880371,7.837300777435303,7.837300777435303,7.837300777435303,7.837300777435303
2000-01-05,8.75,8.515625,8.703125,8.6875,1016800.0,7.83025598526001,7.834952513376872,7.834952513376872,7.834952513376872,7.834952513376872
2000-01-06,8.765625,8.53125,8.6875,8.6953125,1045200.0,7.837301731109619,7.835539817810059,7.835539817810059,7.835539817810059,7.835539817810059
2000-01-07,9.078125,8.6875,8.765625,9.015625,1304800.0,8.126006126403809,7.893633079528809,7.893633079528809,7.893633079528809,7.893633079528809
2000-01-10,9.21875,8.8125,9.078125,8.859375,1474800.0,7.985173225402832,7.9088897705078125,7.9088897705078125,7.9088897705078125,7.9088897705078125
2000-01-11,9.109375,8.859375,8.96875,8.859375,1962800.0,7.985173225402832,7.919787406921387,7.919787406921387,7.919787406921387,7.919787406921387
2000-01-12,9.0,8.59375,8.921875,8.609375,1040400.0,7.759838104248047,7.899793744087219,7.899793744087219,7.899793744087219,7.899793744087219
2000-01-13,8.703125,8.46875,8.515625,8.59375,1389600.0,7.745757579803467,7.882678614722358,7.882678614722358,7.882678614722358,7.882678614722358
2000-01-14,8.703125,8.5,8.625,8.546875,1209200.0,7.7035064697265625,7.864761400222778,7.864761400222778,7.864761400222778,7.864761400222778
2000-01-18,8.609375,8.53125,8.578125,8.53125,765600.0,7.689424991607666,7.8488217267123135,7.8488217267123135,7.8488217267123135,7.8488217267123135
2000-01-19,8.5625,8.3125,8.515625,8.328125,941200.0,7.506342887878418,7.820281823476155,7.820281823476155,7.820281823476155,7.820281823476155
2000-01-20,8.421875,8.078125,8.34375,8.125,1241600.0,7.323263168334961,7.782049619234526,7.782049619234526,7.782049619234526,7.782049619234526
2000-01-21,8.140625,7.796875,8.0,7.953125,1471600.0,7.168347358703613,7.7382137434823175,7.7382137434823175,7.7382137434823175,7.7382137434823175
2000-01-24,8.0,7.53125,7.96875,7.53125,1567200.0,6.788102626800537,7.674873002370199,7.674873002370199,7.674873002370199,7.674873002370199
2000-01-25,7.734375,7.578125,7.59375,7.625,938000.0,6.872600078582764,7.6072734832763675,7.624730944633484,7.624730944633484,7.624730944633484
2000-01-26,8.1875,7.578125,7.625,8.0625,1780000.0,7.266931056976318,7.572534974416097,7.603683892418356,7.603683892418356,7.603683892418356
2000-01-27,8.09375,7.9375,8.09375,7.96875,959200.0,7.182430744171143,7.529346625010173,7.580280939737956,7.580280939737956,7.580280939737956
2000-01-28,8.21875,8.0,8.015625,8.15625,824000.0,7.351428985595703,7.496955108642578,7.568236100046258,7.568236100046258,7.568236100046258
2000-01-31,8.171875,7.96875,8.125,7.96875,1047200.0,7.182430744171143,7.4340500831604,7.548945832252502,7.548945832252502,7.548945832252502
2000-02-01,8.171875,7.375,7.46875,7.9375,3467600.0,7.1542649269104,7.378656196594238,7.530151503426688,7.530151503426688,7.530151503426688
2000-02-02,8.03125,7.734375,7.90625,7.953125,1629600.0,7.168347358703613,7.32420113881429,7.51370586048473,7.51370586048473,7.51370586048473
2000-02-03,7.890625,7.71875,7.84375,7.78125,1693200.0,7.01343297958374,7.274440797170003,7.491954865662948,7.491954865662948,7.491954865662948
2000-02-04,7.796875,7.671875,7.765625,7.671875,942400.0,6.914849281311035,7.219046910603841,7.467908799648285,7.467908799648285,7.467908799648285
2000-02-07,7.75,7.546875,7.609375,7.59375,1138800.0,6.844433307647705,7.161775366465251,7.442969779968262,7.442969779968262,7.442969779968262
2000-02-08,7.59375,7.453125,7.59375,7.515625,1420400.0,6.774017333984375,7.100748189290365,7.417240839738112,7.417240839738112,7.417240839738112
2000-02-09,7.5,7.390625,7.5,7.390625,782800.0,6.661352157592773,7.044415473937988,7.389244962621619,7.389244962621619,7.389244962621619
2000-02-10,7.546875,7.296875,7.484375,7.453125,1642800.0,6.717685699462891,7.00404364267985,7.365260703223092,7.365260703223092,7.365260703223092
2000-02-11,7.453125,7.296875,7.40625,7.296875,482400.0,6.576854228973389,6.964610767364502,7.3380742730765505,7.3380742730765505,7.3380742730765505
2000-02-14,7.296875,6.765625,7.28125,6.828125,1692000.0,6.154356479644775,6.922361024220785,7.298617013295492,7.298617013295492,7.298617013295492
2000-02-15,7.0,6.75,6.875,6.921875,1457200.0,6.238855361938477,6.880111376444499,7.264431153574297,7.264431153574297,7.264431153574297
2000-02-16,7.046875,6.859375,6.921875,6.953125,1769200.0,6.267023086547852,6.813450845082601,7.233262151479721,7.233262151479721,7.233262151479721
2000-02-17,7.140625,6.953125,6.984375,7.09375,1376800.0,6.393772602081299,6.760873635609944,7.207823074225224,7.207823074225224,7.207823074225224
2000-02-18,7.171875,6.9375,7.140625,7.03125,898000.0,6.337438583374023,6.693274275461833,7.182223530376659,7.182223530376659,7.182223530376659
2000-02-22,7.03125,6.8125,7.03125,6.859375,1195200.0,6.182522773742676,6.626613744099935,7.153660651615688,7.153660651615688,7.153660651615688
2000-02-23,6.890625,6.765625,6.890625,6.78125,1871600.0,6.112107753753662,6.557136599222819,7.124728626675076,7.124728626675076,7.124728626675076
2000-02-24,6.828125,6.65625,6.796875,6.8125,713200.0,6.140274524688721,6.488598410288493,7.098121759053823,7.098121759053823,7.098121759053823
2000-02-25,6.765625,6.625,6.75,6.65625,616000.0,5.999441623687744,6.420998986562093,7.069209123912611,7.069209123912611,7.069209123912611
2000-02-28,6.890625,6.625,6.625,6.765625,621600.0,6.098024845123291,6.366544024149577,7.044306962918013,7.044306962918013,7.044306962918013
2000-02-29,6.828125,6.53125,6.828125,6.625,987600.0,5.9712748527526855,6.308333460489909,7.01748116016388,7.01748116016388,7.01748116016388
2000-03-01,6.84375,6.65625,6.6875,6.671875,907200.0,6.013525485992432,6.257634003957112,6.9929944364036,6.9929944364036,6.9929944364036
2000-03-02,6.671875,6.5,6.640625,6.53125,638800.0,5.886776924133301,6.205995655059814,6.966655924206688,6.966655924206688,6.966655924206688
2000-03-03,6.828125,6.46875,6.546875,6.796875,1117600.0,6.126191139221191,6.166562684377035,6.947110231532607,6.947110231532607,6.947110231532607
2000-03-06,6.75,6.40625,6.734375,6.515625,1013200.0,5.872693061828613,6.119618606567383,6.922691659493879,6.922691659493879,6.922691659493879
