Date,High,Low,Open,Close,Volume,Adj Close,HSIC-15ma,HSIC-50ma,HSIC-100ma,HSIC-200ma
2000-01-03,2.7328431606292725,2.4264705181121826,2.7328431606292725,2.475490093231201,2159300.0,2.475490093231201,2.475490093231201,2.475490093231201,2.475490093231201,2.475490093231201
2000-01-04,2.463235378265381,2.3529412746429443,2.463235378265381,2.3529412746429443,928200.0,2.3529412746429443,2.4142156839370728,2.4142156839370728,2.4142156839370728,2.4142156839370728
2000-01-05,2.524509906768799,2.4142158031463623,2.463235378265381,2.5,2998700.0,2.5,2.4428104559580484,2.4428104559580484,2.4428104559580484,2.4428104559580484
2000-01-06,2.5490195751190186,2.4509804248809814,2.5,2.4877450466156006,1082200.0,2.4877450466156006,2.4540441036224365,2.4540441036224365,2.4540441036224365,2.4540441036224365
2000-01-07,2.598039150238037,2.4509804248809814,2.475490093231201,2.5735294818878174,4083500.0,2.5735294818878174,2.4779411792755126,2.4779411792755126,2.4779411792755126,2.4779411792755126
2000-01-10,2.7941176891326904,2.5735294818878174,2.598039150238037,2.7328431606292725,2310800.0,2.7328431606292725,2.5204248428344727,2.5204248428344727,2.5204248428344727,2.5204248428344727
2000-01-11,2.745098114013672,2.622549057006836,2.745098114013672,2.6715686321258545,1488100.0,2.6715686321258545,2.5420168127332414,2.5420168127332414,2.5420168127332414,2.5420168127332414
2000-01-12,2.745098114013672,2.622549057006836,2.6470587253570557,2.745098114013672,3887200.0,2.745098114013672,2.5674019753932953,2.5674019753932953,2.5674019753932953,2.5674019753932953
2000-01-13,3.1740195751190186,2.745098114013672,2.757352828979492,3.125,4864800.0,3.125,2.6293573114607067,2.6293573114607067,2.6293573114607067,2.6293573114607067
2000-01-14,3.186274528503418,2.965686321258545,3.149509906768799,3.0147058963775635,1209200.0,3.0147058963775635,2.6678921699523928,2.6678921699523928,2.6678921699523928,2.6678921699523928
2000-01-18,3.1372549533843994,3.0147058963775635,3.0147058963775635,3.0514705181121826,1677300.0,3.0514705181121826,2.7027629288760098,2.7027629288760098,2.7027629288760098,2.7027629288760098
2000-01-19,3.063725471496582,2.7696077823638916,3.063725471496582,2.81862735748291,1005200.0,2.81862735748291,2.7124182979265847,2.7124182979265847,2.7124182979265847,2.7124182979265847
2000-01-20,2.941176414489746,2.622549057006836,2.867647171020508,2.9166667461395264,1096500.0,2.9166667461395264,2.728129717019888,2.728129717019888,2.728129717019888,2.728129717019888
2000-01-21,2.941176414489746,2.81862735748291,2.879901885986328,2.8553922176361084,786400.0,2.8553922176361084,2.737219895635332,2.737219895635332,2.737219895635332,2.737219895635332
2000-01-24,2.965686321258545,2.7696077823638916,2.9166667461395264,2.941176414489746,843500.0,2.941176414489746,2.750816996892293,2.750816996892293,2.750816996892293,2.750816996892293
2000-01-25,2.9534313678741455,2.6470587253570557,2.873774528503418,2.757352828979492,1060200.0,2.757352828979492,2.7696078459421796,2.7512254863977432,2.7512254863977432,2.7512254863977432
2000-01-26,2.781862735748291,2.6470587253570557,2.6960785388946533,2.6470587253570557,327900.0,2.6470587253570557,2.789215675989787,2.745098029865938,2.745098029865938,2.745098029865938
2000-01-27,2.6715686321258545,2.524509906768799,2.6470587253570557,2.6470587253570557,1017900.0,2.6470587253570557,2.7990195910135904,2.739651401837667,2.739651401837667,2.739651401837667
2000-01-28,2.781862735748291,2.5735294818878174,2.6470587253570557,2.5735294818878174,1465200.0,2.5735294818878174,2.8047385533650715,2.730908142892938,2.730908142892938,2.730908142892938
2000-01-31,2.6715686321258545,2.5735294818878174,2.5735294818878174,2.5857841968536377,529300.0,2.5857841968536377,2.805555534362793,2.723651945590973,2.723651945590973,2.723651945590973
2000-02-01,2.6715686321258545,2.598039150238037,2.6348040103912354,2.622549057006836,878700.0,2.622549057006836,2.7982025941212973,2.7188375223250616,2.7188375223250616,2.7188375223250616
2000-02-02,2.683823585510254,2.6102941036224365,2.6102941036224365,2.622549057006836,335500.0,2.622549057006836,2.794934622446696,2.714460773901506,2.714460773901506,2.714460773901506
2000-02-03,2.6348040103912354,2.524509906768799,2.628676414489746,2.598039150238037,1194400.0,2.598039150238037,2.7851306915283205,2.7093989641770073,2.7093989641770073,2.7093989641770073
2000-02-04,2.622549057006836,2.5735294818878174,2.5857841968536377,2.6102941036224365,792500.0,2.6102941036224365,2.7508169651031493,2.7052695949872336,2.7052695949872336,2.7052695949872336
2000-02-07,2.622549057006836,2.5490195751190186,2.598039150238037,2.6102941036224365,685400.0,2.6102941036224365,2.7238561789194744,2.7014705753326416,2.7014705753326416,2.7014705753326416
2000-02-08,2.6348040103912354,2.5857841968536377,2.6102941036224365,2.6102941036224365,870000.0,2.6102941036224365,2.694444417953491,2.6979637879591722,2.6979637879591722,2.6979637879591722
