Date,High,Low,Open,Close,Volume,Adj Close,LIN-15ma,LIN-50ma,LIN-100ma,LIN-200ma
2000-01-03,26.0625,24.75,25.15625,24.90625,1369400.0,17.06389808654785,17.06389808654785,17.06389808654785,17.06389808654785,17.06389808654785
2000-01-04,24.78125,24.3125,24.65625,24.46875,983600.0,16.76416015625,16.914029121398926,16.914029121398926,16.914029121398926,16.914029121398926
2000-01-05,25.34375,24.46875,24.46875,24.90625,3410600.0,17.06389808654785,16.963985443115234,16.963985443115234,16.963985443115234,16.963985443115234
2000-01-06,26.84375,24.84375,24.90625,26.75,2463600.0,18.327098846435547,17.304763793945312,17.304763793945312,17.304763793945312,17.304763793945312
2000-01-07,26.96875,26.21875,26.625,26.78125,2128400.0,18.34850311279297,17.513511657714844,17.513511657714844,17.513511657714844,17.513511657714844
2000-01-10,26.875,26.46875,26.59375,26.8125,1391600.0,18.369915008544922,17.656245549519856,17.656245549519856,17.656245549519856,17.656245549519856
2000-01-11,27.46875,26.6875,26.6875,27.25,2303600.0,18.66966438293457,17.8010196685791,17.8010196685791,17.8010196685791,17.8010196685791
2000-01-12,27.4375,26.28125,27.125,26.78125,1497600.0,18.34850311279297,17.869455099105835,17.869455099105835,17.869455099105835,17.869455099105835
2000-01-13,27.28125,26.40625,26.75,26.40625,1135200.0,18.091588973999023,17.894136640760635,17.894136640760635,17.894136640760635,17.894136640760635
2000-01-14,27.0,26.65625,26.71875,26.71875,995200.0,18.305688858032227,17.935291862487794,17.935291862487794,17.935291862487794,17.935291862487794
2000-01-18,26.28125,25.1875,26.21875,25.5625,1185000.0,17.51351547241211,17.896948554299094,17.896948554299094,17.896948554299094,17.896948554299094
2000-01-19,25.21875,24.3125,25.1875,24.59375,1538400.0,16.849802017211914,17.809686342875164,17.809686342875164,17.809686342875164,17.809686342875164
2000-01-20,24.46875,22.75,24.46875,23.6875,1869400.0,16.22890281677246,17.68808761009803,17.68808761009803,17.68808761009803,17.68808761009803
2000-01-21,23.875,23.34375,23.8125,23.4375,1574400.0,16.057619094848633,17.571625573294504,17.571625573294504,17.571625573294504,17.571625573294504
2000-01-24,24.5,23.125,23.3125,24.375,2158000.0,16.699932098388672,17.513512674967448,17.513512674967448,17.513512674967448,17.513512674967448
2000-01-25,23.5,21.1875,23.375,21.96875,3920200.0,15.05134391784668,17.379342397054035,17.3596271276474,17.3596271276474,17.3596271276474
2000-01-26,22.375,21.125,21.96875,21.46875,2475200.0,14.708780288696289,17.242317072550456,17.203694960650274,17.203694960650274,17.203694960650274
2000-01-27,22.0,21.0625,21.125,21.875,2670800.0,14.987112998962402,17.103864733378092,17.080551518334282,17.080551518334282,17.080551518334282
2000-01-28,21.75,20.0,21.6875,20.40625,2028200.0,13.980835914611816,16.81411387125651,16.917408591822575,16.917408591822575,16.917408591822575
2000-01-31,20.5,19.25,20.5,20.375,2810000.0,13.95942211151123,16.52150847117106,16.769509267807006,16.769509267807006,16.769509267807006
2000-02-01,20.625,19.78125,20.25,20.5,2200800.0,14.045068740844727,16.233185386657716,16.639774004618328,16.639774004618328,16.639774004618328
2000-02-02,20.5,19.0,20.5,19.5,3565200.0,13.359938621520996,15.879203669230144,16.490690578113902,16.490690578113902,16.490690578113902
2000-02-03,20.78125,19.875,19.9375,20.25,3135600.0,13.873781204223633,15.58088887532552,16.37691190968389,16.37691190968389,16.37691190968389
2000-02-04,20.875,20.09375,20.125,20.6875,2354600.0,14.17352294921875,15.319684473673503,16.285104036331177,16.285104036331177,16.285104036331177
2000-02-07,21.1875,20.625,20.8125,21.0,3286000.0,14.387621879577637,15.058480008443196,16.209204750061033,16.209204750061033,16.209204750061033
2000-02-08,21.0,20.3125,20.5625,20.34375,1675600.0,13.938009262084961,14.82011292775472,16.12185107744657,16.12185107744657,16.12185107744657
2000-02-09,20.21875,19.53125,20.21875,19.6875,2568400.0,13.488401412963867,14.596019554138184,16.024315904687953,16.024315904687953,16.024315904687953
2000-02-10,19.9375,18.875,19.6875,19.21875,2178600.0,13.16724967956543,14.391909344991047,15.922277825219291,15.922277825219291,15.922277825219291
2000-02-11,19.125,18.5625,19.09375,18.8125,2328800.0,12.888912200927734,14.180662218729655,15.817679010588547,15.817679010588547,15.817679010588547
2000-02-14,19.5,18.5,18.6875,19.40625,1752400.0,13.295707702636719,13.953713925679525,15.733613300323487,15.733613300323487,15.733613300323487
2000-02-15,20.3125,19.125,19.1875,20.125,3780000.0,13.788143157958984,13.869500541687012,15.670856198956889,15.670856198956889,15.670856198956889
2000-02-16,20.8125,19.9375,20.1875,20.53125,2291200.0,14.066476821899414,13.82668031056722,15.620719343423843,15.620719343423843,15.620719343423843
2000-02-17,21.0,20.375,20.40625,20.4375,1514200.0,14.002242088317871,13.761022249857584,15.571674578117602,15.571674578117602,15.571674578117602
2000-02-18,20.375,19.6875,20.25,19.8125,1340400.0,13.574040412902832,13.733902549743652,15.512920632081872,15.512920632081872,15.512920632081872
2000-02-22,19.875,19.5625,19.6875,19.75,1890800.0,13.531219482421875,13.705355707804362,15.456300599234444,15.456300599234444,15.456300599234444
2000-02-23,20.25,19.1875,19.875,19.1875,2666000.0,13.145841598510742,13.645407231648763,15.392121182547676,15.392121182547676,15.392121182547676
2000-02-24,19.21875,17.5625,19.21875,17.96875,2292200.0,12.310842514038086,13.575467491149903,15.308843380696064,15.308843380696064,15.308843380696064
2000-02-25,18.125,17.5625,17.90625,17.75,1495200.0,12.16097354888916,13.461280314127604,15.226004700911673,15.226004700911673,15.226004700911673
2000-02-28,18.0625,17.4375,17.5625,17.65625,1979200.0,12.096741676330566,13.322828229268392,15.145767187460875,15.145767187460875,15.145767187460875
2000-02-29,17.6875,16.6875,17.5625,16.875,2777800.0,11.561488151550293,13.13441931406657,15.05616021156311,15.05616021156311,15.05616021156311
