Date,High,Low,Open,Close,Volume,Adj Close,ALGN-15ma,ALGN-50ma,ALGN-100ma,ALGN-200ma
2001-01-30,18.1875,16.25,18.125,16.875,812300,16.875,16.875,16.875,16.875,16.875
2001-01-31,17.1875,13.4375,17.125,13.5,1212700,13.5,15.1875,15.1875,15.1875,15.1875
2001-02-01,14.375,13.0,13.125,14.1875,669100,14.1875,14.854166666666666,14.854166666666666,14.854166666666666,14.854166666666666
2001-02-02,14.5625,13.75,14.0,14.125,775000,14.125,14.671875,14.671875,14.671875,14.671875
2001-02-05,14.5,13.875,14.4375,14.125,489400,14.125,14.5625,14.5625,14.5625,14.5625
2001-02-06,14.0625,13.875,14.015625,14.0,737900,14.0,14.46875,14.46875,14.46875,14.46875
2001-02-07,14.0625,13.0,14.0,13.0625,1361000,13.0625,14.267857142857142,14.267857142857142,14.267857142857142,14.267857142857142
2001-02-08,13.1875,13.0,13.125,13.0625,712000,13.0625,14.1171875,14.1171875,14.1171875,14.1171875
2001-02-09,13.0625,11.875,13.046875,12.0,1100800,12.0,13.881944444444445,13.881944444444445,13.881944444444445,13.881944444444445
2001-02-12,12.125,10.9375,12.046875,11.0625,552000,11.0625,13.6,13.6,13.6,13.6
2001-02-13,11.5625,11.0,11.0,11.4375,304300,11.4375,13.403409090909092,13.403409090909092,13.403409090909092,13.403409090909092
2001-02-14,11.75,11.0,11.421875,11.625,136900,11.625,13.255208333333334,13.255208333333334,13.255208333333334,13.255208333333334
2001-02-15,13.0,12.046875,12.0625,12.8125,1568600,12.8125,13.221153846153847,13.221153846153847,13.221153846153847,13.221153846153847
2001-02-16,13.0625,12.5,12.84375,13.0625,161500,13.0625,13.209821428571429,13.209821428571429,13.209821428571429,13.209821428571429
2001-02-20,13.6875,12.625,13.625,12.75,411200,12.75,13.179166666666667,13.179166666666667,13.179166666666667,13.179166666666667
2001-02-21,13.125,12.25,12.59375,12.3125,219000,12.3125,12.875,13.125,13.125,13.125
2001-02-22,12.5,11.5,12.0,12.109375,712500,12.109375,12.782291666666667,13.065257352941176,13.065257352941176,13.065257352941176
2001-02-23,12.25,10.625,12.125,11.0625,217800,11.0625,12.573958333333334,12.953993055555555,12.953993055555555,12.953993055555555
2001-02-26,11.375,8.75,10.65625,9.0,839200,9.0,12.232291666666667,12.745888157894736,12.745888157894736,12.745888157894736
2001-02-27,9.5,7.125,9.40625,7.5625,865200,7.5625,11.794791666666667,12.48671875,12.48671875,12.48671875
2001-02-28,8.125,7.375,8.09375,7.5,503600,7.5,11.361458333333333,12.249255952380953,12.249255952380953,12.249255952380953
2001-03-01,7.625,7.3125,7.484375,7.5625,464200,7.5625,10.994791666666666,12.036221590909092,12.036221590909092,12.036221590909092
2001-03-02,7.625,7.3125,7.5625,7.5,277800,7.5,10.623958333333333,11.83899456521739,11.83899456521739,11.83899456521739
2001-03-05,7.625,6.125,7.59375,6.6875,697900,6.6875,10.269791666666666,11.624348958333334,11.624348958333334,11.624348958333334
2001-03-06,7.625,6.5,6.515625,7.5,1922300,7.5,10.032291666666667,11.459375,11.459375,11.459375
2001-03-07,8.0,7.4375,7.96875,7.8125,321800,7.8125,9.790625,11.319110576923077,11.319110576923077,11.319110576923077
2001-03-08,8.5,7.625,7.8125,8.46875,242900,8.46875,9.580208333333333,11.213541666666666,11.213541666666666,11.213541666666666
2001-03-09,8.625,8.0,8.5625,8.125,165700,8.125,9.267708333333333,11.103236607142858,11.103236607142858,11.103236607142858
