Date,High,Low,Open,Close,Volume,Adj Close,SHW-15ma,SHW-50ma,SHW-100ma,SHW-200ma
2000-01-03,20.8125,19.75,20.75,20.125,574100.0,14.368254661560059,14.368254661560059,14.368254661560059,14.368254661560059,14.368254661560059
2000-01-04,20.0625,18.875,20.0,19.375,646800.0,13.832788467407227,14.100521564483643,14.100521564483643,14.100521564483643,14.100521564483643
2000-01-05,19.8125,19.375,19.4375,19.4375,622800.0,13.877406120300293,14.02614974975586,14.02614974975586,14.02614974975586,14.02614974975586
2000-01-06,20.25,19.5625,20.0625,19.75,583600.0,14.100519180297852,14.044742107391357,14.044742107391357,14.044742107391357,14.044742107391357
2000-01-07,20.0625,19.125,19.625,19.5,949500.0,13.922029495239258,14.020199584960938,14.020199584960938,14.020199584960938,14.020199584960938
2000-01-10,20.0,19.0625,19.5,19.0625,1067900.0,13.609682083129883,13.951780001322428,13.951780001322428,13.951780001322428,13.951780001322428
2000-01-11,19.6875,19.25,19.375,19.3125,1181500.0,13.788169860839844,13.928407124110631,13.928407124110631,13.928407124110631,13.928407124110631
2000-01-12,19.75,19.25,19.375,19.3125,709000.0,13.788169860839844,13.910877466201782,13.910877466201782,13.910877466201782,13.910877466201782
2000-01-13,19.375,19.0,19.3125,19.125,813500.0,13.65429973602295,13.882368829515245,13.882368829515245,13.882368829515245,13.882368829515245
2000-01-14,19.375,18.75,19.3125,18.875,937800.0,13.475812911987305,13.841713237762452,13.841713237762452,13.841713237762452,13.841713237762452
2000-01-18,18.875,18.25,18.625,18.5625,691400.0,13.252702713012695,13.788166826421564,13.788166826421564,13.788166826421564,13.788166826421564
2000-01-19,18.6875,18.3125,18.5625,18.375,642000.0,13.118833541870117,13.732389052708944,13.732389052708944,13.732389052708944,13.732389052708944
2000-01-20,18.375,17.375,18.375,17.625,858700.0,12.58337688446045,13.644003501305214,13.644003501305214,13.644003501305214,13.644003501305214
2000-01-21,18.25,17.6875,18.0,17.875,1121300.0,12.761865615844727,13.58099365234375,13.58099365234375,13.58099365234375,13.58099365234375
2000-01-24,18.3125,17.65625,17.875,17.9375,651600.0,12.806482315063477,13.529359563191731,13.529359563191731,13.529359563191731,13.529359563191731
2000-01-25,18.4375,17.625,17.875,18.0,835000.0,12.851104736328125,13.428216234842937,13.486968636512756,13.486968636512756,13.486968636512756
2000-01-26,18.375,17.75,18.0,17.8125,526000.0,12.717242240905762,13.353846486409505,13.441690613241757,13.441690613241757,13.441690613241757
2000-01-27,18.1875,17.6875,17.8125,17.9375,501700.0,12.806482315063477,13.282451566060384,13.406401263342964,13.406401263342964,13.406401263342964
2000-01-28,17.9375,17.4375,17.875,17.4375,476100.0,12.449505805969238,13.172384007771809,13.35603834453382,13.35603834453382,13.35603834453382
2000-01-31,18.125,17.375,17.4375,17.625,668900.0,12.58337688446045,13.083140500386556,13.317405271530152,13.317405271530152,13.317405271530152
2000-02-01,18.5,17.5,17.5,18.4375,746000.0,13.163460731506348,13.05339241027832,13.310074579148065,13.310074579148065,13.310074579148065
2000-02-02,18.375,17.4375,18.25,17.5,1205500.0,12.494134902954102,12.967123413085938,13.27298641204834,13.27298641204834,13.27298641204834
2000-02-03,19.6875,17.125,17.625,19.625,2110800.0,14.01128101348877,12.9819974899292,13.30508617732836,13.30508617732836,13.30508617732836
2000-02-04,20.6875,20.125,20.625,20.125,1715100.0,14.368254661560059,13.029594484965006,13.349384864171347,13.349384864171347,13.349384864171347
2000-02-07,20.1875,20.0,20.1875,20.1875,577100.0,14.412875175476074,13.092065302530925,13.391924476623535,13.391924476623535,13.391924476623535
2000-02-08,20.0,19.125,20.0,19.375,710700.0,13.832788467407227,13.130737686157227,13.408880783961369,13.408880783961369,13.408880783961369
2000-02-09,19.4375,18.75,19.375,19.1875,763500.0,13.698928833007812,13.169410705566406,13.419623304296422,13.419623304296422,13.419623304296422
2000-02-10,19.6875,19.125,19.1875,19.375,450400.0,13.832788467407227,13.25270481109619,13.43437920297895,13.43437920297895,13.43437920297895
2000-02-11,19.4375,18.5625,19.375,18.6875,492800.0,13.341946601867676,13.291376876831055,13.43119187190615,13.43119187190615,13.43119187190615
2000-02-14,19.125,18.5625,19.0,18.9375,735400.0,13.520435333251953,13.338973744710286,13.434166653951008,13.434166653951008,13.434166653951008
2000-02-15,20.0,18.9375,19.0,20.0,1031700.0,14.279011726379395,13.434167544047037,13.461419720803537,13.461419720803537,13.461419720803537
2000-02-16,20.0,19.375,20.0,19.5625,464200.0,13.966655731201172,13.517461776733398,13.477208346128464,13.477208346128464,13.477208346128464
2000-02-17,20.375,19.5625,19.625,20.25,618800.0,14.45749568939209,13.627529335021972,13.506914023197059,13.506914023197059,13.506914023197059
2000-02-18,20.1875,19.5625,20.0625,19.8125,723800.0,14.145143508911133,13.740571848551433,13.525685478659238,13.525685478659238,13.525685478659238
2000-02-22,20.0,19.6875,19.9375,19.875,542000.0,14.189765930175781,13.84766445159912,13.544659205845424,13.544659205845424,13.544659205845424
2000-02-23,20.125,19.375,20.125,20.0,888100.0,14.279011726379395,13.922034517923992,13.565057886971367,13.565057886971367,13.565057886971367
2000-02-24,19.75,19.0,19.75,19.1875,620900.0,13.792023658752441,14.008560434977214,13.571192097019505,13.571192097019505,13.571192097019505
2000-02-25,19.75,18.9375,19.375,19.0625,931400.0,13.702170372009277,13.987953058878581,13.574638893729762,13.574638893729762,13.574638893729762
2000-02-28,19.5625,19.0625,19.0625,19.125,637300.0,13.747091293334961,13.946542167663575,13.579060750129896,13.579060750129896,13.579060750129896
2000-02-29,19.5,19.0,19.5,19.125,551900.0,13.747091293334961,13.902156575520833,13.583261513710022,13.583261513710022,13.583261513710022
2000-03-01,19.625,19.125,19.625,19.375,488300.0,13.92679500579834,13.908423678080242,13.591640379370713,13.591640379370713,13.591640379370713
2000-03-02,19.6875,18.8125,19.375,19.0625,629600.0,13.702170372009277,13.908639780680339,13.594272045862107,13.594272045862107,13.594272045862107
2000-03-03,20.5,18.875,18.9375,19.9375,610900.0,14.331124305725098,13.94186216990153,13.611408144928689,13.611408144928689,13.611408144928689
2000-03-06,19.8125,18.9375,19.6875,19.0625,496600.0,13.702170372009277,13.96587708791097,13.613470922816884,13.613470922816884,13.613470922816884
2000-03-07,19.3125,18.5625,19.3125,18.8125,703800.0,13.522470474243164,13.966012763977051,13.611448690626357,13.611448690626357,13.611448690626357
2000-03-08,19.28125,18.3125,18.8125,18.75,1095500.0,13.477543830871582,13.912581570943196,13.608537715414297,13.608537715414297,13.608537715414297
2000-03-09,19.125,18.375,18.5,18.875,422100.0,13.567394256591797,13.88596413930257,13.607662322673391,13.607662322673391,13.607662322673391
2000-03-10,19.375,18.875,19.125,18.9375,554900.0,13.61231803894043,13.829618962605794,13.607759316762289,13.607759316762289,13.607759316762289
