Date,High,Low,Open,Close,Volume,Adj Close,INCY-15ma,INCY-50ma,INCY-100ma,INCY-200ma
2000-01-03,44.875,32.625,32.65625,44.828125,3834800.0,44.828125,44.828125,44.828125,44.828125,44.828125
2000-01-04,51.0,39.875,42.5,46.625,3576800.0,46.625,45.7265625,45.7265625,45.7265625,45.7265625
2000-01-05,46.625,40.25,46.5625,42.984375,1431400.0,42.984375,44.8125,44.8125,44.8125,44.8125
2000-01-06,45.375,39.4375,45.3125,41.65625,1636400.0,41.65625,44.0234375,44.0234375,44.0234375,44.0234375
2000-01-07,53.375,41.25,41.875,52.1875,2992000.0,52.1875,45.65625,45.65625,45.65625,45.65625
2000-01-10,59.9375,53.5625,54.0,55.125,2808200.0,55.125,47.234375,47.234375,47.234375,47.234375
2000-01-11,59.875,53.0,59.25,54.3125,2335400.0,54.3125,48.245535714285715,48.245535714285715,48.245535714285715,48.245535714285715
2000-01-12,58.5625,51.0,58.53125,51.5,1539800.0,51.5,48.65234375,48.65234375,48.65234375,48.65234375
2000-01-13,69.0,51.625,52.25,68.625,2144800.0,68.625,50.87152777777778,50.87152777777778,50.87152777777778,50.87152777777778
2000-01-14,68.8125,59.5,65.5,65.90625,1822200.0,65.90625,52.375,52.375,52.375,52.375
2000-01-18,66.0625,62.5,66.0625,65.03125,957200.0,65.03125,53.52556818181818,53.52556818181818,53.52556818181818,53.52556818181818
2000-01-19,71.0,63.5,64.75,69.9375,1426800.0,69.9375,54.893229166666664,54.893229166666664,54.893229166666664,54.893229166666664
2000-01-20,74.125,65.5625,70.0,72.859375,1413800.0,72.859375,56.27524038461539,56.27524038461539,56.27524038461539,56.27524038461539
2000-01-21,78.5625,71.125,72.25,78.5625,1682000.0,78.5625,57.8671875,57.8671875,57.8671875,57.8671875
2000-01-24,80.125,68.75,80.0,69.03125,2378600.0,69.03125,58.61145833333333,58.61145833333333,58.61145833333333,58.61145833333333
2000-01-25,68.78125,63.0625,68.75,64.6875,1488600.0,64.6875,59.93541666666667,58.9912109375,58.9912109375,58.9912109375
2000-01-26,71.125,65.625,67.25,67.9375,1394000.0,67.9375,61.35625,59.517463235294116,59.517463235294116,59.517463235294116
2000-01-27,72.0625,65.75,67.75,69.46875,1846000.0,69.46875,63.121875,60.0703125,60.0703125,60.0703125
2000-01-28,70.75,61.0,70.46875,64.25,1952800.0,64.25,64.628125,60.29029605263158,60.29029605263158,60.29029605263158
2000-01-31,62.375,53.46875,62.375,54.875,2499400.0,54.875,64.80729166666667,60.01953125,60.01953125,60.01953125
2000-02-01,57.75,53.0,54.5625,55.9375,2257600.0,55.9375,64.86145833333333,59.82514880952381,59.82514880952381,59.82514880952381
2000-02-02,65.0,56.5,56.75,61.9375,2249000.0,61.9375,65.36979166666667,59.92116477272727,59.92116477272727,59.92116477272727
2000-02-03,72.5,65.0,65.375,72.5,2016000.0,72.5,66.76979166666666,60.468070652173914,60.468070652173914,60.468070652173914
2000-02-04,71.5,59.75,70.875,67.5,1595400.0,67.5,66.69479166666666,60.761067708333336,60.761067708333336,60.761067708333336
2000-02-07,71.1875,67.8125,68.1875,70.0,1780000.0,70.0,66.96770833333333,61.130625,61.130625,61.130625
2000-02-08,71.5,62.25,70.9375,68.5,1917200.0,68.5,67.19895833333334,61.4140625,61.4140625,61.4140625
2000-02-09,80.375,69.6875,70.03125,79.5,4148200.0,79.5,67.83645833333334,62.08391203703704,62.08391203703704,62.08391203703704
2000-02-10,96.5,84.5,84.9375,95.046875,3566800.0,95.046875,69.315625,63.261160714285715,63.261160714285715,63.261160714285715
2000-02-11,99.75,87.0,94.5,91.28125,2959800.0,91.28125,70.16354166666666,64.22737068965517,64.22737068965517,64.22737068965517
