Date,High,Low,Open,Close,Volume,Adj Close,SWKS-15ma,SWKS-50ma,SWKS-100ma,SWKS-200ma
2000-01-03,31.5,28.84375,29.0625,31.40625,512000.0,29.107105255126953,29.107105255126953,29.107105255126953,29.107105255126953,29.107105255126953
2000-01-04,30.875,28.59375,30.8125,29.5625,292600.0,27.39833641052246,28.252720832824707,28.252720832824707,28.252720832824707,28.252720832824707
2000-01-05,30.4375,28.5625,29.59375,30.328125,411800.0,28.107908248901367,28.204449971516926,28.204449971516926,28.204449971516926,28.204449971516926
2000-01-06,30.40625,26.3125,29.125,27.375,385400.0,25.370973587036133,27.49608087539673,27.49608087539673,27.49608087539673,27.49608087539673
2000-01-07,30.46875,26.25,27.1875,30.1875,536000.0,27.977581024169922,27.592380905151366,27.592380905151366,27.592380905151366,27.592380905151366
2000-01-10,30.21875,27.75,30.0,28.546875,339800.0,26.457059860229492,27.403160730997723,27.403160730997723,27.403160730997723,27.403160730997723
2000-01-11,30.625,28.1875,28.375,28.53125,611400.0,26.44257926940918,27.265934807913645,27.265934807913645,27.265934807913645,27.265934807913645
2000-01-12,32.5625,30.3125,30.4375,32.3671875,1927200.0,29.997699737548828,27.607405424118042,27.607405424118042,27.607405424118042,27.607405424118042
2000-01-13,34.6875,32.40625,32.40625,34.5,1653400.0,31.974374771118164,28.09262424045139,28.09262424045139,28.09262424045139,28.09262424045139
2000-01-14,38.75,35.0,35.5,38.0,1820200.0,35.2181510925293,28.80517692565918,28.80517692565918,28.80517692565918,28.80517692565918
2000-01-18,39.5625,36.71875,36.71875,39.5625,697200.0,36.6662712097168,29.519821860573508,29.519821860573508,29.519821860573508,29.519821860573508
2000-01-19,44.3125,38.59375,39.03125,44.109375,1000000.0,40.88028335571289,30.466526985168457,30.466526985168457,30.466526985168457,30.466526985168457
2000-01-20,46.5,42.40625,44.3125,45.25,545400.0,41.937400817871094,31.34890189537635,31.34890189537635,31.34890189537635,31.34890189537635
2000-01-21,47.46875,44.6875,45.90625,45.96875,666200.0,42.60353088378906,32.15280396597726,32.15280396597726,32.15280396597726,32.15280396597726
2000-01-24,50.0625,41.875,45.84375,44.390625,549600.0,41.14093780517578,32.75201288859049,32.75201288859049,32.75201288859049,32.75201288859049
2000-01-25,46.5625,43.0,44.25,45.5,845400.0,42.16910171508789,33.62281265258789,33.34058094024658,33.34058094024658,33.34058094024658
2000-01-26,46.125,41.875,45.875,43.3125,440800.0,40.14175033569336,34.47237358093262,33.74064972821404,33.74064972821404,33.74064972821404
2000-01-27,46.1875,43.0,43.15625,43.5,907000.0,40.31551742553711,35.286214192708336,34.1059201558431,34.1059201558431,34.1059201558431
2000-01-28,45.625,42.96875,43.53125,43.75,293200.0,40.54720687866211,36.29796307881673,34.44493524651779,34.44493524651779,34.44493524651779
2000-01-31,43.96875,40.34375,43.96875,41.875,257800.0,38.80946731567383,37.02008883158366,34.66316184997559,34.66316184997559,34.66316184997559
