Date,High,Low,Open,Close,Volume,Adj Close,CFG-15ma,CFG-50ma,CFG-100ma,CFG-200ma
2014-09-24,23.219999313354492,21.350000381469727,21.5,23.079999923706055,60450900.0,20.681087493896484,20.681087493896484,20.681087493896484,20.681087493896484,20.681087493896484
2014-09-25,23.40999984741211,22.450000762939453,22.559999465942383,23.049999237060547,8430000.0,20.654205322265625,20.667646408081055,20.667646408081055,20.667646408081055,20.667646408081055
2014-09-26,23.3700008392334,22.90999984741211,23.18000030517578,23.25,2504400.0,20.833417892456055,20.722903569539387,20.722903569539387,20.722903569539387,20.722903569539387
2014-09-29,23.450000762939453,22.90999984741211,23.139999389648438,23.229999542236328,4832600.0,20.815494537353516,20.74605131149292,20.74605131149292,20.74605131149292,20.74605131149292
2014-09-30,23.56999969482422,23.049999237060547,23.110000610351562,23.420000076293945,4103100.0,20.98575210571289,20.793991470336913,20.793991470336913,20.793991470336913,20.793991470336913
2014-10-01,23.610000610351562,23.110000610351562,23.219999313354492,23.440000534057617,3915500.0,21.00366973876953,20.828937848409016,20.828937848409016,20.828937848409016,20.828937848409016
2014-10-02,23.59000015258789,23.30299949645996,23.34000015258789,23.34000015258789,3121400.0,20.914066314697266,20.84109905787877,20.84109905787877,20.84109905787877,20.84109905787877
2014-10-03,23.469999313354492,23.010000228881836,23.3799991607666,23.229999542236328,1585900.0,20.815494537353516,20.83789849281311,20.83789849281311,20.83789849281311,20.83789849281311
2014-10-06,23.3700008392334,22.610000610351562,23.280000686645508,22.639999389648438,1208400.0,20.286821365356445,20.77666770087348,20.77666770087348,20.77666770087348,20.77666770087348
2014-10-07,22.739999771118164,22.260000228881836,22.559999465942383,22.520000457763672,1508400.0,20.17929458618164,20.716930389404297,20.716930389404297,20.716930389404297,20.716930389404297
2014-10-08,23.149999618530273,22.110000610351562,22.110000610351562,22.75,1649200.0,20.385387420654297,20.686790119517934,20.686790119517934,20.686790119517934,20.686790119517934
2014-10-09,23.0,22.239999771118164,23.0,22.479999542236328,1229100.0,20.143449783325195,20.641511758168537,20.641511758168537,20.641511758168537,20.641511758168537
2014-10-10,22.559999465942383,22.135000228881836,22.389999389648438,22.280000686645508,924000.0,19.964235305786133,20.58941356952374,20.58941356952374,20.58941356952374,20.58941356952374
2014-10-13,22.65999984741211,22.1200008392334,22.1299991607666,22.450000762939453,1382800.0,20.116573333740234,20.555639266967773,20.555639266967773,20.555639266967773,20.555639266967773
2014-10-14,22.790000915527344,22.299999237060547,22.5,22.450000762939453,1605800.0,20.116573333740234,20.526368204752604,20.526368204752604,20.526368204752604,20.526368204752604
