Date,High,Low,Open,Close,Volume,Adj Close,ANET-15ma,ANET-50ma,ANET-100ma,ANET-200ma
2014-06-06,60.0,55.0,55.25,55.0,7255100,55.0,55.0,55.0,55.0,55.0
2014-06-09,57.0,55.0,56.25,55.20000076293945,716900,55.20000076293945,55.10000038146973,55.10000038146973,55.10000038146973,55.10000038146973
2014-06-10,60.0,55.25,55.25,60.0,986800,60.0,56.733333587646484,56.733333587646484,56.733333587646484,56.733333587646484
2014-06-11,63.5,58.65999984741211,60.0,63.5,660500,63.5,58.42500019073486,58.42500019073486,58.42500019073486,58.42500019073486
2014-06-12,67.83000183105469,63.06999969482422,63.650001525878906,66.0,729300,66.0,59.94000015258789,59.94000015258789,59.94000015258789,59.94000015258789
2014-06-13,72.0,67.0,68.47000122070312,69.58000183105469,1065700,69.58000183105469,61.54666709899902,61.54666709899902,61.54666709899902,61.54666709899902
2014-06-16,71.5,67.63500213623047,71.22000122070312,71.5,417000,71.5,62.96857179914202,62.96857179914202,62.96857179914202,62.96857179914202
2014-06-17,72.62999725341797,69.0,71.88999938964844,69.70999908447266,278600,69.70999908447266,63.81125020980835,63.81125020980835,63.81125020980835,63.81125020980835
2014-06-18,71.0,67.87999725341797,70.06999969482422,68.95999908447266,208800,68.95999908447266,64.38333341810439,64.38333341810439,64.38333341810439,64.38333341810439
2014-06-19,68.80999755859375,64.51000213623047,68.02999877929688,65.66999816894531,651600,65.66999816894531,64.51199989318847,64.51199989318847,64.51199989318847,64.51199989318847
2014-06-20,68.5,64.5,65.05000305175781,65.1500015258789,294000,65.1500015258789,64.57000004161488,64.57000004161488,64.57000004161488,64.57000004161488
2014-06-23,67.48999786376953,65.0199966430664,65.0199966430664,65.70999908447266,116500,65.70999908447266,64.66499996185303,64.66499996185303,64.66499996185303,64.66499996185303
2014-06-24,66.75,63.869998931884766,66.3499984741211,64.27999877929688,192800,64.27999877929688,64.63538448627179,64.63538448627179,64.63538448627179,64.63538448627179
2014-06-25,65.35800170898438,62.0,63.810001373291016,64.48999786376953,186200,64.48999786376953,64.62499972752163,64.62499972752163,64.62499972752163,64.62499972752163
2014-06-26,64.80999755859375,62.5,64.80999755859375,63.810001373291016,97100,63.810001373291016,64.57066650390625,64.57066650390625,64.57066650390625,64.57066650390625
2014-06-27,63.90999984741211,62.25,63.90999984741211,62.54999923706055,244700,62.54999923706055,65.07399978637696,64.4443747997284,64.4443747997284,64.4443747997284
2014-06-30,65.19999694824219,62.06999969482422,62.06999969482422,62.38999938964844,232000,62.38999938964844,65.55333302815755,64.32352918737075,64.32352918737075,64.32352918737075
