Date,High,Low,Open,Close,Volume,Adj Close,MHK-15ma,MHK-50ma,MHK-100ma,MHK-200ma
2000-01-03,26.0,23.875,26.0,24.5625,159500,24.5625,24.5625,24.5625,24.5625,24.5625
2000-01-04,24.875,23.875,24.8125,24.0,160600,24.0,24.28125,24.28125,24.28125,24.28125
2000-01-05,24.5625,23.625,24.0625,24.4375,80400,24.4375,24.333333333333332,24.333333333333332,24.333333333333332,24.333333333333332
2000-01-06,24.75,24.0,24.4375,24.3125,105300,24.3125,24.328125,24.328125,24.328125,24.328125
2000-01-07,24.625,24.0,24.1875,24.625,53700,24.625,24.3875,24.3875,24.3875,24.3875
2000-01-10,24.875,24.1875,24.8125,24.8125,60000,24.8125,24.458333333333332,24.458333333333332,24.458333333333332,24.458333333333332
2000-01-11,25.3125,24.375,24.9375,24.375,99100,24.375,24.446428571428573,24.446428571428573,24.446428571428573,24.446428571428573
2000-01-12,24.625,23.4375,24.625,23.5,105600,23.5,24.328125,24.328125,24.328125,24.328125
2000-01-13,24.375,23.8125,23.8125,24.375,236100,24.375,24.333333333333332,24.333333333333332,24.333333333333332,24.333333333333332
2000-01-14,25.4375,24.3125,24.3125,25.0,387100,25.0,24.4,24.4,24.4,24.4
2000-01-18,24.9375,24.75,24.875,24.75,96300,24.75,24.431818181818183,24.431818181818183,24.431818181818183,24.431818181818183
2000-01-19,24.875,24.75,24.75,24.875,146400,24.875,24.46875,24.46875,24.46875,24.46875
2000-01-20,24.9375,23.5,24.875,23.5625,132000,23.5625,24.39903846153846,24.39903846153846,24.39903846153846,24.39903846153846
2000-01-21,23.8125,23.625,23.6875,23.6875,105400,23.6875,24.348214285714285,24.348214285714285,24.348214285714285,24.348214285714285
2000-01-24,23.9375,23.5625,23.6875,23.5625,57500,23.5625,24.295833333333334,24.295833333333334,24.295833333333334,24.295833333333334
2000-01-25,23.625,22.125,23.625,22.25,243800,22.25,24.141666666666666,24.16796875,24.16796875,24.16796875
2000-01-26,22.6875,21.1875,22.0,22.3125,290600,22.3125,24.029166666666665,24.058823529411764,24.058823529411764,24.058823529411764
2000-01-27,22.9375,22.3125,22.375,22.6875,215900,22.6875,23.9125,23.98263888888889,23.98263888888889,23.98263888888889
2000-01-28,23.375,22.6875,22.75,23.0625,213200,23.0625,23.829166666666666,23.93421052631579,23.93421052631579,23.93421052631579
2000-01-31,23.75,22.875,22.875,23.4375,320600,23.4375,23.75,23.909375,23.909375,23.909375
2000-02-01,23.6875,23.4375,23.4375,23.5625,371300,23.5625,23.666666666666668,23.892857142857142,23.892857142857142,23.892857142857142
2000-02-02,23.6875,22.8125,23.5625,23.375,191200,23.375,23.6,23.869318181818183,23.869318181818183,23.869318181818183
2000-02-03,24.0625,23.0625,23.5625,23.25,211000,23.25,23.583333333333332,23.842391304347824,23.842391304347824,23.842391304347824
2000-02-04,23.6875,23.1875,23.1875,23.3125,68600,23.3125,23.5125,23.8203125,23.8203125,23.8203125
2000-02-07,23.5,22.75,23.375,22.8125,33500,22.8125,23.366666666666667,23.78,23.78,23.78
2000-02-08,22.875,22.25,22.875,22.625,106000,22.625,23.225,23.735576923076923,23.735576923076923,23.735576923076923
2000-02-09,22.625,21.3125,22.5,21.75,169600,21.75,23.016666666666666,23.662037037037038,23.662037037037038,23.662037037037038
2000-02-10,22.1875,21.75,21.8125,22.1875,200700,22.1875,22.925,23.609375,23.609375,23.609375
2000-02-11,22.0625,21.5625,22.0625,21.8125,171200,21.8125,22.8,23.54741379310345,23.54741379310345,23.54741379310345
2000-02-14,22.75,21.8125,21.8125,22.375,368300,22.375,22.720833333333335,23.508333333333333,23.508333333333333,23.508333333333333
2000-02-15,22.8125,22.5625,22.5625,22.625,170300,22.625,22.745833333333334,23.47983870967742,23.47983870967742,23.47983870967742
2000-02-16,23.4375,22.4375,22.5,22.625,198900,22.625,22.766666666666666,23.453125,23.453125,23.453125
2000-02-17,22.75,22.375,22.75,22.4375,136700,22.4375,22.75,23.422348484848484,23.422348484848484,23.422348484848484
