Date,High,Low,Open,Close,Volume,Adj Close,WCG-15ma,WCG-50ma,WCG-100ma,WCG-200ma
2004-07-01,20.190000534057617,18.809999465942383,19.299999237060547,19.530000686645508,5127600,19.530000686645508,19.530000686645508,19.530000686645508,19.530000686645508,19.530000686645508
2004-07-02,20.84000015258789,19.149999618530273,19.479999542236328,20.450000762939453,571800,20.450000762939453,19.99000072479248,19.99000072479248,19.99000072479248,19.99000072479248
2004-07-06,20.399999618530273,19.899999618530273,20.350000381469727,20.0,277300,20.0,19.99333381652832,19.99333381652832,19.99333381652832,19.99333381652832
2004-07-07,20.299999237060547,19.899999618530273,19.950000762939453,20.100000381469727,312300,20.100000381469727,20.020000457763672,20.020000457763672,20.020000457763672,20.020000457763672
2004-07-08,20.639999389648438,20.0,20.0,20.25,159200,20.25,20.066000366210936,20.066000366210936,20.066000366210936,20.066000366210936
2004-07-09,20.260000228881836,20.049999237060547,20.200000762939453,20.260000228881836,43200,20.260000228881836,20.098333676656086,20.098333676656086,20.098333676656086,20.098333676656086
2004-07-12,20.639999389648438,20.0,20.200000762939453,20.549999237060547,130500,20.549999237060547,20.16285732814244,20.16285732814244,20.16285732814244,20.16285732814244
2004-07-13,20.700000762939453,20.049999237060547,20.5,20.170000076293945,175500,20.170000076293945,20.163750171661377,20.163750171661377,20.163750171661377,20.163750171661377
2004-07-14,20.149999618530273,19.440000534057617,20.049999237060547,19.479999542236328,130400,19.479999542236328,20.087777879503037,20.087777879503037,20.087777879503037,20.087777879503037
2004-07-15,19.780000686645508,19.469999313354492,19.479999542236328,19.600000381469727,169400,19.600000381469727,20.03900012969971,20.03900012969971,20.03900012969971,20.03900012969971
2004-07-16,19.700000762939453,19.149999618530273,19.59000015258789,19.670000076293945,106900,19.670000076293945,20.005454670299184,20.005454670299184,20.005454670299184,20.005454670299184
2004-07-19,19.75,19.100000381469727,19.670000076293945,19.350000381469727,39800,19.350000381469727,19.950833479563396,19.950833479563396,19.950833479563396,19.950833479563396
2004-07-20,19.299999237060547,18.75,19.299999237060547,19.25,184800,19.25,19.89692321190467,19.89692321190467,19.89692321190467,19.89692321190467
2004-07-21,19.299999237060547,19.190000534057617,19.25,19.200000762939453,223600,19.200000762939453,19.847143036978586,19.847143036978586,19.847143036978586,19.847143036978586
2004-07-22,19.700000762939453,19.200000762939453,19.25,19.700000762939453,81200,19.700000762939453,19.837333552042644,19.837333552042644,19.837333552042644,19.837333552042644
2004-07-23,20.0,19.649999618530273,19.649999618530273,19.799999237060547,65800,19.799999237060547,19.855333455403645,19.835000157356262,19.835000157356262,19.835000157356262
2004-07-26,19.899999618530273,19.75,19.75,19.770000457763672,66700,19.770000457763672,19.81000010172526,19.83117664561552,19.83117664561552,19.83117664561552
2004-07-27,19.700000762939453,19.3700008392334,19.700000762939453,19.5,187700,19.5,19.776666768391927,19.812777943081326,19.812777943081326,19.812777943081326
2004-07-28,19.350000381469727,19.049999237060547,19.350000381469727,19.350000381469727,72700,19.350000381469727,19.726666768391926,19.788421229312295,19.788421229312295,19.788421229312295
2004-07-29,19.700000762939453,19.34000015258789,19.350000381469727,19.700000762939453,39900,19.700000762939453,19.690000152587892,19.784000205993653,19.784000205993653,19.784000205993653
2004-07-30,19.649999618530273,19.5,19.649999618530273,19.610000610351562,32400,19.610000610351562,19.64666684468587,19.775714510963077,19.775714510963077,19.775714510963077
