Date,High,Low,Open,Close,Volume,Adj Close,CMG-15ma,CMG-50ma,CMG-100ma,CMG-200ma
2006-01-26,48.279998779296875,39.5099983215332,45.0,44.0,13218600,44.0,44.0,44.0,44.0,44.0
2006-01-27,44.900001525878906,41.75,44.880001068115234,42.20000076293945,1150800,42.20000076293945,43.10000038146973,43.10000038146973,43.10000038146973,43.10000038146973
2006-01-30,45.5099983215332,41.25,42.20000076293945,44.79999923706055,735800,44.79999923706055,43.666666666666664,43.666666666666664,43.666666666666664,43.666666666666664
2006-01-31,49.29999923706055,45.380001068115234,45.5,47.52000045776367,1111200,47.52000045776367,44.63000011444092,44.63000011444092,44.63000011444092,44.63000011444092
2006-02-01,49.2400016784668,45.25,48.900001525878906,46.560001373291016,606700,46.560001373291016,45.01600036621094,45.01600036621094,45.01600036621094,45.01600036621094
2006-02-02,47.90999984741211,44.2599983215332,47.900001525878906,44.75,401500,44.75,44.971666971842446,44.971666971842446,44.971666971842446,44.971666971842446
2006-02-03,46.560001373291016,44.25,44.849998474121094,46.54999923706055,245300,46.54999923706055,45.197143009730745,45.197143009730745,45.197143009730745,45.197143009730745
2006-02-06,48.0,46.0,47.47999954223633,47.709999084472656,349800,47.709999084472656,45.511250019073486,45.511250019073486,45.511250019073486,45.511250019073486
2006-02-07,47.75,45.25,47.709999084472656,46.279998779296875,267200,46.279998779296875,45.5966665479872,45.5966665479872,45.5966665479872,45.5966665479872
2006-02-08,46.599998474121094,45.040000915527344,45.849998474121094,45.7400016784668,174400,45.7400016784668,45.611000061035156,45.611000061035156,45.611000061035156,45.611000061035156
2006-02-09,46.0,43.08000183105469,45.779998779296875,44.04999923706055,220300,44.04999923706055,45.46909089521928,45.46909089521928,45.46909089521928,45.46909089521928
2006-02-10,43.2599983215332,41.5,43.25,42.310001373291016,375500,42.310001373291016,45.205833435058594,45.205833435058594,45.205833435058594,45.205833435058594
2006-02-13,42.54999923706055,41.0,41.75,41.47999954223633,199100,41.47999954223633,44.91923082791842,44.91923082791842,44.91923082791842,44.91923082791842
2006-02-14,43.2599983215332,41.189998626708984,41.45000076293945,43.0,197900,43.0,44.78214291163853,44.78214291163853,44.78214291163853,44.78214291163853
