Date,High,Low,Open,Close,Volume,Adj Close,JBHT-15ma,JBHT-50ma,JBHT-100ma,JBHT-200ma
2000-01-03,3.609375,3.265625,3.5625,3.359375,246000.0,2.8162074089050293,2.8162074089050293,2.8162074089050293,2.8162074089050293,2.8162074089050293
2000-01-04,3.3125,3.1875,3.265625,3.1875,279600.0,2.672122001647949,2.7441647052764893,2.7441647052764893,2.7441647052764893,2.7441647052764893
2000-01-05,3.30859375,3.15625,3.25,3.21875,145600.0,2.698319435119629,2.7288829485575357,2.7288829485575357,2.7288829485575357,2.7288829485575357
2000-01-06,3.34375,3.25,3.25,3.3125,223600.0,2.7769110202789307,2.7408899664878845,2.7408899664878845,2.7408899664878845,2.7408899664878845
2000-01-07,3.484375,3.265625,3.34375,3.3125,165600.0,2.7769110202789307,2.748094177246094,2.748094177246094,2.748094177246094,2.748094177246094
2000-01-10,3.40625,3.1875,3.34375,3.21875,272400.0,2.698319435119629,2.739798386891683,2.739798386891683,2.739798386891683,2.739798386891683
2000-01-11,3.3125,3.21875,3.28125,3.265625,134400.0,2.7376151084899902,2.7394864899771556,2.7394864899771556,2.7394864899771556,2.7394864899771556
2000-01-12,3.265625,3.171875,3.1875,3.234375,229200.0,2.7114171981811523,2.735977828502655,2.735977828502655,2.735977828502655,2.735977828502655
2000-01-13,3.28125,3.21875,3.21875,3.25,300800.0,2.7245166301727295,2.734704362021552,2.734704362021552,2.734704362021552,2.734704362021552
2000-01-14,3.265625,3.171875,3.21875,3.25,172000.0,2.7245166301727295,2.73368558883667,2.73368558883667,2.73368558883667,2.73368558883667
2000-01-18,3.28125,3.171875,3.21875,3.21875,259600.0,2.698319435119629,2.7304704839533027,2.7304704839533027,2.7304704839533027,2.7304704839533027
2000-01-19,3.1875,3.109375,3.15625,3.109375,179600.0,2.60662841796875,2.7201503117879233,2.7201503117879233,2.7201503117879233,2.7201503117879233
2000-01-20,3.234375,3.109375,3.109375,3.21875,267600.0,2.698319435119629,2.7184710135826697,2.7184710135826697,2.7184710135826697,2.7184710135826697
2000-01-21,3.21875,3.078125,3.21875,3.078125,192800.0,2.5804319381713867,2.708611079624721,2.708611079624721,2.708611079624721,2.708611079624721
