Date,High,Low,Open,Close,Volume,Adj Close,FAST-15ma,FAST-50ma,FAST-100ma,FAST-200ma
2000-01-03,2.8125,2.625,2.796875,2.65234375,1889600.0,1.9006876945495605,1.9006876945495605,1.9006876945495605,1.9006876945495605,1.9006876945495605
2000-01-04,2.65625,2.49609375,2.6328125,2.5,1691200.0,1.791515588760376,1.8461016416549683,1.8461016416549683,1.8461016416549683,1.8461016416549683
2000-01-05,2.62109375,2.484375,2.49609375,2.60546875,3872000.0,1.8670960664749146,1.853099783261617,1.853099783261617,1.853099783261617,1.853099783261617
2000-01-06,2.6484375,2.578125,2.6171875,2.60546875,1435200.0,1.8670960664749146,1.8565988540649414,1.8565988540649414,1.8565988540649414,1.8565988540649414
2000-01-07,2.640625,2.59375,2.60546875,2.6015625,4795200.0,1.8642964363098145,1.858138370513916,1.858138370513916,1.858138370513916,1.858138370513916
2000-01-10,2.609375,2.53125,2.609375,2.53515625,2587200.0,1.8167091608047485,1.8512335022290547,1.8512335022290547,1.8512335022290547,1.8512335022290547
2000-01-11,2.578125,2.53125,2.53125,2.5546875,4742400.0,1.8307056427001953,1.8483009508677892,1.8483009508677892,1.8483009508677892,1.8483009508677892
2000-01-12,2.5625,2.4921875,2.5390625,2.505859375,3872000.0,1.7957149744033813,1.8417277038097382,1.8417277038097382,1.8417277038097382,1.8417277038097382
2000-01-13,3.04296875,2.50390625,2.50390625,2.890625,12150400.0,2.071441650390625,1.8672514756520588,1.8672514756520588,1.8672514756520588,1.8672514756520588
2000-01-14,2.90625,2.8046875,2.890625,2.80859375,5040000.0,2.0126571655273438,1.8817920446395875,1.8817920446395875,1.8817920446395875,1.8817920446395875
2000-01-18,2.84375,2.7734375,2.8046875,2.77734375,2755200.0,1.990262746810913,1.8916530175642534,1.8916530175642534,1.8916530175642534,1.8916530175642534
2000-01-19,3.12109375,2.8359375,2.84765625,2.9921875,7625600.0,2.1442220211029053,1.9127004345258076,1.9127004345258076,1.9127004345258076,1.9127004345258076
2000-01-20,3.1484375,3.015625,3.05859375,3.05078125,9560000.0,2.1862099170684814,1.9337396254906287,1.9337396254906287,1.9337396254906287,1.9337396254906287
2000-01-21,3.08984375,3.015625,3.046875,3.060546875,6924800.0,2.1932075023651123,1.9522730452673775,1.9522730452673775,1.9522730452673775,1.9522730452673775
2000-01-24,3.0625,2.84375,3.0546875,2.87890625,2564800.0,2.0630435943603516,1.9596577485402424,1.9596577485402424,1.9596577485402424,1.9596577485402424
