Date,High,Low,Open,Close,Volume,Adj Close,MTD-15ma,MTD-50ma,MTD-100ma,MTD-200ma
2000-02-15,38.4375,37.9375,37.9375,38.1875,87900,38.1875,35.45,35.336693548387096,35.336693548387096,35.336693548387096
2000-02-16,38.6875,38.0,38.25,38.375,44700,38.375,35.74583333333333,35.431640625,35.431640625,35.431640625
2000-02-17,38.625,37.0625,38.5,37.9375,83100,37.9375,36.0625,35.50757575757576,35.50757575757576,35.50757575757576
2000-02-18,37.6875,36.5,37.6875,36.5,54800,36.5,36.34166666666667,35.536764705882355,35.536764705882355,35.536764705882355
2000-02-22,36.5625,35.75,36.5625,36.25,80400,36.25,36.63333333333333,35.55714285714286,35.55714285714286,35.55714285714286
2000-02-23,37.0,36.125,36.375,36.9375,108000,36.9375,36.9625,35.595486111111114,35.595486111111114,35.595486111111114
2000-02-24,36.9375,36.5,36.9375,36.8125,67600,36.8125,37.25833333333333,35.62837837837838,35.62837837837838,35.62837837837838
2000-02-25,37.125,36.75,36.8125,37.0,141900,37.0,37.391666666666666,35.66447368421053,35.66447368421053,35.66447368421053
2000-02-28,39.375,36.875,37.0,38.6875,134800,38.6875,37.44583333333333,35.74198717948718,35.74198717948718,35.74198717948718
2000-02-29,39.0,38.4375,38.625,38.625,85700,38.625,37.4875,35.8140625,35.8140625,35.8140625
2000-03-01,38.625,38.0,38.0,38.4375,91600,38.4375,37.55833333333333,35.8780487804878,35.8780487804878,35.8780487804878
2000-03-02,38.4375,37.0625,38.4375,37.3125,46600,37.3125,37.575,35.91220238095238,35.91220238095238,35.91220238095238
2000-03-03,37.5,36.875,37.25,37.3125,75200,37.3125,37.57083333333333,35.94476744186046,35.94476744186046,35.94476744186046
2000-03-06,37.25,36.75,37.25,36.875,69400,36.875,37.541666666666664,35.96590909090909,35.96590909090909,35.96590909090909
2000-03-07,39.25,37.0,37.0,38.5,182700,38.5,37.583333333333336,36.022222222222226,36.022222222222226,36.022222222222226
2000-03-08,38.75,37.3125,38.75,37.5,205800,37.5,37.5375,36.05434782608695,36.05434782608695,36.05434782608695
