Date,High,Low,Open,Close,Volume,Adj Close,NVR-15ma,NVR-50ma,NVR-100ma,NVR-200ma
2000-01-03,47.75,46.5,47.75,46.5625,36700,46.5625,46.5625,46.5625,46.5625,46.5625
2000-01-04,46.375,46.0,46.375,46.0,34100,46.0,46.28125,46.28125,46.28125,46.28125
2000-01-05,46.125,45.75,46.0,45.875,16500,45.875,46.145833333333336,46.145833333333336,46.145833333333336,46.145833333333336
2000-01-06,45.875,45.5,45.625,45.875,12700,45.875,46.078125,46.078125,46.078125,46.078125
2000-01-07,46.75,45.5,45.5,46.75,73400,46.75,46.2125,46.2125,46.2125,46.2125
2000-01-10,47.5,47.0,47.125,47.375,20900,47.375,46.40625,46.40625,46.40625,46.40625
2000-01-11,47.5,47.0,47.25,47.5,11900,47.5,46.5625,46.5625,46.5625,46.5625
2000-01-12,48.0,47.0,47.375,47.8125,21500,47.8125,46.71875,46.71875,46.71875,46.71875
2000-01-13,49.0,47.75,47.75,48.875,17300,48.875,46.958333333333336,46.958333333333336,46.958333333333336,46.958333333333336
2000-01-14,49.125,48.75,49.125,48.8125,7500,48.8125,47.14375,47.14375,47.14375,47.14375
2000-01-18,48.625,47.5,48.625,47.75,27400,47.75,47.19886363636363,47.19886363636363,47.19886363636363,47.19886363636363
2000-01-19,47.75,47.5,47.625,47.75,9400,47.75,47.244791666666664,47.244791666666664,47.244791666666664,47.244791666666664
2000-01-20,48.5,47.75,47.75,48.25,13100,48.25,47.32211538461539,47.32211538461539,47.32211538461539,47.32211538461539
2000-01-21,49.0,47.875,48.75,48.5625,32800,48.5625,47.410714285714285,47.410714285714285,47.410714285714285,47.410714285714285
2000-01-24,49.0,48.5,48.75,48.75,31900,48.75,47.5,47.5,47.5,47.5
2000-01-25,49.25,48.5625,48.75,49.25,45000,49.25,47.67916666666667,47.609375,47.609375,47.609375
2000-01-26,49.125,48.625,49.0,48.625,11300,48.625,47.854166666666664,47.669117647058826,47.669117647058826,47.669117647058826
2000-01-27,48.5,47.125,48.5,47.125,25700,47.125,47.9375,47.638888888888886,47.638888888888886,47.638888888888886
2000-01-28,47.25,46.375,47.125,46.375,11600,46.375,47.97083333333333,47.57236842105263,47.57236842105263,47.57236842105263
2000-01-31,46.375,45.25,46.375,45.25,14400,45.25,47.87083333333333,47.45625,47.45625,47.45625
2000-02-01,45.0,43.75,45.0,44.875,27500,44.875,47.704166666666666,47.333333333333336,47.333333333333336,47.333333333333336
2000-02-02,45.125,44.5,45.125,44.625,7500,44.625,47.5125,47.21022727272727,47.21022727272727,47.21022727272727
2000-02-03,44.8125,44.375,44.5,44.375,17100,44.375,47.28333333333333,47.08695652173913,47.08695652173913,47.08695652173913
2000-02-04,45.375,44.0,44.125,45.3125,13600,45.3125,47.045833333333334,47.013020833333336,47.013020833333336,47.013020833333336
2000-02-07,46.125,45.3125,45.3125,45.875,16600,45.875,46.85,46.9675,46.9675,46.9675
2000-02-08,46.75,45.625,45.625,45.875,25600,45.875,46.725,46.92548076923077,46.92548076923077,46.92548076923077
2000-02-09,45.5,43.8125,45.5,44.1875,29000,44.1875,46.4875,46.824074074074076,46.824074074074076,46.824074074074076
2000-02-10,44.25,42.25,44.125,42.25,104000,42.25,46.0875,46.660714285714285,46.660714285714285,46.660714285714285
2000-02-11,42.5,42.0,42.25,42.5,17800,42.5,45.68333333333333,46.51724137931034,46.51724137931034,46.51724137931034
2000-02-14,43.0,42.25,42.375,42.75,11500,42.75,45.28333333333333,46.391666666666666,46.391666666666666,46.391666666666666
2000-02-15,43.4375,42.75,42.75,43.375,32800,43.375,44.891666666666666,46.29435483870968,46.29435483870968,46.29435483870968
2000-02-16,43.875,43.25,43.625,43.875,5200,43.875,44.575,46.21875,46.21875,46.21875
2000-02-17,44.25,43.6875,43.75,44.125,8200,44.125,44.375,46.15530303030303,46.15530303030303,46.15530303030303
2000-02-18,44.375,43.1875,44.0,43.1875,29200,43.1875,44.1625,46.068014705882355,46.068014705882355,46.068014705882355
2000-02-22,43.25,42.5,43.0,42.875,18900,42.875,44.00416666666667,45.97678571428571,45.97678571428571,45.97678571428571
2000-02-23,43.5,42.25,42.75,43.5,48100,43.5,43.9125,45.907986111111114,45.907986111111114,45.907986111111114
2000-02-24,44.625,43.375,43.5,44.625,65400,44.625,43.9125,45.873310810810814,45.873310810810814,45.873310810810814
2000-02-25,44.5,44.125,44.375,44.125,19400,44.125,43.895833333333336,45.827302631578945,45.827302631578945,45.827302631578945
2000-02-28,44.5,43.1875,44.0,44.125,27200,44.125,43.81666666666667,45.78365384615385,45.78365384615385,45.78365384615385
2000-02-29,44.75,44.125,44.25,44.125,37500,44.125,43.7,45.7421875,45.7421875,45.7421875
2000-03-01,44.75,44.125,44.125,44.375,49000,44.375,43.6,45.708841463414636,45.708841463414636,45.708841463414636
2000-03-02,44.5,44.0,44.3125,44.5,63500,44.5,43.62083333333333,45.680059523809526,45.680059523809526,45.680059523809526
2000-03-03,44.75,44.125,44.75,44.1875,6800,44.1875,43.75,45.645348837209305,45.645348837209305,45.645348837209305
2000-03-06,44.875,44.0,44.0625,44.625,31400,44.625,43.891666666666666,45.62215909090909,45.62215909090909,45.62215909090909
2000-03-07,44.875,44.0,44.875,44.375,20100,44.375,44.0,45.59444444444444,45.59444444444444,45.59444444444444
2000-03-08,44.5,44.125,44.25,44.125,6300,44.125,44.05,45.5625,45.5625,45.5625
2000-03-09,44.875,44.5,44.53125,44.75,8000,44.75,44.108333333333334,45.545212765957444,45.545212765957444,45.545212765957444
2000-03-10,44.75,44.5,44.625,44.625,6400,44.625,44.141666666666666,45.526041666666664,45.526041666666664,45.526041666666664
2000-03-13,44.625,44.25,44.5625,44.375,12600,44.375,44.22083333333333,45.50255102040816,45.50255102040816,45.50255102040816
2000-03-14,44.5625,44.25,44.25,44.5625,20200,44.5625,44.333333333333336,45.48375,45.48375,45.48375
2000-03-15,44.5625,44.46875,44.53125,44.5625,12300,44.5625,44.40416666666667,45.44375,45.46568627450981,45.46568627450981
2000-03-16,47.125,44.5,44.53125,46.75,30100,46.75,44.545833333333334,45.45875,45.49038461538461,45.49038461538461
2000-03-17,50.75,46.75,46.75,49.5,47900,49.5,44.90416666666667,45.53125,45.56603773584906,45.56603773584906
2000-03-20,51.0,49.125,49.5,50.5,38500,50.5,45.329166666666666,45.62375,45.657407407407405,45.657407407407405
2000-03-21,52.625,50.25,50.25,51.75,20000,51.75,45.8375,45.72375,45.768181818181816,45.768181818181816
2000-03-22,54.6875,51.625,51.8125,54.5625,23200,54.5625,46.516666666666666,45.8675,45.925223214285715,45.925223214285715
2000-03-23,54.4375,54.125,54.3125,54.125,25700,54.125,47.15833333333333,46.0,46.06907894736842,46.06907894736842
2000-03-24,54.25,53.75,54.125,53.8125,10200,53.8125,47.8,46.12,46.202586206896555,46.202586206896555
2000-03-27,53.5625,53.0,53.5625,53.125,18500,53.125,48.36666666666667,46.205,46.31991525423729,46.31991525423729
2000-03-28,53.0,51.75,53.0,52.0625,19900,52.0625,48.87916666666667,46.27,46.415625,46.415625
2000-03-29,51.875,51.625,51.75,51.8125,20100,51.8125,49.391666666666666,46.35125,46.50409836065574,46.50409836065574
2000-03-30,55.75,51.625,51.625,54.0,50400,54.0,50.00833333333333,46.47625,46.625,46.625
2000-03-31,57.0,53.5,54.75,54.0,121500,54.0,50.63333333333333,46.59125,46.742063492063494,46.742063492063494
2000-04-03,54.5,54.125,54.25,54.25,16000,54.25,51.291666666666664,46.705,46.859375,46.859375
2000-04-04,55.25,54.0,54.0,54.4375,100000,54.4375,51.95,46.81875,46.97596153846154,46.97596153846154
2000-04-05,54.9375,54.125,54.25,54.875,22200,54.875,52.6375,46.93125,47.09564393939394,47.09564393939394
2000-04-06,55.875,55.125,55.125,55.8125,13300,55.8125,53.24166666666667,47.075,47.225746268656714,47.225746268656714
2000-04-07,56.75,55.4375,55.875,55.875,74000,55.875,53.666666666666664,47.25,47.35294117647059,47.35294117647059
2000-04-10,55.8125,55.375,55.8125,55.375,53300,55.375,53.99166666666667,47.43,47.469202898550726,47.469202898550726
2000-04-11,55.5,55.0,55.5,55.0,6800,55.0,54.208333333333336,47.625,47.57678571428571,47.57678571428571
2000-04-12,55.0,54.5,54.75,54.8125,48000,54.8125,54.225,47.82375,47.67869718309859,47.67869718309859
2000-04-13,54.8125,54.625,54.75,54.75,13500,54.75,54.266666666666666,48.02625,47.77690972222222,47.77690972222222
2000-04-14,54.75,53.75,54.5,53.8125,42400,53.8125,54.266666666666666,48.215,47.85958904109589,47.85958904109589
2000-04-17,53.75,52.75,53.75,52.75,35000,52.75,54.24166666666667,48.36375,47.92567567567568,47.92567567567568
2000-04-18,52.75,52.125,52.625,52.75,26100,52.75,54.2875,48.50125,47.99,47.99
2000-04-19,52.875,52.5,52.5,52.8125,12100,52.8125,54.354166666666664,48.64,48.05345394736842,48.05345394736842
2000-04-20,53.1875,52.625,52.8125,53.1875,14600,53.1875,54.3,48.82,48.12012987012987,48.12012987012987
2000-04-24,53.875,53.125,53.1875,53.625,12100,53.625,54.275,49.0475,48.19070512820513,48.19070512820513
2000-04-25,53.75,53.3125,53.75,53.5,8000,53.5,54.225,49.2675,48.25791139240506,48.25791139240506
2000-04-26,59.25,55.0,55.0,59.0,177500,59.0,54.52916666666667,49.5925,48.3921875,48.3921875
2000-04-27,59.5,58.375,58.625,59.0,30300,59.0,54.80416666666667,49.905,48.523148148148145,48.523148148148145
2000-04-28,63.3125,58.8125,58.875,62.0,69900,62.0,55.21666666666667,50.2675,48.6875,48.6875
2000-05-01,63.625,62.5,62.5,63.25,130900,63.25,55.708333333333336,50.65,48.86295180722892,48.86295180722892
2000-05-02,65.0,62.0,63.25,62.0,296200,62.0,56.15,51.02625,49.01934523809524,49.01934523809524
2000-05-03,61.625,60.625,61.625,61.0,63800,61.0,56.55,51.38875,49.16029411764706,49.16029411764706
2000-05-04,62.0,61.0,61.25,61.625,23300,61.625,57.00416666666667,51.75125,49.30523255813954,49.30523255813954
2000-05-05,63.25,61.625,61.75,62.5,44700,62.5,57.520833333333336,52.10875,49.456896551724135,49.456896551724135
2000-05-08,63.375,61.75,62.125,62.3125,156700,62.3125,58.0875,52.4725,49.60298295454545,49.60298295454545
2000-05-09,62.75,62.1875,62.1875,62.625,11800,62.625,58.74583333333333,52.8425,49.749297752808985,49.749297752808985
2000-05-10,62.5625,62.3125,62.5,62.375,45900,62.375,59.3875,53.2075,49.889583333333334,49.889583333333334
2000-05-11,62.375,62.0,62.25,62.375,104600,62.375,60.025,53.5675,50.026785714285715,50.026785714285715
2000-05-12,62.75,62.25,62.375,62.375,48900,62.375,60.6375,53.925,50.16100543478261,50.16100543478261
2000-05-15,62.375,61.75,62.125,61.9375,32200,61.9375,61.19166666666667,54.28,50.28763440860215,50.28763440860215
2000-05-16,62.375,61.5,61.5,61.75,30500,61.75,61.74166666666667,54.6225,50.409574468085104,50.409574468085104
2000-05-17,62.0,61.125,62.0,61.25,12900,61.25,61.891666666666666,54.96,50.52368421052632,50.52368421052632
2000-05-18,60.875,60.25,60.75,60.25,37100,60.25,61.975,55.2825,50.625,50.625
2000-05-19,60.5,58.75,60.5,59.1875,31000,59.1875,61.7875,55.57125,50.71327319587629,50.71327319587629
2000-05-22,59.1875,57.125,59.0,57.3125,47300,57.3125,61.391666666666666,55.825,50.78061224489796,50.78061224489796
2000-05-23,57.625,56.875,57.5625,56.875,18300,56.875,61.05,56.075,50.842171717171716,50.842171717171716
2000-05-24,56.625,55.5,56.625,56.25,23400,56.25,60.733333333333334,56.30875,50.89625,50.89625
2000-05-25,56.25,55.5,56.25,55.5,21600,55.5,60.325,56.5275,50.985625,50.94183168316832
2000-05-26,55.5,55.125,55.5,55.125,46900,55.125,59.833333333333336,56.695,51.076875,50.9828431372549
2000-05-30,55.75,55.0,55.1875,55.75,12500,55.75,59.395833333333336,56.82,51.175625,51.029126213592235
2000-05-31,55.75,55.0,55.75,55.0,21000,55.0,58.8875,56.91,51.266875,51.06730769230769
2000-06-01,55.375,54.875,55.125,55.125,7500,55.125,58.40416666666667,56.9775,51.350625,51.10595238095238
2000-06-02,55.6875,55.1875,55.375,55.6875,18500,55.6875,57.958333333333336,57.0,51.43375,51.149174528301884
2000-06-05,56.375,55.875,55.9375,56.3125,9200,56.3125,57.55416666666667,57.04375,51.521875,51.197429906542055
2000-06-06,56.75,56.125,56.25,56.75,5400,56.75,57.208333333333336,57.1025,51.61125,51.248842592592595
2000-06-07,57.0,56.375,56.75,56.5625,14400,56.5625,56.8625,57.17125,51.688125,51.29759174311926
2000-06-08,56.8125,56.5625,56.8125,56.6875,4000,56.6875,56.55833333333333,57.26375,51.766875,51.34659090909091
2000-06-09,56.5,55.5,56.375,55.5,32900,55.5,56.24166666666667,57.3375,51.844375,51.384009009009006
2000-06-12,55.125,54.75,55.0,54.8125,109900,54.8125,55.95,57.35375,51.915,51.414620535714285
2000-06-13,55.375,54.25,54.6875,55.375,10600,55.375,55.82083333333333,57.38125,51.98625,51.44966814159292
2000-06-14,55.875,55.5,55.625,55.625,7000,55.625,55.7375,57.40875,52.056875,51.48629385964912
2000-06-15,56.375,55.5,55.625,56.25,13200,56.25,55.7375,57.445,52.131875,51.52771739130435
2000-06-16,56.25,55.375,56.0,55.375,20200,55.375,55.729166666666664,57.455,52.193125,51.56088362068966
2000-06-19,55.875,55.0,55.25,55.875,19400,55.875,55.77916666666667,57.45625,52.265625,51.59775641025641
2000-06-20,55.9375,55.125,55.9375,55.125,11600,55.125,55.7375,57.44125,52.345625,51.62764830508475
2000-06-21,55.3125,55.0,55.25,55.0625,3000,55.0625,55.74166666666667,57.435,52.4325,51.65651260504202
2000-06-22,55.3125,54.25,55.0625,54.25,14300,54.25,55.68333333333333,57.42,52.5225,51.678125
2000-06-23,54.625,53.875,54.125,54.5,10000,54.5,55.604166666666664,57.41375,52.61875,51.70144628099174
