Date,High,Low,Open,Close,Volume,Adj Close,CHD-15ma,CHD-50ma,CHD-100ma,CHD-200ma
2000-01-03,4.53125,4.208333492279053,4.510416507720947,4.333333492279053,719200.0,3.335569143295288,3.335569143295288,3.335569143295288,3.335569143295288,3.335569143295288
2000-01-04,4.364583492279053,4.197916507720947,4.333333492279053,4.229166507720947,816400.0,3.2553870677948,3.295478105545044,3.295478105545044,3.295478105545044,3.295478105545044
2000-01-05,4.291666507720947,4.197916507720947,4.25,4.229166507720947,766800.0,3.2553870677948,3.2821144262949624,3.2821144262949624,3.2821144262949624,3.2821144262949624
2000-01-06,4.395833492279053,4.208333492279053,4.229166507720947,4.375,970000.0,3.367640256881714,3.3034958839416504,3.3034958839416504,3.3034958839416504,3.3034958839416504
2000-01-07,4.541666507720947,4.375,4.375,4.541666507720947,470400.0,3.4959325790405273,3.3419832229614257,3.3419832229614257,3.3419832229614257,3.3419832229614257
2000-01-10,4.572916507720947,4.427083492279053,4.5625,4.479166507720947,306400.0,3.4478228092193604,3.359623154004415,3.359623154004415,3.359623154004415,3.359623154004415
2000-01-11,4.53125,4.40625,4.5,4.4375,599200.0,3.415750026702881,3.3676412786756242,3.3676412786756242,3.3676412786756242,3.3676412786756242
2000-01-12,4.479166507720947,4.322916507720947,4.447916507720947,4.354166507720947,415200.0,3.3516061305999756,3.365636885166168,3.365636885166168,3.365636885166168,3.365636885166168
2000-01-13,4.5625,4.354166507720947,4.4375,4.552083492279053,534400.0,3.503950595855713,3.3810050752427845,3.3810050752427845,3.3810050752427845,3.3810050752427845
2000-01-14,4.625,4.5,4.541666507720947,4.510416507720947,562000.0,3.4718785285949707,3.3900924205780028,3.3900924205780028,3.3900924205780028,3.3900924205780028
2000-01-18,4.489583492279053,4.208333492279053,4.489583492279053,4.364583492279053,524800.0,3.359624147415161,3.387322577563199,3.387322577563199,3.387322577563199,3.387322577563199
2000-01-19,4.354166507720947,4.25,4.34375,4.3125,286800.0,3.319532632827759,3.3816734155019126,3.3816734155019126,3.3816734155019126,3.3816734155019126
2000-01-20,4.354166507720947,4.239583492279053,4.333333492279053,4.291666507720947,280000.0,3.3034963607788086,3.3756597959078274,3.3756597959078274,3.3756597959078274,3.3756597959078274
2000-01-21,4.302083492279053,4.125,4.302083492279053,4.135416507720947,543600.0,3.183223009109497,3.3619143111365184,3.3619143111365184,3.3619143111365184,3.3619143111365184
2000-01-24,4.177083492279053,3.9895832538604736,4.135416507720947,4.052083492279053,635200.0,3.119077205657959,3.345725170771281,3.345725170771281,3.345725170771281,3.345725170771281
2000-01-25,4.083333492279053,3.625,4.041666507720947,3.8125,1395600.0,2.934659957885742,3.3189978917439777,3.3200335949659348,3.3200335949659348,3.3200335949659348
2000-01-26,3.8958332538604736,3.8333332538604736,3.8541667461395264,3.8854167461395264,417600.0,2.990787982940674,3.301357952753703,3.3006662060232723,3.3006662060232723,3.3006662060232723
2000-01-27,3.9895832538604736,3.8125,3.9583332538604736,3.8229167461395264,584800.0,2.9426779747009277,3.280510679880778,3.2807779709498086,3.2807779709498086,3.2807779709498086
2000-01-28,3.8958332538604736,3.6875,3.8541667461395264,3.6979167461395264,596400.0,2.8464598655700684,3.2457653204600017,3.2579191232982434,3.2579191232982434,3.2579191232982434
2000-01-31,3.7708332538604736,3.6145832538604736,3.7083332538604736,3.6770832538604736,627600.0,2.83042311668396,3.2013980229695638,3.2365443229675295,3.2365443229675295,3.2365443229675295
2000-02-01,3.6979167461395264,3.4270832538604736,3.6979167461395264,3.4270832538604736,1187200.0,2.6379852294921875,3.1474088509877522,3.208041508992513,3.208041508992513,3.208041508992513
2000-02-02,3.6354167461395264,3.4583332538604736,3.4583332538604736,3.5416667461395264,752800.0,2.7261857986450195,3.1014379024505616,3.1861389767039907,3.1861389767039907,3.1861389767039907
2000-02-03,3.6354167461395264,3.40625,3.5833332538604736,3.4479167461395264,730000.0,2.6540231704711914,3.054932371775309,3.1630035068677818,3.1630035068677818,3.1630035068677818
2000-02-04,3.4791667461395264,3.3020832538604736,3.46875,3.375,650400.0,2.5978951454162598,2.9945286750793456,3.139457325140635,3.139457325140635,3.139457325140635
2000-02-07,3.3541667461395264,3.2291667461395264,3.3333332538604736,3.2291667461395264,1246000.0,2.485640287399292,2.928779458999634,3.1133046436309812,3.1133046436309812,3.1133046436309812
2000-02-08,3.28125,2.8333332538604736,3.1666667461395264,3.0416667461395264,2329600.0,2.3498058319091797,2.8614582379659015,3.0839393047186046,3.0839393047186046,3.0839393047186046
2000-02-09,3.0,2.5416667461395264,3.0,2.7395832538604736,5316000.0,2.116433620452881,2.78125163714091,3.048105760856911,3.048105760856911,3.048105760856911
2000-02-10,2.875,2.625,2.75,2.7291667461395264,3192400.0,2.108386278152466,2.701577631632487,3.014544350760324,3.014544350760324,3.014544350760324
