Date,High,Low,Open,Close,Volume,Adj Close,TRIP-15ma,TRIP-50ma,TRIP-100ma,TRIP-200ma
2011-12-07,27.760000228881836,24.0,27.5,27.450000762939453,1413700,27.450000762939453,27.450000762939453,27.450000762939453,27.450000762939453,27.450000762939453
2011-12-08,27.780000686645508,25.760000228881836,26.059999465942383,26.549999237060547,719600,26.549999237060547,27.0,27.0,27.0,27.0
2011-12-09,28.0,26.700000762939453,27.93000030517578,27.90999984741211,716200,27.90999984741211,27.303333282470703,27.303333282470703,27.303333282470703,27.303333282470703
2011-12-12,28.280000686645508,27.0,28.280000686645508,27.450000762939453,393300,27.450000762939453,27.34000015258789,27.34000015258789,27.34000015258789,27.34000015258789
2011-12-13,28.530000686645508,27.010000228881836,28.530000686645508,27.5,452500,27.5,27.37200012207031,27.37200012207031,27.37200012207031,27.37200012207031
2011-12-14,28.190000534057617,26.850000381469727,28.190000534057617,27.1200008392334,444400,27.1200008392334,27.330000241597492,27.330000241597492,27.330000241597492,27.330000241597492
2011-12-15,29.100000381469727,27.600000381469727,27.8700008392334,28.329999923706055,1417600,28.329999923706055,27.472857339041575,27.472857339041575,27.472857339041575,27.472857339041575
2011-12-16,29.920000076293945,28.0,29.920000076293945,28.459999084472656,966700,28.459999084472656,27.59625005722046,27.59625005722046,27.59625005722046,27.59625005722046
2011-12-19,29.459999084472656,28.40999984741211,28.690000534057617,28.969999313354492,1048500,28.969999313354492,27.748888863457573,27.748888863457573,27.748888863457573,27.748888863457573
2011-12-20,30.6200008392334,29.469999313354492,29.5,30.25,2017200,30.25,27.998999977111815,27.998999977111815,27.998999977111815,27.998999977111815
2011-12-21,30.0,27.510000228881836,30.0,27.670000076293945,2871800,27.670000076293945,27.96909089521928,27.96909089521928,27.96909089521928,27.96909089521928
2011-12-22,27.600000381469727,23.989999771118164,27.1200008392334,24.530000686645508,6294100,24.530000686645508,27.682500044504803,27.682500044504803,27.682500044504803,27.682500044504803
2011-12-23,27.139999389648438,24.5,24.709999084472656,26.020000457763672,2744200,26.020000457763672,27.55461546090933,27.55461546090933,27.55461546090933,27.55461546090933
