Date,High,Low,Open,Close,Volume,Adj Close,FMC-15ma,FMC-50ma,FMC-100ma,FMC-200ma
2000-01-03,12.494579315185547,11.898308753967285,12.467475891113281,11.92541217803955,684800.0,5.430619716644287,5.430619716644287,5.430619716644287,5.430619716644287,5.430619716644287
2000-01-04,11.911860466003418,11.735689163208008,11.884757041931152,11.776344299316406,347200.0,5.36273717880249,5.396678447723389,5.396678447723389,5.396678447723389,5.396678447723389
2000-01-05,12.115134239196777,11.776344299316406,11.776344299316406,11.993169784545898,665000.0,5.4614763259887695,5.418277740478516,5.418277740478516,5.418277740478516,5.418277740478516
2000-01-06,12.088030815124512,11.884757041931152,11.898308753967285,11.979618072509766,1022400.0,5.455307483673096,5.427535176277161,5.427535176277161,5.427535176277161,5.427535176277161
2000-01-07,12.250650405883789,11.898308753967285,11.979618072509766,11.966066360473633,1384000.0,5.4491353034973145,5.431855201721191,5.431855201721191,5.431855201721191,5.431855201721191
2000-01-10,12.521682739257812,12.12868595123291,12.196444511413574,12.413269996643066,857800.0,5.652782440185547,5.468676408131917,5.468676408131917,5.468676408131917,5.468676408131917
2000-01-11,12.792715072631836,12.169341087341309,12.3861665725708,12.535234451293945,1138200.0,5.708323955535889,5.502911772046771,5.502911772046771,5.502911772046771,5.502911772046771
2000-01-12,12.955333709716797,12.548786163330078,12.548786163330078,12.792715072631836,2153800.0,5.825575828552246,5.543244779109955,5.543244779109955,5.543244779109955,5.543244779109955
2000-01-13,13.117953300476074,12.819817543029785,12.819817543029785,12.901127815246582,1583700.0,5.874943256378174,5.58010016547309,5.58010016547309,5.58010016547309,5.58010016547309
2000-01-14,13.009540557861328,12.792715072631836,12.955333709716797,12.928230285644531,1252600.0,5.887287139892578,5.610818862915039,5.610818862915039,5.610818862915039,5.610818862915039
2000-01-18,12.982437133789062,12.684301376342773,12.96888542175293,12.724956512451172,816700.0,5.794718265533447,5.627536990425804,5.627536990425804,5.627536990425804,5.627536990425804
2000-01-19,12.711404800415039,12.33195972442627,12.711404800415039,12.359063148498535,1357700.0,5.628097057342529,5.627583662668864,5.627583662668864,5.627583662668864,5.627583662668864
2000-01-20,12.3861665725708,11.993169784545898,12.3861665725708,12.04737663269043,808000.0,5.4861626625061035,5.616705124194805,5.616705124194805,5.616705124194805,5.616705124194805
2000-01-21,12.115134239196777,11.844101905822754,12.074480056762695,11.966066360473633,907600.0,5.4491353034973145,5.604735851287842,5.604735851287842,5.604735851287842,5.604735851287842
2000-01-24,12.359063148498535,11.708586692810059,12.169341087341309,11.87120532989502,1466100.0,5.405936241149902,5.591482543945313,5.591482543945313,5.591482543945313,5.591482543945313
2000-01-25,12.088030815124512,11.437554359436035,11.844101905822754,11.545967102050781,806100.0,5.257828235626221,5.579963111877442,5.570629149675369,5.570629149675369,5.570629149675369
2000-01-26,11.92541217803955,11.49176025390625,11.545967102050781,11.87120532989502,936200.0,5.405936241149902,5.582843049367269,5.560941331526813,5.560941331526813,5.560941331526813
2000-01-27,12.169341087341309,11.816999435424805,11.844101905822754,11.979618072509766,459300.0,5.455307483673096,5.582431793212891,5.555072784423828,5.555072784423828,5.555072784423828
2000-01-28,11.979618072509766,11.58662223815918,11.979618072509766,11.627276420593262,373100.0,5.294855117797852,5.5717349688212074,5.541377117759303,5.541377117759303,5.541377117759303
2000-01-31,11.816999435424805,11.627276420593262,11.681483268737793,11.654379844665527,527100.0,5.307197093963623,5.562272421518961,5.529668116569519,5.529668116569519,5.529668116569519
2000-02-01,11.789896011352539,11.613724708557129,11.654379844665527,11.695034980773926,769700.0,5.32571268081665,5.540467770894368,5.519955952962239,5.519955952962239,5.519955952962239
2000-02-02,11.708586692810059,11.58662223815918,11.654379844665527,11.613724708557129,558500.0,5.288685321807861,5.512491861979167,5.509443651546132,5.509443651546132,5.509443651546132
2000-02-03,11.735689163208008,11.545967102050781,11.640828132629395,11.654379844665527,598100.0,5.307197093963623,5.477933279673258,5.500650322955588,5.500650322955588,5.500650322955588
2000-02-04,11.640828132629395,11.356245040893555,11.640828132629395,11.396899223327637,432600.0,5.189944267272949,5.432266680399577,5.487704237302144,5.487704237302144,5.487704237302144
2000-02-07,11.545967102050781,11.302038192749023,11.437554359436035,11.41045093536377,1214300.0,5.196115970611572,5.386188602447509,5.476040706634522,5.476040706634522,5.476040706634522
2000-02-08,11.600172996520996,11.180073738098145,11.41045093536377,11.247831344604492,793200.0,5.122063636779785,5.341344960530599,5.462426203947801,5.462426203947801,5.462426203947801
2000-02-09,11.369795799255371,10.895489692687988,11.193625450134277,10.976799964904785,641000.0,4.998641014099121,5.299381224314372,5.445248974694146,5.445248974694146,5.445248974694146
2000-02-10,10.976799964904785,10.732871055603027,10.841283798217773,10.854835510253906,629500.0,4.943099021911621,5.263176981608073,5.4273150478090555,5.4273150478090555,5.4273150478090555
2000-02-11,10.94969654083252,10.678664207458496,10.909041404724121,10.678664207458496,420600.0,4.862874507904053,5.224092928568522,5.40785158091578,5.40785158091578,5.40785158091578
2000-02-14,10.814180374145508,10.529596328735352,10.678664207458496,10.800628662109375,457000.0,4.918415069580078,5.191591517130534,5.391537030537923,5.391537030537923,5.391537030537923
2000-02-15,11.193625450134277,10.759973526000977,10.800628662109375,11.058109283447266,778900.0,5.0356669425964355,5.176780764261881,5.380057350281747,5.380057350281747,5.380057350281747
2000-02-16,11.152970314025879,10.77352523803711,11.058109283447266,10.841283798217773,646600.0,4.9369282722473145,5.145513566335042,5.36620956659317,5.36620956659317,5.36620956659317
2000-02-17,11.003902435302734,10.638009071350098,10.787076950073242,10.990351676940918,647900.0,5.0048112869262695,5.11548048655192,5.355258103572961,5.355258103572961,5.355258103572961
