Date,High,Low,Open,Close,Volume,Adj Close,FB-15ma,FB-50ma,FB-100ma,FB-200ma
2012-05-18,45.0,38.0,42.04999923706055,38.22999954223633,573576400,38.22999954223633,38.22999954223633,38.22999954223633,38.22999954223633,38.22999954223633
2012-05-21,36.65999984741211,33.0,36.529998779296875,34.029998779296875,168192700,34.029998779296875,36.1299991607666,36.1299991607666,36.1299991607666,36.1299991607666
2012-05-22,33.59000015258789,30.940000534057617,32.61000061035156,31.0,101786600,31.0,34.41999944051107,34.41999944051107,34.41999944051107,34.41999944051107
2012-05-23,32.5,31.360000610351562,31.3700008392334,32.0,73600000,32.0,33.8149995803833,33.8149995803833,33.8149995803833,33.8149995803833
2012-05-24,33.209999084472656,31.770000457763672,32.95000076293945,33.029998779296875,50237200,33.029998779296875,33.657999420166014,33.657999420166014,33.657999420166014,33.657999420166014
2012-05-25,32.95000076293945,31.110000610351562,32.900001525878906,31.90999984741211,37149800,31.90999984741211,33.36666615804037,33.36666615804037,33.36666615804037,33.36666615804037
2012-05-29,31.690000534057617,28.649999618530273,31.479999542236328,28.84000015258789,78063400,28.84000015258789,32.719999585832866,32.719999585832866,32.719999585832866,32.719999585832866
2012-05-30,29.549999237060547,27.860000610351562,28.700000762939453,28.190000534057617,57267900,28.190000534057617,32.15374970436096,32.15374970436096,32.15374970436096,32.15374970436096
2012-05-31,29.670000076293945,26.829999923706055,28.549999237060547,29.600000381469727,111639200,29.600000381469727,31.86999977959527,31.86999977959527,31.86999977959527,31.86999977959527
2012-06-01,29.149999618530273,27.389999389648438,28.889999389648438,27.719999313354492,41855500,27.719999313354492,31.454999732971192,31.454999732971192,31.454999732971192,31.454999732971192
2012-06-04,27.649999618530273,26.440000534057617,27.200000762939453,26.899999618530273,35230300,26.899999618530273,31.040908813476562,31.040908813476562,31.040908813476562,31.040908813476562
2012-06-05,27.760000228881836,25.75,26.700000762939453,25.8700008392334,42473400,25.8700008392334,30.609999815622967,30.609999815622967,30.609999815622967,30.609999815622967
2012-06-06,27.170000076293945,25.520000457763672,26.06999969482422,26.809999465942383,61489200,26.809999465942383,30.317692096416767,30.317692096416767,30.317692096416767,30.317692096416767
2012-06-07,27.350000381469727,26.149999618530273,27.0,26.309999465942383,26159500,26.309999465942383,30.031428337097168,30.031428337097168,30.031428337097168,30.031428337097168
2012-06-08,27.760000228881836,26.440000534057617,26.549999237060547,27.100000381469727,38034000,27.100000381469727,29.835999806722004,29.835999806722004,29.835999806722004,29.835999806722004
2012-06-11,28.06999969482422,26.84000015258789,27.18000030517578,27.010000228881836,28219600,27.010000228881836,29.087999852498374,29.659374833106995,29.659374833106995,29.659374833106995
