Date,High,Low,Open,Close,Volume,Adj Close,ROK-15ma,ROK-50ma,ROK-100ma,ROK-200ma
2000-01-03,49.75,47.6875,48.375,49.375,416200.0,11.882438659667969,11.882438659667969,11.882438659667969,11.882438659667969,11.882438659667969
2000-01-04,50.5,47.4375,49.4375,47.5625,422900.0,11.446249961853027,11.664344310760498,11.664344310760498,11.664344310760498,11.664344310760498
2000-01-05,49.375,47.75,48.9375,47.8125,247500.0,11.50640869140625,11.611699104309082,11.611699104309082,11.611699104309082,11.611699104309082
2000-01-06,47.3125,46.3125,47.0,46.875,397300.0,11.280794143676758,11.528972864151001,11.528972864151001,11.528972864151001,11.528972864151001
2000-01-07,49.0,47.0,48.0,48.3125,286100.0,11.626734733581543,11.54852523803711,11.54852523803711,11.54852523803711,11.54852523803711
2000-01-10,49.6875,48.3125,48.875,48.3125,306700.0,11.626734733581543,11.561560153961182,11.561560153961182,11.561560153961182,11.561560153961182
2000-01-11,48.1875,46.75,47.5625,47.375,302700.0,11.401123046875,11.538640567234584,11.538640567234584,11.538640567234584,11.538640567234584
2000-01-12,48.0,46.75,47.1875,47.75,281800.0,11.491368293762207,11.532731533050537,11.532731533050537,11.532731533050537,11.532731533050537
2000-01-13,49.1875,46.625,47.125,48.9375,497400.0,11.777143478393555,11.559888415866428,11.559888415866428,11.559888415866428,11.559888415866428
2000-01-14,48.6875,47.3125,48.6875,48.1875,325700.0,11.596658706665039,11.563565444946288,11.563565444946288,11.563565444946288,11.563565444946288
2000-01-18,50.8125,49.375,50.0,50.75,795200.0,12.213339805603027,11.622635841369629,11.622635841369629,11.622635841369629,11.622635841369629
2000-01-19,54.0,51.5,52.0,51.9375,1444400.0,12.499125480651855,11.695676644643148,11.695676644643148,11.695676644643148,11.695676644643148
2000-01-20,52.625,48.625,52.5,49.0,588000.0,11.792192459106445,11.703100938063402,11.703100938063402,11.703100938063402,11.703100938063402
2000-01-21,51.0,49.375,50.9375,49.625,597800.0,11.94260311126709,11.720208236149379,11.720208236149379,11.720208236149379,11.720208236149379
2000-01-24,49.5,46.75,49.125,46.875,660700.0,11.280794143676758,11.690913963317872,11.690913963317872,11.690913963317872,11.690913963317872
2000-01-25,49.4375,47.75,48.0,48.0,1033200.0,11.551535606384277,11.668853759765625,11.682202816009521,11.682202816009521,11.682202816009521
2000-01-26,48.875,47.875,48.375,48.25,645300.0,11.611703872680664,11.679884020487467,11.678055819343118,11.678055819343118,11.678055819343118
2000-01-27,49.75,48.25,48.25,48.75,567900.0,11.732027053833008,11.694925244649252,11.681054221259224,11.681054221259224,11.681054221259224
