Date,High,Low,Open,Close,Volume,Adj Close,BWA-15ma,BWA-50ma,BWA-100ma,BWA-200ma
2000-01-03,5.078125,4.8203125,5.078125,4.8359375,675200.0,3.9771578311920166,3.9771578311920166,3.9771578311920166,3.9771578311920166,3.9771578311920166
2000-01-04,4.921875,4.828125,4.8671875,4.8359375,613600.0,3.9771578311920166,3.9771578311920166,3.9771578311920166,3.9771578311920166,3.9771578311920166
2000-01-05,4.9375,4.84375,4.859375,4.859375,428000.0,3.9964330196380615,3.9835828940073648,3.9835828940073648,3.9835828940073648,3.9835828940073648
2000-01-06,4.8671875,4.78125,4.859375,4.796875,706400.0,3.9450325965881348,3.9739453196525574,3.9739453196525574,3.9739453196525574,3.9739453196525574
2000-01-07,4.9375,4.8046875,4.8046875,4.9296875,3228800.0,4.054258823394775,3.990008020401001,3.990008020401001,3.990008020401001,3.990008020401001
2000-01-10,4.96875,4.8515625,4.9375,4.875,889600.0,4.00928258895874,3.9932204484939575,3.9932204484939575,3.9932204484939575,3.9932204484939575
2000-01-11,4.9375,4.859375,4.875,4.859375,2004000.0,3.9964330196380615,3.9936793872288296,3.9936793872288296,3.9936793872288296,3.9936793872288296
2000-01-12,4.90625,4.84375,4.8671875,4.8515625,694400.0,3.9900076389312744,3.993220418691635,3.993220418691635,3.993220418691635,3.993220418691635
2000-01-13,4.8984375,4.8671875,4.8828125,4.8828125,602400.0,4.015707969665527,3.995719035466512,3.995719035466512,3.995719035466512,3.995719035466512
2000-01-14,4.90625,4.84375,4.890625,4.84375,864800.0,3.9835846424102783,3.994505596160889,3.994505596160889,3.994505596160889,3.994505596160889
2000-01-18,4.859375,4.7265625,4.859375,4.7578125,904800.0,3.912907123565674,3.9870875531976875,3.9870875531976875,3.9870875531976875,3.9870875531976875
2000-01-19,4.7734375,4.65625,4.75,4.703125,843200.0,3.8679311275482178,3.9771578510602317,3.9771578510602317,3.9771578510602317,3.9771578510602317
2000-01-20,4.7421875,4.671875,4.7265625,4.6796875,1096000.0,3.8486549854278564,3.9672730152423563,3.9672730152423563,3.9672730152423563,3.9672730152423563
2000-01-21,4.734375,4.671875,4.6875,4.671875,1508000.0,3.8422300815582275,3.9583413771220615,3.9583413771220615,3.9583413771220615,3.9583413771220615
2000-01-24,4.734375,4.5625,4.734375,4.5703125,1733600.0,3.7587032318115234,3.945032167434692,3.945032167434692,3.945032167434692,3.945032167434692
2000-01-25,4.578125,4.3984375,4.578125,4.4609375,1386400.0,3.6687510013580322,3.924471712112427,3.927764594554901,3.927764594554901,3.927764594554901
2000-01-26,4.5,4.40625,4.4453125,4.4375,764000.0,3.6494765281677246,3.9026262919108072,3.911394708296832,3.911394708296832,3.911394708296832
2000-01-27,4.46875,4.3125,4.4375,4.34375,1005600.0,3.572373867034912,3.874355681737264,3.892560217115614,3.892560217115614,3.892560217115614
