Date,High,Low,Open,Close,Volume,Adj Close,CRM-15ma,CRM-50ma,CRM-100ma,CRM-200ma
2004-06-23,4.324999809265137,3.6875,3.75,4.300000190734863,43574400.0,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863
2004-06-24,4.422500133514404,4.125,4.387499809265137,4.190000057220459,8887200.0,4.190000057220459,4.245000123977661,4.245000123977661,4.245000123977661,4.245000123977661
2004-06-25,4.1875,3.947499990463257,4.127500057220459,3.950000047683716,6710000.0,3.950000047683716,4.146666765213013,4.146666765213013,4.146666765213013,4.146666765213013
2004-06-28,4.052499771118164,3.859999895095825,4.0,4.0,2270800.0,4.0,4.1100000739097595,4.1100000739097595,4.1100000739097595,4.1100000739097595
2004-06-29,4.175000190734863,3.9574999809265137,4.0,4.099999904632568,2112000.0,4.099999904632568,4.108000040054321,4.108000040054321,4.108000040054321,4.108000040054321
2004-06-30,4.235000133514404,4.007500171661377,4.099999904632568,4.017499923706055,2087600.0,4.017499923706055,4.09291668732961,4.09291668732961,4.09291668732961,4.09291668732961
2004-07-01,4.050000190734863,3.9749999046325684,4.019999980926514,4.007500171661377,1754800.0,4.007500171661377,4.080714327948434,4.080714327948434,4.080714327948434,4.080714327948434
2004-07-02,4.244999885559082,4.012499809265137,4.025000095367432,4.244999885559082,993200.0,4.244999885559082,4.101250022649765,4.101250022649765,4.101250022649765,4.101250022649765
2004-07-06,4.25,4.119999885559082,4.232500076293945,4.25,1216800.0,4.25,4.117777797910902,4.117777797910902,4.117777797910902,4.117777797910902
2004-07-07,4.224999904632568,4.012499809265137,4.224999904632568,4.077499866485596,1787600.0,4.077499866485596,4.113750004768372,4.113750004768372,4.113750004768372,4.113750004768372
2004-07-08,4.077499866485596,3.9149999618530273,4.077499866485596,3.934999942779541,2179200.0,3.934999942779541,4.097499999133023,4.097499999133023,4.097499999133023,4.097499999133023
2004-07-09,4.142499923706055,3.9749999046325684,3.984999895095825,4.099999904632568,596800.0,4.099999904632568,4.097708324591319,4.097708324591319,4.097708324591319,4.097708324591319
2004-07-12,4.207499980926514,4.037499904632568,4.150000095367432,4.1875,780800.0,4.1875,4.104615376545833,4.104615376545833,4.104615376545833,4.104615376545833
2004-07-13,4.184999942779541,4.019999980926514,4.184999942779541,4.019999980926514,1674000.0,4.019999980926514,4.098571419715881,4.098571419715881,4.098571419715881,4.098571419715881
2004-07-14,4.012499809265137,3.8949999809265137,4.012499809265137,3.9124999046325684,2366000.0,3.9124999046325684,4.08616665204366,4.08616665204366,4.08616665204366,4.08616665204366
2004-07-15,3.950000047683716,3.734999895095825,3.9375,3.8350000381469727,1806000.0,3.8350000381469727,4.055166641871135,4.0704687386751175,4.0704687386751175,4.0704687386751175
2004-07-16,4.099999904632568,3.740000009536743,3.8499999046325684,4.0,3278800.0,4.0,4.042499971389771,4.066323518753052,4.066323518753052,4.066323518753052
2004-07-19,4.042500019073486,3.9574999809265137,4.012499809265137,4.002500057220459,954800.0,4.002500057220459,4.0459999720255535,4.06277777089013,4.06277777089013,4.06277777089013
2004-07-20,4.045000076293945,3.882499933242798,4.002500057220459,4.014999866485596,2245200.0,4.014999866485596,4.046999963124593,4.060263144342523,4.060263144342523,4.060263144342523
2004-07-21,4.025000095367432,2.762500047683716,4.025000095367432,2.924999952316284,25415200.0,2.924999952316284,3.9686666329701743,4.003499984741211,4.003499984741211,4.003499984741211
