Date,High,Low,Open,Close,Volume,Adj Close,MET-15ma,MET-50ma,MET-100ma,MET-200ma
2000-04-05,14.037433624267578,12.75623893737793,12.923351287841797,13.814617156982422,77084700.0,9.396698951721191,9.396698951721191,9.396698951721191,9.396698951721191,9.396698951721191
2000-04-06,14.14884090423584,13.591800689697266,13.703208923339844,13.870321273803711,17167700.0,9.434588432312012,9.415643692016602,9.415643692016602,9.415643692016602,9.415643692016602
2000-04-07,13.870321273803711,13.480392456054688,13.703208923339844,13.647504806518555,15131500.0,9.283029556274414,9.371438980102539,9.371438980102539,9.371438980102539,9.371438980102539
2000-04-10,13.814617156982422,13.591800689697266,13.758913040161133,13.758913040161133,6324900.0,9.358811378479004,9.368282079696655,9.368282079696655,9.368282079696655,9.368282079696655
2000-04-11,13.703208923339844,13.424688339233398,13.647504806518555,13.480392456054688,6087800.0,9.169358253479004,9.328497314453125,9.328497314453125,9.328497314453125,9.328497314453125
2000-04-12,14.928698539733887,13.480392456054688,13.591800689697266,14.427361488342285,12169800.0,9.813486099243164,9.409328778584799,9.409328778584799,9.409328778584799,9.409328778584799
2000-04-13,15.3743314743042,14.204545021057129,14.483065605163574,15.151515007019043,11922400.0,10.30605697631836,9.53743280683245,9.53743280683245,9.53743280683245,9.53743280683245
2000-04-14,15.151515007019043,14.09313678741455,15.095810890197754,14.14884090423584,10659300.0,9.624038696289062,9.548258543014526,9.548258543014526,9.548258543014526,9.548258543014526
2000-04-17,14.650177955627441,14.260249137878418,14.260249137878418,14.371657371520996,3951900.0,9.77560043334961,9.573518753051758,9.573518753051758,9.573518753051758,9.573518753051758
2000-04-18,14.538769721984863,13.814617156982422,14.427361488342285,14.371657371520996,6083900.0,9.77560043334961,9.593726921081544,9.593726921081544,9.593726921081544,9.593726921081544
2000-04-19,14.427361488342285,14.037433624267578,14.427361488342285,14.260249137878418,6001300.0,9.699816703796387,9.603371446782893,9.603371446782893,9.603371446782893,9.603371446782893
2000-04-20,14.204545021057129,13.703208923339844,14.037433624267578,13.758913040161133,7755200.0,9.358811378479004,9.582991441090902,9.582991441090902,9.582991441090902,9.582991441090902
2000-04-24,14.260249137878418,13.758913040161133,13.814617156982422,14.204545021057129,3494800.0,9.661927223205566,9.589063424330492,9.589063424330492,9.589063424330492,9.589063424330492
2000-04-25,14.427361488342285,14.14884090423584,14.204545021057129,14.260249137878418,8311100.0,9.699816703796387,9.59697437286377,9.59697437286377,9.59697437286377,9.59697437286377
