Date,High,Low,Open,Close,Volume,Adj Close,CHTR-15ma,CHTR-50ma,CHTR-100ma,CHTR-200ma
2010-01-05,35.0,35.0,35.0,35.0,10000.0,35.0,35.0,35.0,35.0,35.0
2010-01-06,35.0,35.0,35.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0
2010-01-07,35.5,35.0,35.25,35.0,9800.0,35.0,35.0,35.0,35.0,35.0
2010-01-08,34.54999923706055,33.5,34.54999923706055,33.5,32200.0,33.5,34.625,34.625,34.625,34.625
2010-01-11,33.5,33.5,33.5,33.5,3700.0,33.5,34.4,34.4,34.4,34.4
2010-01-12,33.54999923706055,33.5,33.5,33.5,5100.0,33.5,34.25,34.25,34.25,34.25
2010-01-13,33.0099983215332,32.5,33.0099983215332,32.75,226300.0,32.75,34.035714285714285,34.035714285714285,34.035714285714285,34.035714285714285
2010-01-14,32.75,32.75,32.75,32.75,150500.0,32.75,33.875,33.875,33.875,33.875
2010-01-15,32.5,32.25,32.5,32.25,45500.0,32.25,33.69444444444444,33.69444444444444,33.69444444444444,33.69444444444444
2010-01-19,32.25,31.75,32.25,32.0,19400.0,32.0,33.525,33.525,33.525,33.525
2010-01-20,31.75,31.5,31.5,31.75,600.0,31.75,33.36363636363637,33.36363636363637,33.36363636363637,33.36363636363637
2010-01-21,31.600000381469727,31.5,31.5,31.600000381469727,600.0,31.600000381469727,33.21666669845581,33.21666669845581,33.21666669845581,33.21666669845581
2010-01-22,31.5,31.5,31.5,31.5,200.0,31.5,33.08461541395921,33.08461541395921,33.08461541395921,33.08461541395921
2010-01-25,31.25,31.0,31.100000381469727,31.25,1300.0,31.25,32.953571455819265,32.953571455819265,32.953571455819265,32.953571455819265
2010-01-26,31.0,30.75,31.0,30.75,300.0,30.75,32.806666692097984,32.806666692097984,32.806666692097984,32.806666692097984
2010-01-27,31.0,30.549999237060547,30.549999237060547,30.75,77000.0,30.75,32.523333358764646,32.67812502384186,32.67812502384186,32.67812502384186
2010-01-28,31.0,30.75,31.0,30.75,10400.0,30.75,32.240000025431314,32.56470590479233,32.56470590479233,32.56470590479233
2010-01-29,30.850000381469727,30.5,30.850000381469727,30.6299991607666,30700.0,30.6299991607666,31.94866663614909,32.45722219679091,32.45722219679091,32.45722219679091
2010-02-01,30.5,30.25,30.25,30.5,3500.0,30.5,31.74866663614909,32.35421050222296,32.35421050222296,32.35421050222296
2010-02-02,30.5,30.5,30.5,30.5,600.0,30.5,31.54866663614909,32.26149997711182,32.26149997711182,32.26149997711182
2010-02-03,30.100000381469727,29.75,30.100000381469727,29.75,5200.0,29.75,31.29866663614909,32.14190474010649,32.14190474010649,32.14190474010649
2010-02-04,30.25,30.0,30.0,30.25,29400.0,30.25,31.131999969482422,32.05590907010165,32.05590907010165,32.05590907010165
2010-02-05,30.5,30.0,30.479999542236328,30.5,1800.0,30.5,30.981999969482423,31.98826084966245,31.98826084966245,31.98826084966245
2010-02-08,30.0,29.75,30.0,29.850000381469727,47400.0,29.850000381469727,30.821999994913735,31.89916666348775,31.89916666348775,31.89916666348775
2010-02-09,29.799999237060547,29.100000381469727,29.100000381469727,29.799999237060547,29700.0,29.799999237060547,30.67533327738444,31.815199966430665,31.815199966430665,31.815199966430665
2010-02-10,29.850000381469727,29.399999618530273,29.399999618530273,29.75,107600.0,29.75,30.541999944051106,31.735769198491024,31.735769198491024,31.735769198491024
2010-02-11,29.739999771118164,29.5,29.739999771118164,29.739999771118164,10000.0,29.739999771118164,30.417999903361004,31.661851812292028,31.661851812292028,31.661851812292028
2010-02-12,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,100.0,29.739999771118164,30.30066655476888,31.59321423939296,31.59321423939296,31.59321423939296
2010-02-16,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,0.0,29.739999771118164,30.199999872843424,31.529310292211072,31.529310292211072,31.529310292211072
2010-02-17,29.739999771118164,29.739999771118164,29.739999771118164,29.739999771118164,0.0,29.739999771118164,30.132666524251302,31.46966660817464,31.46966660817464,31.46966660817464
2010-02-18,29.700000762939453,29.100000381469727,29.100000381469727,29.700000762939453,1700.0,29.700000762939453,30.062666575113933,31.412580613167055,31.412580613167055,31.412580613167055
2010-02-19,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0.0,29.700000762939453,29.99266662597656,31.359062492847443,31.359062492847443,31.359062492847443
2010-02-22,29.719999313354492,29.100000381469727,29.100000381469727,29.700000762939453,19700.0,29.700000762939453,29.930666732788087,31.30878789497144,31.30878789497144,31.30878789497144
2010-02-23,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0.0,29.700000762939453,29.877333450317384,31.261470626382266,31.261470626382266,31.261470626382266
2010-02-24,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0.0,29.700000762939453,29.82400016784668,31.21685720171247,31.21685720171247,31.21685720171247
2010-02-25,29.700000762939453,29.5,29.5,29.5,2800.0,29.5,29.807333501180015,31.169166723887127,31.169166723887127,31.169166723887127
2010-02-26,29.75,29.25,29.25,29.75,2700.0,29.75,29.77400016784668,31.130810866484772,31.130810866484772,31.130810866484772
2010-03-01,30.100000381469727,29.75,29.75,30.100000381469727,24800.0,30.100000381469727,29.747333526611328,31.103684274773848,31.103684274773848,31.103684274773848
