Date,High,Low,Open,Close,Volume,Adj Close,UTX-15ma,UTX-50ma,UTX-100ma,UTX-200ma
2000-01-03,32.5,31.0,32.46875,31.25,2140400.0,20.942556381225586,20.942556381225586,20.942556381225586,20.942556381225586,20.942556381225586
2000-01-04,31.21875,29.5,30.5625,29.96875,3367000.0,20.083906173706055,20.51323127746582,20.51323127746582,20.51323127746582,20.51323127746582
2000-01-05,30.125,29.25,29.96875,29.375,3904600.0,19.68600082397461,20.23748779296875,20.23748779296875,20.23748779296875,20.23748779296875
2000-01-06,30.90625,28.4375,29.25,30.78125,6148600.0,20.6284122467041,20.335218906402588,20.335218906402588,20.335218906402588,20.335218906402588
2000-01-07,32.34375,30.3125,30.78125,32.0,3995000.0,21.445178985595703,20.55721092224121,20.55721092224121,20.55721092224121,20.55721092224121
2000-01-10,32.625,31.84375,32.0,32.3125,2460200.0,21.65459632873535,20.740108489990234,20.740108489990234,20.740108489990234,20.740108489990234
2000-01-11,32.21875,31.46875,32.1875,31.5625,2210000.0,21.1519832611084,20.798947743007115,20.798947743007115,20.798947743007115,20.798947743007115
2000-01-12,32.75,31.5625,31.59375,32.28125,2532200.0,21.633655548095703,20.90328621864319,20.90328621864319,20.90328621864319,20.90328621864319
2000-01-13,32.9375,32.0,32.09375,32.625,2106400.0,21.86402702331543,21.010035196940105,21.010035196940105,21.010035196940105,21.010035196940105
2000-01-14,32.625,31.5,32.625,31.90625,3040800.0,21.382352828979492,21.047266960144043,21.047266960144043,21.047266960144043,21.047266960144043
2000-01-18,31.71875,30.09375,31.5,31.375,4874600.0,21.026330947875977,21.045363686301492,21.045363686301492,21.045363686301492,21.045363686301492
2000-01-19,31.75,30.21875,31.1875,30.34375,3621200.0,20.335227966308594,20.986185709635418,20.986185709635418,20.986185709635418,20.986185709635418
2000-01-20,30.65625,29.03125,30.53125,29.65625,3840200.0,19.874486923217773,20.90067041837252,20.90067041837252,20.90067041837252,20.90067041837252
2000-01-21,30.5,29.03125,29.75,30.3125,4532400.0,20.31428337097168,20.85878562927246,20.85878562927246,20.85878562927246,20.85878562927246
2000-01-24,31.875,29.75,31.25,30.0,5444400.0,20.104854583740234,20.80852355957031,20.80852355957031,20.80852355957031,20.80852355957031
2000-01-25,29.8125,28.0,29.6875,28.4375,5178200.0,19.05772590637207,20.682868194580077,20.699098706245422,20.699098706245422,20.699098706245422
2000-01-26,29.0,27.6875,28.4375,28.5,4411200.0,19.099609375,20.617248407999675,20.605011098525104,20.605011098525104,20.605011098525104
2000-01-27,28.6875,27.0,28.5,27.59375,3873800.0,18.492277145385742,20.537666829427085,20.48763699001736,20.48763699001736,20.48763699001736
2000-01-28,27.5625,25.75,27.46875,26.125,7165400.0,17.507976531982422,20.32963778177897,20.330812755383942,20.330812755383942,20.330812755383942
2000-01-31,26.875,26.15625,26.3125,26.46875,4094800.0,17.73834800720215,20.082515716552734,20.201189517974854,20.201189517974854,20.201189517974854
2000-02-01,27.0,26.28125,26.75,26.84375,5269600.0,17.989648818969727,19.83818588256836,20.095878056117467,20.095878056117467,20.095878056117467
2000-02-02,27.25,26.59375,26.9375,26.875,3064200.0,18.010604858398438,19.628760655721027,20.0010929107666,20.0010929107666,20.0010929107666
2000-02-03,27.1875,25.75,27.125,26.46875,4442000.0,17.73834800720215,19.369073486328126,19.90271269756815,19.90271269756815,19.90271269756815
2000-02-04,26.75,25.0,26.5,25.6875,6752800.0,17.214780807495117,19.059123738606772,19.79071553548177,19.79071553548177,19.79071553548177
2000-02-07,26.0,25.15625,25.59375,25.59375,7392400.0,17.151952743530273,18.77709706624349,19.685165023803712,19.685165023803712,19.685165023803712
2000-02-08,25.8125,24.96875,25.5,25.5,4819600.0,17.08911895751953,18.514616266886392,19.585317098177395,19.585317098177395,19.585317098177395
