Date,High,Low,Open,Close,Volume,Adj Close,HLT-15ma,HLT-50ma,HLT-100ma,HLT-200ma
2013-12-12,44.97983932495117,43.60499954223633,43.70759963989258,44.11800003051758,12935400.0,42.769222259521484,42.769222259521484,42.769222259521484,42.769222259521484,42.769222259521484
2013-12-13,45.92375946044922,44.22060012817383,45.12348175048828,45.34920120239258,1224800.0,43.96278381347656,43.36600303649902,43.36600303649902,43.36600303649902,43.36600303649902
2013-12-16,52.8390007019043,44.15903854370117,47.36016082763672,44.15903854370117,4717600.0,42.80900192260742,43.180335998535156,43.180335998535156,43.180335998535156,43.180335998535156
2013-12-17,45.12348175048828,44.282161712646484,44.343719482421875,44.754119873046875,2313800.0,43.385894775390625,43.23172569274902,43.23172569274902,43.23172569274902,43.23172569274902
2013-12-18,45.51335906982422,44.446319580078125,44.79515838623047,44.79515838623047,2857800.0,43.425682067871094,43.27051696777344,43.27051696777344,43.27051696777344,43.27051696777344
2013-12-19,45.985321044921875,44.22060012817383,44.63100051879883,45.71855926513672,1469100.0,44.32084655761719,43.44557189941406,43.44557189941406,43.44557189941406,43.44557189941406
2013-12-20,46.27259826660156,44.856719970703125,46.16999816894531,45.00035858154297,994800.0,43.624595642089844,43.471146719796316,43.471146719796316,43.471146719796316,43.471146719796316
2013-12-23,45.533878326416016,44.241119384765625,45.164520263671875,44.241119384765625,1220700.0,42.888572692871094,43.398324966430664,43.398324966430664,43.398324966430664,43.398324966430664
2013-12-24,44.46683883666992,43.39979934692383,44.32320022583008,44.138519287109375,1234000.0,42.78910827636719,43.33063422309028,43.33063422309028,43.33063422309028,43.33063422309028
2013-12-26,45.061920166015625,44.22060012817383,44.241119384765625,44.52840042114258,1309200.0,43.16706466674805,43.314277267456056,43.314277267456056,43.314277267456056,43.314277267456056
2013-12-27,44.81568145751953,44.22060012817383,44.32320022583008,44.32320022583008,1090300.0,42.9681396484375,43.28281021118164,43.28281021118164,43.28281021118164,43.28281021118164
2013-12-30,45.08243942260742,44.32320022583008,44.56943893432617,44.91828155517578,871800.0,43.5450325012207,43.3046620686849,43.3046620686849,43.3046620686849,43.3046620686849
