Date,High,Low,Open,Close,Volume,Adj Close,FDX-15ma,FDX-50ma,FDX-100ma,FDX-200ma
2000-01-03,43.625,41.0,42.375,42.9375,1734000.0,38.578826904296875,38.578826904296875,38.578826904296875,38.578826904296875,38.578826904296875
2000-01-04,43.1875,41.0,42.5,41.5,1571900.0,37.287235260009766,37.93303108215332,37.93303108215332,37.93303108215332,37.93303108215332
2000-01-05,43.25,41.375,41.875,42.4375,2239400.0,38.129581451416016,37.998547871907554,37.998547871907554,37.998547871907554,37.998547871907554
2000-01-06,47.3125,42.4375,42.5,47.25,4630500.0,42.45355224609375,39.1122989654541,39.1122989654541,39.1122989654541,39.1122989654541
2000-01-07,47.5,44.25,47.25,47.5,3532800.0,42.67816925048828,39.82547302246094,39.82547302246094,39.82547302246094,39.82547302246094
2000-01-10,47.4375,45.75,47.4375,46.5,1437300.0,41.779685974121094,40.15117518107096,40.15117518107096,40.15117518107096,40.15117518107096
2000-01-11,46.5625,45.5,45.9375,45.625,1055100.0,40.993507385253906,40.2715083530971,40.2715083530971,40.2715083530971,40.2715083530971
2000-01-12,45.4375,44.125,44.875,45.25,1050900.0,40.65657424926758,40.31964159011841,40.31964159011841,40.31964159011841,40.31964159011841
2000-01-13,47.875,45.75,46.625,47.0,1900200.0,42.22893524169922,40.531785329182945,40.531785329182945,40.531785329182945,40.531785329182945
2000-01-14,47.9375,45.6875,47.1875,46.5625,1291100.0,41.835845947265625,40.66219139099121,40.66219139099121,40.66219139099121,40.66219139099121
2000-01-18,46.375,43.125,46.0,44.1875,2412200.0,39.701942443847656,40.57489603215998,40.57489603215998,40.57489603215998,40.57489603215998
2000-01-19,45.875,43.8125,43.9375,44.25,1876500.0,39.75810241699219,40.50682989756266,40.50682989756266,40.50682989756266,40.50682989756266
2000-01-20,43.625,41.8125,42.875,42.5,2111300.0,38.18572998046875,40.3282837500939,40.3282837500939,40.3282837500939,40.3282837500939
2000-01-21,42.3125,41.0,42.3125,41.75,2363300.0,37.511871337890625,40.12711143493652,40.12711143493652,40.12711143493652,40.12711143493652
2000-01-24,41.75,40.25,41.6875,41.0,1742000.0,36.8380012512207,39.9078374226888,39.9078374226888,39.9078374226888,39.9078374226888
2000-01-25,41.3125,40.25,40.875,40.25,1686500.0,36.16413116455078,39.74685770670573,39.673855781555176,39.673855781555176,39.673855781555176
2000-01-26,42.625,40.0625,40.3125,42.375,2031900.0,38.07343673706055,39.79927113850911,39.579713484820196,39.579713484820196,39.579713484820196
2000-01-27,42.3125,40.125,41.375,40.75,1519900.0,36.613380432128906,39.69819107055664,39.41491720411513,39.41491720411513,39.41491720411513
2000-01-28,40.25,38.25,40.0625,38.6875,1970600.0,34.760250091552734,39.18530426025391,39.16993472450658,39.16993472450658,39.16993472450658
2000-01-31,39.5625,38.0625,38.4375,39.5625,1489600.0,35.54642868041992,38.70985488891601,38.988759422302245,38.988759422302245,38.988759422302245
2000-02-01,39.4375,37.9375,39.0625,38.9375,1677800.0,34.9848747253418,38.25686747233073,38.79809824625651,38.79809824625651,38.79809824625651
2000-02-02,39.125,38.0,39.0,38.5625,1539000.0,34.64794921875,37.83383026123047,38.60945510864258,38.60945510864258,38.60945510864258
2000-02-03,40.1875,38.25,38.9375,39.5,1491500.0,35.490272521972656,37.489410146077475,38.47383847443954,38.47383847443954,38.47383847443954
2000-02-04,40.1875,38.9375,39.625,39.1875,911100.0,35.20951461791992,37.02144877115885,38.337824980417885,38.337824980417885,38.337824980417885
2000-02-07,39.9375,38.75,39.25,39.1875,1038600.0,35.20951461791992,36.57969334920247,38.21269256591797,38.21269256591797,38.21269256591797
2000-02-08,39.9375,39.1875,39.1875,39.6875,1054400.0,35.65873336791992,36.31014607747396,38.114463365994965,38.114463365994965,38.114463365994965
2000-02-09,39.5,38.625,39.0,39.0625,1242900.0,35.09718322753906,35.99941813151042,38.00271224975586,38.00271224975586,38.00271224975586
2000-02-10,39.0,37.625,38.875,38.6875,1463200.0,34.760250091552734,35.771052805582684,37.88691002982004,37.88691002982004,37.88691002982004
2000-02-11,38.6875,36.9375,38.6875,37.125,1496000.0,33.35636901855469,35.49401931762695,37.730684477707435,37.730684477707435,37.730684477707435
2000-02-14,37.8125,36.0,36.5625,36.3125,1834400.0,32.6263313293457,35.21324132283529,37.560539372762044,37.560539372762044,37.560539372762044
2000-02-15,36.5625,35.0625,36.5,35.9375,2040700.0,32.28941345214844,34.95492680867513,37.390503052742254,37.390503052742254,37.390503052742254
2000-02-16,37.5625,35.375,36.0,36.4375,1787800.0,32.73865509033203,34.59927469889323,37.24513280391693,37.24513280391693,37.24513280391693
2000-02-17,37.375,35.375,36.0625,35.625,1452200.0,32.008628845214844,34.292291259765626,37.086450865774445,37.086450865774445,37.086450865774445
2000-02-18,37.4375,35.375,36.3125,36.8125,1602000.0,33.0755729675293,34.179979451497395,36.96848386876724,36.96848386876724,36.96848386876724
2000-02-22,37.0,35.6875,35.6875,36.0,1669000.0,32.34556198120117,33.96658833821615,36.836400386265346,36.836400386265346,36.836400386265346
2000-02-23,36.1875,35.125,36.0625,35.375,945600.0,31.78400993347168,33.75319735209147,36.69605620702108,36.69605620702108,36.69605620702108
2000-02-24,35.75,34.0,35.125,34.125,1451700.0,30.66090202331543,33.48739420572917,36.53294393178579,36.53294393178579,36.53294393178579
2000-02-25,34.9375,33.25,34.75,33.5625,1386500.0,30.15549087524414,33.13174209594727,36.36511621977154,36.36511621977154,36.36511621977154
2000-02-28,35.1875,33.1875,33.3125,34.75,1390700.0,31.222442626953125,32.86593729654948,36.23325279431465,36.23325279431465,36.23325279431465
2000-02-29,35.4375,34.1875,34.5,34.9375,2101100.0,31.39092445373535,32.61136461893717,36.11219458580017,36.11219458580017,36.11219458580017
2000-03-01,35.6875,34.1875,35.375,34.4375,1121500.0,30.941667556762695,32.29689356486003,35.986084170457794,35.986084170457794,35.986084170457794
2000-03-02,34.25,33.375,34.25,33.875,1307900.0,30.436279296875,31.98616663614909,35.85394595918201,35.85394595918201,35.85394595918201
