Date,High,Low,Open,Close,Volume,Adj Close,PSA-15ma,PSA-50ma,PSA-100ma,PSA-200ma
2000-01-03,22.9375,22.625,22.6875,22.75,229000.0,10.860615730285645,10.860615730285645,10.860615730285645,10.860615730285645,10.860615730285645
2000-01-04,22.75,22.5625,22.625,22.75,138400.0,10.860615730285645,10.860615730285645,10.860615730285645,10.860615730285645,10.860615730285645
2000-01-05,22.9375,22.6875,22.6875,22.9375,236300.0,10.950126647949219,10.89045270284017,10.89045270284017,10.89045270284017,10.89045270284017
2000-01-06,23.9375,22.75,22.8125,23.8125,285900.0,11.367839813232422,11.009799480438232,11.009799480438232,11.009799480438232,11.009799480438232
2000-01-07,24.125,23.875,23.875,24.125,185300.0,11.517024993896484,11.111244583129883,11.111244583129883,11.111244583129883,11.111244583129883
2000-01-10,24.8125,24.0,24.125,24.625,163900.0,11.755722045898438,11.218657493591309,11.218657493591309,11.218657493591309,11.218657493591309
2000-01-11,24.625,24.3125,24.5,24.375,146800.0,11.636373519897461,11.278331211635045,11.278331211635045,11.278331211635045,11.278331211635045
2000-01-12,24.5625,24.1875,24.1875,24.4375,143500.0,11.666208267211914,11.326815843582153,11.326815843582153,11.326815843582153,11.326815843582153
2000-01-13,24.5,24.0,24.375,24.1875,210700.0,11.54686164855957,11.351265377468533,11.351265377468533,11.351265377468533,11.351265377468533
2000-01-14,24.375,24.0,24.25,24.125,136000.0,11.517024993896484,11.367841339111328,11.367841339111328,11.367841339111328,11.367841339111328
2000-01-18,24.0,23.75,24.0,23.75,145100.0,11.338005065917969,11.365128950639205,11.365128950639205,11.365128950639205,11.365128950639205
2000-01-19,23.75,23.375,23.75,23.5625,127900.0,11.248495101928711,11.355409463246664,11.355409463246664,11.355409463246664,11.355409463246664
2000-01-20,23.5625,23.25,23.375,23.375,116300.0,11.15898323059082,11.340299753042368,11.340299753042368,11.340299753042368,11.340299753042368
2000-01-21,23.3125,22.875,23.25,22.875,164700.0,10.920289039611816,11.310298987797328,11.310298987797328,11.310298987797328,11.310298987797328
2000-01-24,23.25,22.8125,22.8125,23.0,117200.0,10.979961395263672,11.288276481628419,11.288276481628419,11.288276481628419,11.288276481628419
2000-01-25,23.0,22.75,22.9375,22.875,275500.0,10.920289039611816,11.292254702250164,11.26527726650238,11.26527726650238,11.26527726650238
2000-01-26,23.125,22.75,22.75,23.125,103200.0,11.03963565826416,11.304189364115397,11.252004230723662,11.252004230723662,11.252004230723662
2000-01-27,23.0625,22.8125,23.0625,22.875,119900.0,10.920289039611816,11.302200190226237,11.233575608995226,11.233575608995226,11.233575608995226
2000-01-28,22.9375,22.5625,22.9375,22.625,262300.0,10.800939559936523,11.26440684000651,11.210805290623716,11.210805290623716,11.210805290623716
2000-01-31,22.875,22.625,22.625,22.6875,153100.0,10.830775260925293,11.218656857808432,11.191803789138794,11.191803789138794,11.191803789138794
2000-02-01,23.125,22.6875,22.6875,23.0625,366400.0,11.009799003601074,11.168928654988607,11.183136894589378,11.183136894589378,11.183136894589378
2000-02-02,23.0625,22.875,22.9375,22.9375,98300.0,10.950126647949219,11.123178863525391,11.1725455197421,11.1725455197421,11.1725455197421
2000-02-03,23.0,22.75,22.9375,22.875,136100.0,10.920289039611816,11.073450915018718,11.161577846692955,11.161577846692955,11.161577846692955
2000-02-04,23.0625,22.8125,22.8125,22.875,136900.0,10.920289039611816,11.031679407755535,11.15152414639791,11.15152414639791,11.15152414639791
2000-02-07,22.8125,22.5625,22.75,22.625,129100.0,10.800939559936523,10.98394037882487,11.137500762939453,11.137500762939453,11.137500762939453
2000-02-08,22.8125,22.625,22.75,22.6875,86900.0,10.830775260925293,10.950125058492025,11.125703628246601,11.125703628246601,11.125703628246601
2000-02-09,22.8125,22.625,22.75,22.6875,347200.0,10.830775260925293,10.922277069091797,11.114780355382848,11.114780355382848,11.114780355382848
2000-02-10,22.9375,22.5625,22.5625,22.625,100900.0,10.800939559936523,10.898407491048177,11.10357175554548,11.10357175554548,11.10357175554548
2000-02-11,22.6875,22.4375,22.625,22.5,116800.0,10.741262435913086,10.886472384134928,11.09107833073057,11.09107833073057,11.09107833073057
2000-02-14,22.625,22.4375,22.5,22.5,186200.0,10.741262435913086,10.870559120178223,11.07941780090332,11.07941780090332,11.07941780090332
2000-02-15,22.625,22.5,22.5,22.625,110500.0,10.800939559936523,10.86260248819987,11.070434631839875,11.070434631839875,11.070434631839875
2000-02-16,22.6875,22.4375,22.5,22.625,92900.0,10.800939559936523,10.846689414978027,11.062012910842896,11.062012910842896,11.062012910842896
2000-02-17,22.9375,22.375,22.4375,22.9375,144000.0,10.950126647949219,10.848678588867188,11.058622418027936,11.058622418027936,11.058622418027936
2000-02-18,22.9375,22.375,22.9375,22.5,82900.0,10.741262435913086,10.844700113932292,11.04928830090691,11.04928830090691,11.04928830090691
