Date,High,Low,Open,Close,Volume,Adj Close,ESS-15ma,ESS-50ma,ESS-100ma,ESS-200ma
2000-01-03,33.875,33.1875,33.875,33.3125,12200.0,15.46631145477295,15.46631145477295,15.46631145477295,15.46631145477295,15.46631145477295
2000-01-04,33.375,32.625,33.1875,32.9375,62700.0,15.292208671569824,15.379260063171387,15.379260063171387,15.379260063171387,15.379260063171387
2000-01-05,33.0,32.625,32.625,32.8125,96900.0,15.234184265136719,15.330901463826498,15.330901463826498,15.330901463826498,15.330901463826498
2000-01-06,33.25,32.5625,32.8125,33.125,72500.0,15.379264831542969,15.342992305755615,15.342992305755615,15.342992305755615,15.342992305755615
2000-01-07,34.5,33.125,33.125,34.25,39400.0,15.90157413482666,15.454708671569824,15.454708671569824,15.454708671569824,15.454708671569824
2000-01-10,34.375,33.75,34.375,34.0625,23300.0,15.81452465057373,15.514678001403809,15.514678001403809,15.514678001403809,15.514678001403809
2000-01-11,34.1875,33.6875,33.8125,33.6875,46400.0,15.640425682067871,15.532641955784388,15.532641955784388,15.532641955784388,15.532641955784388
2000-01-12,33.9375,33.625,33.9375,33.625,43500.0,15.611407279968262,15.542487621307373,15.542487621307373,15.542487621307373,15.542487621307373
2000-01-13,34.0,33.5625,33.625,34.0,14300.0,15.785504341125488,15.569489479064941,15.569489479064941,15.569489479064941,15.569489479064941
2000-01-14,34.0625,33.6875,34.0625,33.875,10100.0,15.727474212646484,15.585287952423096,15.585287952423096,15.585287952423096,15.585287952423096
2000-01-18,33.8125,33.375,33.8125,33.75,27600.0,15.669432640075684,15.592937469482422,15.592937469482422,15.592937469482422,15.592937469482422
2000-01-19,34.25,34.0,34.0,34.125,57900.0,15.843550682067871,15.613821903864542,15.613821903864542,15.613821903864542,15.613821903864542
2000-01-20,34.3125,34.125,34.1875,34.3125,18400.0,15.930595397949219,15.63818909571721,15.63818909571721,15.63818909571721,15.63818909571721
2000-01-21,34.1875,34.0,34.125,34.0625,12700.0,15.81452465057373,15.650784492492676,15.650784492492676,15.650784492492676,15.650784492492676
2000-01-24,34.125,33.75,33.9375,34.0,36900.0,15.785504341125488,15.659765815734863,15.659765815734863,15.659765815734863,15.659765815734863
2000-01-25,34.25,34.0,34.0,34.1875,26000.0,15.872556686401367,15.686848831176757,15.67306524515152,15.67306524515152,15.67306524515152
2000-01-26,34.25,34.0625,34.0625,34.125,11200.0,15.843550682067871,15.723604965209962,15.683093800264245,15.683093800264245,15.683093800264245
2000-01-27,34.5,33.875,34.125,34.375,19800.0,15.959610939025879,15.771966743469239,15.698455863528782,15.698455863528782,15.698455863528782
