Date,High,Low,Open,Close,Volume,Adj Close,LH-15ma,LH-50ma,LH-100ma,LH-200ma
2000-01-03,9.21875,8.75,9.21875,9.0625,52000.0,9.0625,9.0625,9.0625,9.0625,9.0625
2000-01-04,8.90625,8.4375,8.90625,8.75,66000.0,8.75,8.90625,8.90625,8.90625,8.90625
2000-01-05,8.75,8.4375,8.59375,8.75,24000.0,8.75,8.854166666666666,8.854166666666666,8.854166666666666,8.854166666666666
2000-01-06,8.75,8.4375,8.59375,8.59375,38400.0,8.59375,8.7890625,8.7890625,8.7890625,8.7890625
2000-01-07,8.90625,8.4375,8.59375,8.90625,79200.0,8.90625,8.8125,8.8125,8.8125,8.8125
2000-01-10,9.0625,8.75,9.0625,8.75,136400.0,8.75,8.802083333333334,8.802083333333334,8.802083333333334,8.802083333333334
2000-01-11,8.75,8.4375,8.59375,8.4375,38400.0,8.4375,8.75,8.75,8.75,8.75
2000-01-12,8.59375,8.4375,8.4375,8.4375,38000.0,8.4375,8.7109375,8.7109375,8.7109375,8.7109375
2000-01-13,8.90625,8.28125,8.4375,8.90625,268800.0,8.90625,8.73263888888889,8.73263888888889,8.73263888888889,8.73263888888889
2000-01-14,8.90625,8.75,8.75,8.90625,47600.0,8.90625,8.75,8.75,8.75,8.75
2000-01-18,8.90625,8.4375,8.75,8.75,95600.0,8.75,8.75,8.75,8.75,8.75
2000-01-19,8.75,8.59375,8.75,8.75,51200.0,8.75,8.75,8.75,8.75,8.75
2000-01-20,8.75,8.59375,8.59375,8.59375,120800.0,8.59375,8.73798076923077,8.73798076923077,8.73798076923077,8.73798076923077
2000-01-21,8.59375,8.28125,8.59375,8.59375,201200.0,8.59375,8.727678571428571,8.727678571428571,8.727678571428571,8.727678571428571
2000-01-24,8.4375,8.28125,8.4375,8.4375,98800.0,8.4375,8.708333333333334,8.708333333333334,8.708333333333334,8.708333333333334
2000-01-25,8.4375,8.125,8.28125,8.28125,92000.0,8.28125,8.65625,8.681640625,8.681640625,8.681640625
2000-01-26,8.28125,7.8125,8.28125,8.28125,165600.0,8.28125,8.625,8.658088235294118,8.658088235294118,8.658088235294118
2000-01-27,8.4375,7.96875,8.4375,8.125,747200.0,8.125,8.583333333333334,8.628472222222221,8.628472222222221,8.628472222222221
2000-01-28,8.4375,8.28125,8.28125,8.4375,66400.0,8.4375,8.572916666666666,8.618421052631579,8.618421052631579,8.618421052631579
2000-01-31,8.28125,7.96875,8.125,8.28125,84400.0,8.28125,8.53125,8.6015625,8.6015625,8.6015625
2000-02-01,8.4375,8.125,8.28125,8.28125,56800.0,8.28125,8.5,8.586309523809524,8.586309523809524,8.586309523809524
2000-02-02,8.59375,8.28125,8.28125,8.4375,108800.0,8.4375,8.5,8.579545454545455,8.579545454545455,8.579545454545455
2000-02-03,8.59375,8.4375,8.59375,8.59375,41200.0,8.59375,8.510416666666666,8.580163043478262,8.580163043478262,8.580163043478262
2000-02-04,8.59375,8.28125,8.4375,8.4375,42800.0,8.4375,8.479166666666666,8.57421875,8.57421875,8.57421875
2000-02-07,9.53125,8.28125,8.4375,9.53125,984000.0,9.53125,8.520833333333334,8.6125,8.6125,8.6125
2000-02-08,10.625,9.6875,9.6875,10.3125,797200.0,10.3125,8.625,8.677884615384615,8.677884615384615,8.677884615384615
2000-02-09,10.3125,9.6875,10.3125,10.0,169200.0,10.0,8.708333333333334,8.726851851851851,8.726851851851851,8.726851851851851
2000-02-10,10.0,9.6875,10.0,9.6875,165600.0,9.6875,8.78125,8.761160714285714,8.761160714285714,8.761160714285714
2000-02-11,9.84375,9.6875,9.84375,9.6875,136000.0,9.6875,8.854166666666666,8.793103448275861,8.793103448275861,8.793103448275861
2000-02-14,9.84375,9.21875,9.375,9.84375,208800.0,9.84375,8.947916666666666,8.828125,8.828125,8.828125
2000-02-15,10.15625,8.90625,10.0,10.0,1316800.0,10.0,9.0625,8.865927419354838,8.865927419354838,8.865927419354838
2000-02-16,10.0,9.53125,9.6875,9.84375,626800.0,9.84375,9.166666666666666,8.896484375,8.896484375,8.896484375
