Date,High,Low,Open,Close,Volume,Adj Close,WRK-15ma,WRK-50ma,WRK-100ma,WRK-200ma
2015-06-24,57.16731262207031,57.104244232177734,57.16731262207031,57.104244232177734,3700.0,49.00604248046875,49.00604248046875,49.00604248046875,49.00604248046875,49.00604248046875
2015-06-25,56.67177200317383,55.770790100097656,56.67177200317383,55.770790100097656,4100.0,47.8616943359375,48.433868408203125,48.433868408203125,48.433868408203125,48.433868408203125
2015-06-26,55.770790100097656,55.770790100097656,55.770790100097656,55.770790100097656,100.0,47.8616943359375,48.243143717447914,48.243143717447914,48.243143717447914,48.243143717447914
2015-06-29,54.8878288269043,54.77970886230469,54.8878288269043,54.77970886230469,300.0,47.01116180419922,47.93514823913574,47.93514823913574,47.93514823913574,47.93514823913574
2015-06-30,55.32029724121094,54.35624694824219,55.25722885131836,54.869808197021484,2015000.0,47.08848571777344,47.76581573486328,47.76581573486328,47.76581573486328,47.76581573486328
2015-07-01,56.221282958984375,54.62654113769531,54.725650787353516,56.221282958984375,213500.0,48.248291015625,47.8462282816569,47.8462282816569,47.8462282816569,47.8462282816569
2015-07-02,58.56383514404297,56.221282958984375,56.761871337890625,58.55482482910156,1936800.0,50.25090789794922,48.18975394112723,48.18975394112723,48.18975394112723,48.18975394112723
2015-07-06,59.82521057128906,56.75286102294922,58.67195129394531,57.43760681152344,2322200.0,49.292118072509766,48.32754945755005,48.32754945755005,48.32754945755005,48.32754945755005
2015-07-07,57.65384292602539,55.44643783569336,57.581764221191406,56.28435134887695,3388600.0,48.30241775512695,48.32475704616971,48.32475704616971,48.32475704616971,48.32475704616971
2015-07-08,57.57275390625,53.60843276977539,56.311378479003906,53.797637939453125,4200200.0,46.168357849121094,48.109117126464845,48.109117126464845,48.109117126464845,48.109117126464845
2015-07-09,54.8968391418457,52.716461181640625,53.60843276977539,53.6174430847168,2535200.0,46.01371765136719,47.91862626509233,47.91862626509233,47.91862626509233,47.91862626509233
2015-07-10,55.50049591064453,53.518333435058594,54.03189468383789,55.32029724121094,2482800.0,47.4750862121582,47.88166459401449,47.88166459401449,47.88166459401449,47.88166459401449
2015-07-13,56.08613204956055,55.50950622558594,55.89692687988281,55.9690055847168,1386300.0,48.03178787231445,47.8932125384991,47.8932125384991,47.8932125384991,47.8932125384991
2015-07-14,56.80691909790039,55.35633850097656,55.950984954833984,56.032073974609375,1104100.0,48.085914611816406,47.906976972307476,47.906976972307476,47.906976972307476,47.906976972307476
2015-07-15,56.69880294799805,55.07703399658203,56.08613204956055,55.518516540527344,1342900.0,47.64519500732422,47.88952484130859,47.88952484130859,47.88952484130859,47.88952484130859
2015-07-16,57.37453842163086,55.442832946777344,55.59059524536133,56.14920425415039,1516000.0,48.186439514160156,47.83488464355469,47.908082008361816,47.908082008361816,47.908082008361816
2015-07-17,56.987117767333984,55.53653335571289,56.419498443603516,55.635643005371094,1346500.0,47.74570846557617,47.827152252197266,47.89853062349207,47.89853062349207,47.89853062349207
