Date,High,Low,Open,Close,Volume,Adj Close,GWW-15ma,GWW-50ma,GWW-100ma,GWW-200ma
2000-01-03,47.6875,45.1875,47.625,45.9375,334100.0,32.393463134765625,32.393463134765625,32.393463134765625,32.393463134765625,32.393463134765625
2000-01-04,46.0,44.5625,45.75,44.625,216500.0,31.467941284179688,31.930702209472656,31.930702209472656,31.930702209472656,31.930702209472656
2000-01-05,45.25,44.375,44.375,45.25,277100.0,31.908666610717773,31.923357009887695,31.923357009887695,31.923357009887695,31.923357009887695
2000-01-06,45.125,44.75,45.0,45.0625,206300.0,31.776460647583008,31.886632919311523,31.886632919311523,31.886632919311523,31.886632919311523
2000-01-07,45.75,41.25,42.5,44.375,1686300.0,31.291656494140625,31.767637634277342,31.767637634277342,31.767637634277342,31.767637634277342
2000-01-10,46.3125,43.5625,44.625,46.3125,562100.0,32.657894134521484,31.916013717651367,31.916013717651367,31.916013717651367,31.916013717651367
2000-01-11,48.875,45.625,46.0625,48.5,942300.0,34.20045471191406,32.24236243111746,32.24236243111746,32.24236243111746,32.24236243111746
2000-01-12,50.75,48.4375,48.4375,50.125,1412800.0,35.34635925292969,32.630362033843994,32.630362033843994,32.630362033843994,32.630362033843994
2000-01-13,52.0,50.25,50.5,52.0,892200.0,36.66852951049805,33.07904730902778,33.07904730902778,33.07904730902778,33.07904730902778
2000-01-14,56.25,52.75,52.75,55.625,1107900.0,39.22474670410156,33.693617248535155,33.693617248535155,33.693617248535155,33.693617248535155
2000-01-18,55.6875,53.625,55.625,54.625,582300.0,38.51958465576172,34.132341558283024,34.132341558283024,34.132341558283024,34.132341558283024
2000-01-19,54.875,53.6875,53.875,54.875,305500.0,38.69586944580078,34.51263554890951,34.51263554890951,34.51263554890951,34.51263554890951
2000-01-20,55.25,53.875,55.0,54.625,534900.0,38.51958465576172,34.82086240328275,34.82086240328275,34.82086240328275,34.82086240328275
2000-01-21,54.25,53.375,53.375,54.0625,537000.0,38.1229362487793,35.05672482081822,35.05672482081822,35.05672482081822,35.05672482081822
2000-01-24,54.5,54.0,54.0625,54.1875,890100.0,38.21108627319336,35.267015584309895,35.267015584309895,35.267015584309895,35.267015584309895
2000-01-25,54.25,49.5,54.1875,51.4375,796300.0,36.2718505859375,35.52557474772136,35.32981777191162,35.32981777191162,35.32981777191162
2000-01-26,51.375,49.875,50.4375,50.375,617500.0,35.52263641357422,35.79588775634765,35.3411600449506,35.3411600449506,35.3411600449506
2000-01-27,52.0,49.25,50.4375,50.25,426300.0,35.43449401855469,36.03094291687012,35.34634526570638,35.34634526570638,35.34634526570638
