Date,High,Low,Open,Close,Volume,Adj Close,ARE-15ma,ARE-50ma,ARE-100ma,ARE-200ma
2000-01-03,31.8125,31.25,31.8125,31.25,48500.0,15.394585609436035,15.394585609436035,15.394585609436035,15.394585609436035,15.394585609436035
2000-01-04,31.125,30.5,31.125,30.5625,25200.0,15.055904388427734,15.225244998931885,15.225244998931885,15.225244998931885,15.225244998931885
2000-01-05,30.5625,30.0,30.5,30.0,12900.0,14.778802871704102,15.076430956522623,15.076430956522623,15.076430956522623,15.076430956522623
2000-01-06,29.875,29.375,29.875,29.4375,20300.0,14.501707077026367,14.93274998664856,14.93274998664856,14.93274998664856,14.93274998664856
2000-01-07,30.0,29.375,29.375,30.0,18700.0,14.778802871704102,14.901960563659667,14.901960563659667,14.901960563659667,14.901960563659667
2000-01-10,30.5,30.0,30.125,30.375,19600.0,14.963544845581055,14.912224610646566,14.912224610646566,14.912224610646566,14.912224610646566
2000-01-11,30.4375,30.25,30.4375,30.4375,18500.0,14.994338035583496,14.92395509992327,14.92395509992327,14.92395509992327,14.92395509992327
2000-01-12,30.375,29.8125,30.375,30.0,43900.0,14.778802871704102,14.905811071395874,14.905811071395874,14.905811071395874,14.905811071395874
2000-01-13,30.125,29.5,30.0,30.125,10500.0,14.840387344360352,14.898541768391928,14.898541768391928,14.898541768391928,14.898541768391928
2000-01-14,30.375,30.125,30.25,30.3125,4500.0,14.932751655578613,14.901962757110596,14.901962757110596,14.901962757110596,14.901962757110596
2000-01-18,30.375,30.0,30.3125,30.375,101800.0,14.963544845581055,14.907561128789728,14.907561128789728,14.907561128789728,14.907561128789728
2000-01-19,30.625,30.1875,30.625,30.25,26800.0,14.901962280273438,14.907094558080038,14.907094558080038,14.907094558080038,14.907094558080038
2000-01-20,30.375,30.125,30.125,30.25,14300.0,14.901962280273438,14.90669976747953,14.90669976747953,14.90669976747953,14.90669976747953
2000-01-21,30.1875,30.0625,30.125,30.125,7600.0,14.840387344360352,14.90196316582816,14.90196316582816,14.90196316582816,14.90196316582816
2000-01-24,30.25,30.0,30.1875,30.0,18600.0,14.778802871704102,14.893752479553223,14.893752479553223,14.893752479553223,14.893752479553223
2000-01-25,30.0,29.875,30.0,29.9375,11600.0,14.748011589050293,14.85064754486084,14.88464367389679,14.88464367389679,14.88464367389679
2000-01-26,30.25,29.625,29.875,29.6875,33700.0,14.624863624572754,14.821911493937174,14.869362494524788,14.869362494524788,14.869362494524788
2000-01-27,30.1875,29.5625,29.75,30.0625,22400.0,14.809593200683594,14.823964182535807,14.866041978200277,14.866041978200277,14.866041978200277
2000-01-28,30.1875,29.5,30.125,29.5625,7900.0,14.563277244567871,14.828068860371907,14.850106992219624,14.850106992219624,14.850106992219624
2000-01-31,29.6875,29.5,29.625,29.5,14300.0,14.532493591308594,14.811648241678874,14.834226322174072,14.834226322174072,14.834226322174072
2000-02-01,29.75,29.5625,29.5625,29.75,6600.0,14.65564250946045,14.791121419270834,14.825722331092472,14.825722331092472,14.825722331092472
