Date,High,Low,Open,Close,Volume,Adj Close,LEN-15ma,LEN-50ma,LEN-100ma,LEN-200ma
2000-01-03,8.019911766052246,7.743362903594971,7.927728652954102,7.835545539855957,387000.0,6.0746564865112305,6.0746564865112305,6.0746564865112305,6.0746564865112305,6.0746564865112305
2000-01-04,7.866273403167725,7.712635040283203,7.712635040283203,7.77409029006958,548100.0,6.027012825012207,6.050834655761719,6.050834655761719,6.050834655761719,6.050834655761719
2000-01-05,7.897000789642334,7.77409029006958,7.77409029006958,7.804818153381348,222700.0,6.050836563110352,6.050835291544597,6.050835291544597,6.050835291544597,6.050835291544597
2000-01-06,7.835545539855957,7.712635040283203,7.77409029006958,7.804818153381348,511100.0,6.050836563110352,6.050835609436035,6.050835609436035,6.050835609436035,6.050835609436035
2000-01-07,8.019911766052246,7.77409029006958,7.804818153381348,7.958456039428711,914200.0,6.169944763183594,6.074657440185547,6.074657440185547,6.074657440185547,6.074657440185547
2000-01-10,8.112093925476074,7.866273403167725,7.958456039428711,8.019911766052246,2106000.0,6.217591762542725,6.098479827245076,6.098479827245076,6.098479827245076,6.098479827245076
2000-01-11,8.050639152526855,7.866273403167725,8.050639152526855,7.866273403167725,580500.0,6.0984787940979,6.098479679652622,6.098479679652622,6.098479679652622,6.098479679652622
2000-01-12,8.142822265625,7.743362903594971,7.9891839027404785,7.927728652954102,908500.0,6.146124362945557,6.1044352650642395,6.1044352650642395,6.1044352650642395,6.1044352650642395
2000-01-13,8.235005378723145,8.050639152526855,8.050639152526855,8.112093925476074,312000.0,6.289059162139893,6.124949031405979,6.124949031405979,6.124949031405979,6.124949031405979
2000-01-14,8.357915878295898,8.142822265625,8.17354965209961,8.142822265625,401300.0,6.312880516052246,6.143742179870605,6.143742179870605,6.143742179870605,6.143742179870605
2000-01-18,8.204277038574219,8.081366539001465,8.17354965209961,8.081366539001465,681500.0,6.2652363777160645,6.154787106947466,6.154787106947466,6.154787106947466,6.154787106947466
2000-01-19,8.17354965209961,7.897000789642334,7.897000789642334,8.019911766052246,449500.0,6.217591762542725,6.16002082824707,6.16002082824707,6.16002082824707,6.16002082824707
2000-01-20,8.112093925476074,7.9891839027404785,8.019911766052246,8.081366539001465,677300.0,6.2652363777160645,6.168114332052378,6.168114332052378,6.168114332052378,6.168114332052378
