Date,High,Low,Open,Close,Volume,Adj Close,MCO-15ma,MCO-50ma,MCO-100ma,MCO-200ma
2000-01-03,11.0625,10.8125,11.0625,10.8125,1356800.0,8.407681465148926,8.407681465148926,8.407681465148926,8.407681465148926,8.407681465148926
2000-01-04,10.875,10.4375,10.8125,10.5,1126600.0,8.164688110351562,8.286184787750244,8.286184787750244,8.286184787750244,8.286184787750244
2000-01-05,10.5,10.1875,10.5,10.3125,1278800.0,8.01888656616211,8.1970853805542,8.1970853805542,8.1970853805542,8.1970853805542
2000-01-06,10.4375,10.3125,10.3125,10.3125,2142800.0,8.01888656616211,8.152535676956177,8.152535676956177,8.152535676956177,8.152535676956177
2000-01-07,10.625,10.5,10.5,10.5625,2784200.0,8.213287353515625,8.164686012268067,8.164686012268067,8.164686012268067,8.164686012268067
2000-01-10,10.625,10.5,10.5625,10.5625,964200.0,8.213287353515625,8.172786235809326,8.172786235809326,8.172786235809326,8.172786235809326
2000-01-11,10.75,10.5625,10.5625,10.6875,1656400.0,8.31048583984375,8.192457607814244,8.192457607814244,8.192457607814244,8.192457607814244
2000-01-12,10.75,10.625,10.6875,10.625,1719400.0,8.261887550354004,8.201136350631714,8.201136350631714,8.201136350631714,8.201136350631714
2000-01-13,10.9375,10.6875,10.6875,10.8125,947800.0,8.407681465148926,8.224085807800293,8.224085807800293,8.224085807800293,8.224085807800293
2000-01-14,10.875,10.6875,10.8125,10.6875,739400.0,8.31048583984375,8.232725811004638,8.232725811004638,8.232725811004638,8.232725811004638
2000-01-18,10.625,10.4375,10.625,10.4375,802800.0,8.116085052490234,8.222122105685147,8.222122105685147,8.222122105685147,8.222122105685147
2000-01-19,10.9375,10.4375,10.4375,10.625,1146000.0,8.261887550354004,8.225435892740885,8.225435892740885,8.225435892740885,8.225435892740885
2000-01-20,10.625,10.5,10.625,10.5,1032800.0,8.164688110351562,8.220762986403246,8.220762986403246,8.220762986403246,8.220762986403246
2000-01-21,10.6875,10.5,10.5,10.5625,1961400.0,8.213287353515625,8.220229012625557,8.220229012625557,8.220229012625557,8.220229012625557
2000-01-24,10.625,10.4375,10.5625,10.4375,1661000.0,8.116085052490234,8.21328608194987,8.21328608194987,8.21328608194987,8.21328608194987
2000-01-25,10.5,10.125,10.4375,10.1875,2578600.0,7.921685695648193,8.180886363983154,8.195061057806015,8.195061057806015,8.195061057806015
2000-01-26,10.125,9.6875,10.125,9.6875,2074600.0,7.53289270401001,8.138766670227051,8.156109978170957,8.156109978170957,8.156109978170957
2000-01-27,9.875,9.5625,9.6875,9.8125,1875800.0,7.630094528198242,8.11284720102946,8.126886897616917,8.126886897616917,8.126886897616917
2000-01-28,9.75,9.5625,9.75,9.5625,1590000.0,7.435696601867676,8.073967870076498,8.090508460998535,8.090508460998535,8.090508460998535
2000-01-31,9.5625,9.4375,9.5625,9.4375,1802800.0,7.338497161865234,8.01564852396647,8.05290789604187,8.05290789604187,8.05290789604187
2000-02-01,9.8125,9.4375,9.4375,9.75,1504600.0,7.581493377685547,7.973528925577799,8.03045958564395,8.03045958564395,8.03045958564395
2000-02-02,9.8125,9.6875,9.75,9.75,955200.0,7.581493377685547,7.924929428100586,8.01005203073675,8.01005203073675,8.01005203073675
2000-02-03,10.0,9.6875,9.75,9.8125,1320200.0,7.630094528198242,7.882809893290202,7.993532139322032,7.993532139322032,7.993532139322032
2000-02-04,9.8125,9.75,9.8125,9.75,2108000.0,7.581493377685547,7.82773068745931,7.976363857587178,7.976363857587178,7.976363857587178
2000-02-07,9.875,9.75,9.75,9.8125,760800.0,7.630094528198242,7.782371266682943,7.962513084411621,7.962513084411621,7.962513084411621
2000-02-08,10.0625,9.8125,9.8125,9.9375,1197000.0,7.727290153503418,7.756451606750488,7.953466048607459,7.953466048607459,7.953466048607459
2000-02-09,9.9375,9.8125,9.9375,9.8125,1901400.0,7.630094528198242,7.714332071940104,7.94148932562934,7.94148932562934,7.94148932562934
2000-02-10,9.875,9.4375,9.8125,9.625,1941800.0,7.4842939376831055,7.668972460428874,7.9251609189169745,7.9251609189169745,7.9251609189169745
