Date,High,Low,Open,Close,Volume,Adj Close,EOG-15ma,EOG-50ma,EOG-100ma,EOG-200ma
2000-01-03,4.34375,3.75,4.296875,3.875,3971200.0,3.4437756538391113,3.4437756538391113,3.4437756538391113,3.4437756538391113,3.4437756538391113
2000-01-04,3.90625,3.6875,3.75,3.875,5402800.0,3.4437756538391113,3.4437756538391113,3.4437756538391113,3.4437756538391113,3.4437756538391113
2000-01-05,3.875,3.71875,3.8125,3.765625,3598000.0,3.346571683883667,3.41137433052063,3.41137433052063,3.41137433052063,3.41137433052063
2000-01-06,4.125,3.734375,3.765625,4.078125,3956000.0,3.6242947578430176,3.464604437351227,3.464604437351227,3.464604437351227,3.464604437351227
2000-01-07,4.1875,3.984375,4.125,4.03125,2756400.0,3.582636833190918,3.488210916519165,3.488210916519165,3.488210916519165,3.488210916519165
2000-01-10,4.0625,3.90625,3.96875,4.0625,1998800.0,3.610408306121826,3.5085771481196084,3.5085771481196084,3.5085771481196084,3.5085771481196084
2000-01-11,4.15625,4.0,4.0,4.09375,2788400.0,3.6381824016571045,3.5270921843392506,3.5270921843392506,3.5270921843392506,3.5270921843392506
2000-01-12,4.140625,4.015625,4.078125,4.09375,2079200.0,3.644860029220581,3.541813164949417,3.541813164949417,3.541813164949417,3.541813164949417
2000-01-13,4.234375,4.109375,4.125,4.171875,4296400.0,3.714416265487671,3.5609912872314453,3.5609912872314453,3.5609912872314453,3.5609912872314453
2000-01-14,4.28125,4.140625,4.234375,4.25,5099200.0,3.783977746963501,3.583289933204651,3.583289933204651,3.583289933204651,3.583289933204651
2000-01-18,4.484375,4.171875,4.3125,4.265625,3706800.0,3.7978880405426025,3.6027988520535557,3.6027988520535557,3.6027988520535557,3.6027988520535557
2000-01-19,4.453125,4.28125,4.328125,4.28125,1662400.0,3.811798572540283,3.6202154954274497,3.6202154954274497,3.6202154954274497,3.6202154954274497
2000-01-20,4.28125,4.0,4.265625,4.1875,4240800.0,3.728329658508301,3.628531969510592,3.628531969510592,3.628531969510592,3.628531969510592
2000-01-21,4.328125,4.03125,4.234375,4.0625,7760000.0,3.6170363426208496,3.627710853304182,3.627710853304182,3.627710853304182,3.627710853304182
2000-01-24,4.046875,3.859375,4.0,3.96875,5458400.0,3.533566951751709,3.6214345932006835,3.6214345932006835,3.6214345932006835,3.6214345932006835
2000-01-25,4.046875,3.890625,3.96875,3.90625,5332000.0,3.477919816970825,3.623710870742798,3.6124649196863174,3.6124649196863174,3.6124649196863174
2000-01-26,4.0625,3.921875,3.921875,3.953125,4566400.0,3.5196542739868164,3.6287694454193113,3.607005469939288,3.607005469939288,3.607005469939288
2000-01-27,4.03125,3.8125,3.96875,3.859375,2605200.0,3.4361846446990967,3.634743642807007,3.597515424092611,3.597515424092611,3.597515424092611
2000-01-28,3.921875,3.796875,3.859375,3.8125,2298000.0,3.394449472427368,3.619420623779297,3.586827742426019,3.586827742426019,3.586827742426019
2000-01-31,3.984375,3.765625,3.875,3.96875,3082800.0,3.533566951751709,3.6161492983500163,3.5841647028923034,3.5841647028923034,3.5841647028923034
2000-02-01,4.046875,3.90625,3.9375,4.0,2764000.0,3.561389923095703,3.612881406148275,3.5830801895686557,3.5830801895686557,3.5830801895686557
2000-02-02,4.171875,4.0625,4.0625,4.125,4101200.0,3.672682285308838,3.615181398391724,3.5871530121023003,3.5871530121023003,3.5871530121023003
2000-02-03,4.203125,4.03125,4.15625,4.03125,3419200.0,3.5892128944396973,3.611471589406331,3.5872425722039263,3.5872425722039263,3.5872425722039263
2000-02-04,4.140625,3.8125,4.015625,3.921875,2589200.0,3.4918317794799805,3.5966326236724853,3.5832671225070953,3.5832671225070953,3.5832671225070953
2000-02-07,4.03125,3.859375,3.984375,3.890625,3120800.0,3.4640088081359863,3.5753013610839846,3.578496789932251,3.578496789932251,3.578496789932251
2000-02-08,3.96875,3.828125,3.921875,3.875,2361600.0,3.450096368789673,3.552115249633789,3.573558312195998,3.573558312195998,3.573558312195998
2000-02-09,3.96875,3.71875,3.90625,3.765625,3786400.0,3.352714776992798,3.5215096632639566,3.565378922003287,3.565378922003287,3.565378922003287
2000-02-10,3.96875,3.765625,3.765625,3.96875,3636800.0,3.533566951751709,3.5085254828135173,3.5642427802085876,3.5642427802085876,3.5642427802085876
2000-02-11,3.984375,3.8125,3.984375,3.90625,3043600.0,3.477919816970825,3.499251047770182,3.5612661263038374,3.5612661263038374,3.5612661263038374
2000-02-14,3.96875,3.828125,3.90625,3.9375,2067200.0,3.5057435035705566,3.497396151224772,3.5594153722127277,3.5594153722127277,3.5594153722127277
2000-02-15,4.125,3.921875,3.9375,4.0625,2679600.0,3.6170363426208496,3.506670586268107,3.561274113193635,3.561274113193635,3.561274113193635
2000-02-16,4.140625,3.984375,4.09375,3.984375,2467600.0,3.547478199005127,3.508525514602661,3.560842990875244,3.560842990875244,3.560842990875244
2000-02-17,4.046875,3.96875,4.015625,4.046875,4590800.0,3.6031243801116943,3.5196548302968345,3.5621242450945303,3.5621242450945303,3.5621242450945303
2000-02-18,4.0625,3.921875,4.046875,3.921875,2795200.0,3.4918317794799805,3.526146984100342,3.560056819635279,3.560056819635279,3.560056819635279
2000-02-22,3.953125,3.796875,3.90625,3.875,1354400.0,3.450096368789673,3.5205822785695395,3.5569150924682615,3.5569150924682615,3.5569150924682615
2000-02-23,3.9375,3.671875,3.84375,3.6875,2829600.0,3.2831547260284424,3.502033265431722,3.5493106378449335,3.5493106378449335,3.5493106378449335
2000-02-24,3.734375,3.4375,3.734375,3.5,5046800.0,3.116215944290161,3.4649355093638103,3.5376053758569665,3.5376053758569665,3.5376053758569665
