Date,High,Low,Open,Close,Volume,Adj Close,VAR-15ma,VAR-50ma,VAR-100ma,VAR-200ma
2000-01-03,6.631556034088135,6.028687477111816,6.631556034088135,6.302718639373779,608900.0,6.302718639373779,6.302718639373779,6.302718639373779,6.302718639373779,6.302718639373779
2000-01-04,6.508242130279541,6.234210968017578,6.302718639373779,6.261613845825195,756700.0,6.261613845825195,6.282166242599487,6.282166242599487,6.282166242599487,6.282166242599487
2000-01-05,6.576749801635742,6.261613845825195,6.261613845825195,6.477413654327393,741200.0,6.477413654327393,6.347248713175456,6.347248713175456,6.347248713175456,6.347248713175456
2000-01-06,6.563048362731934,6.426033020019531,6.494540691375732,6.494540691375732,538700.0,6.494540691375732,6.384071707725525,6.384071707725525,6.384071707725525,6.384071707725525
2000-01-07,6.631556034088135,6.4123311042785645,6.467137336730957,6.535645484924316,758100.0,6.535645484924316,6.414386463165283,6.414386463165283,6.414386463165283,6.414386463165283
2000-01-10,6.741168975830078,6.535645484924316,6.563048362731934,6.604153156280518,651800.0,6.604153156280518,6.446014245351155,6.446014245351155,6.446014245351155,6.446014245351155
2000-01-11,6.604153156280518,6.467137336730957,6.563048362731934,6.467137336730957,512200.0,6.467137336730957,6.449031829833984,6.449031829833984,6.449031829833984,6.449031829833984
2000-01-12,6.686362266540527,6.426033020019531,6.453435897827148,6.576749801635742,528200.0,6.576749801635742,6.464996576309204,6.464996576309204,6.464996576309204,6.464996576309204
2000-01-13,6.8370795249938965,6.357524871826172,6.576749801635742,6.700064182281494,629000.0,6.700064182281494,6.491115199195014,6.491115199195014,6.491115199195014,6.491115199195014
2000-01-14,7.042603015899658,6.713765621185303,6.741168975830078,7.015200138092041,1222000.0,7.015200138092041,6.543523693084717,6.543523693084717,6.543523693084717,6.543523693084717
2000-01-18,7.289231300354004,6.905587673187256,6.905587673187256,7.179618835449219,858400.0,7.179618835449219,6.601350524208763,6.601350524208763,6.601350524208763,6.601350524208763
2000-01-19,7.179618835449219,7.097409248352051,7.124812602996826,7.179618835449219,648100.0,7.179618835449219,6.649539550145467,6.649539550145467,6.649539550145467,6.649539550145467
2000-01-20,7.371440410614014,7.152215480804443,7.152215480804443,7.316634178161621,452900.0,7.316634178161621,6.700854521531325,6.700854521531325,6.700854521531325,6.700854521531325
2000-01-21,7.426246643066406,7.070006370544434,7.316634178161621,7.398843765258789,579700.0,7.398843765258789,6.7507108960832864,6.7507108960832864,6.7507108960832864,6.7507108960832864
2000-01-24,7.398843765258789,7.275529861450195,7.398843765258789,7.289231300354004,838800.0,7.289231300354004,6.786612256368001,6.786612256368001,6.786612256368001,6.786612256368001
