Date,High,Low,Open,Close,Volume,Adj Close,PH-15ma,PH-50ma,PH-100ma,PH-200ma
2000-01-03,34.20833206176758,32.33333206176758,34.20833206176758,32.54166793823242,593400.0,23.25929832458496,23.25929832458496,23.25929832458496,23.25929832458496,23.25929832458496
2000-01-04,32.83333206176758,31.25,32.54166793823242,31.25,217600.0,22.33607292175293,22.797685623168945,22.797685623168945,22.797685623168945,22.797685623168945
2000-01-05,31.83333396911621,31.08333396911621,31.41666603088379,31.25,420900.0,22.33607292175293,22.64381472269694,22.64381472269694,22.64381472269694,22.64381472269694
2000-01-06,31.83333396911621,30.75,31.33333396911621,31.83333396911621,1203400.0,22.753015518188477,22.671114921569824,22.671114921569824,22.671114921569824,22.671114921569824
2000-01-07,36.0,34.5,34.66666793823242,34.75,2630100.0,24.837709426879883,23.104433822631837,23.104433822631837,23.104433822631837,23.104433822631837
2000-01-10,35.625,33.83333206176758,34.75,34.33333206176758,774900.0,24.53989028930664,23.343676567077637,23.343676567077637,23.343676567077637,23.343676567077637
2000-01-11,34.54166793823242,33.33333206176758,34.16666793823242,33.45833206176758,523500.0,23.91448974609375,23.425221306937082,23.425221306937082,23.425221306937082,23.425221306937082
2000-01-12,34.125,33.58333206176758,33.625,33.91666793823242,1078900.0,24.242084503173828,23.527329206466675,23.527329206466675,23.527329206466675,23.527329206466675
2000-01-13,33.95833206176758,33.20833206176758,33.95833206176758,33.5,551500.0,23.944263458251953,23.573655234442818,23.573655234442818,23.573655234442818,23.573655234442818
2000-01-14,33.58333206176758,32.41666793823242,33.58333206176758,33.08333206176758,741100.0,23.646459579467773,23.580935668945312,23.580935668945312,23.580935668945312,23.580935668945312
2000-01-18,32.79166793823242,30.375,32.66666793823242,31.125,1312800.0,22.24673843383789,23.459645011208274,23.459645011208274,23.459645011208274,23.459645011208274
2000-01-19,31.91666603088379,30.5,30.66666603088379,31.91666603088379,899200.0,22.812585830688477,23.405723412831623,23.405723412831623,23.405723412831623,23.405723412831623
2000-01-20,32.66666793823242,31.54166603088379,32.66666793823242,31.70833396911621,862800.0,22.663665771484375,23.348642055804913,23.348642055804913,23.348642055804913,23.348642055804913
2000-01-21,32.0,30.66666603088379,31.70833396911621,31.16666603088379,755200.0,22.276512145996094,23.272061347961426,23.272061347961426,23.272061347961426,23.272061347961426
2000-01-24,31.20833396911621,29.41666603088379,31.20833396911621,29.54166603088379,783900.0,21.11503028869629,23.12825927734375,23.12825927734375,23.12825927734375,23.12825927734375
2000-01-25,29.66666603088379,28.5,29.58333396911621,28.75,556000.0,20.549190521240234,22.947585423787434,22.96706748008728,22.96706748008728,22.96706748008728
2000-01-26,29.75,27.875,28.875,29.375,1097700.0,20.995912551879883,22.85824139912923,22.851117190192728,22.851117190192728,22.851117190192728
2000-01-27,30.0,29.0,29.33333396911621,29.25,442500.0,20.906570434570312,22.762941233317058,22.74308681488037,22.74308681488037,22.74308681488037
2000-01-28,29.08333396911621,28.0,29.08333396911621,28.125,567100.0,20.102460861206055,22.58623758951823,22.604106501529092,22.604106501529092,22.604106501529092
2000-01-31,29.08333396911621,27.79166603088379,28.08333396911621,28.83333396911621,387900.0,20.608745574951172,22.304306666056316,22.504338455200195,22.504338455200195,22.504338455200195
2000-02-01,29.625,28.75,28.75,29.41666603088379,705400.0,21.025691986083984,22.070026779174803,22.433926718575613,22.433926718575613,22.433926718575613
2000-02-02,29.83333396911621,28.5,29.41666603088379,28.70833396911621,306100.0,20.5194034576416,21.843687693277996,22.346902933987703,22.346902933987703,22.346902933987703
