Date,High,Low,Open,Close,Volume,Adj Close,MSI-15ma,MSI-50ma,MSI-100ma,MSI-200ma
2000-01-03,185.27366638183594,176.37933349609375,182.40939331054688,179.69586181640625,3421100.0,136.24473571777344,136.24473571777344,136.24473571777344,136.24473571777344,136.24473571777344
2000-01-04,175.7763214111328,165.2237091064453,173.0627899169922,166.2789764404297,4138200.0,126.07215118408203,131.15844345092773,131.15844345092773,131.15844345092773,131.15844345092773
2000-01-05,165.67596435546875,157.68614196777344,165.2237091064453,161.9071807861328,4684600.0,122.7574234008789,128.35810343424478,128.35810343424478,128.35810343424478,128.35810343424478
2000-01-06,161.60568237304688,142.30947875976562,161.00267028808594,143.51548767089844,4776800.0,108.81285858154297,123.47179222106934,123.47179222106934,123.47179222106934,123.47179222106934
2000-01-07,155.7263641357422,147.0581512451172,148.33953857421875,155.3494873046875,6554200.0,117.7854232788086,122.33451843261719,122.33451843261719,122.33451843261719,122.33451843261719
2000-01-10,173.2135467529297,158.4398956298828,159.64590454101562,168.54025268554688,5134600.0,127.78656005859375,123.24319203694661,123.24319203694661,123.24319203694661,123.24319203694661
2000-01-11,169.8970184326172,159.72128295898438,162.96243286132812,160.09815979003906,3475600.0,121.38578796386719,122.97784859793526,122.97784859793526,122.97784859793526,122.97784859793526
2000-01-12,167.56036376953125,160.09815979003906,162.6609344482422,161.37954711914062,3480500.0,122.3573989868164,122.90029239654541,122.90029239654541,122.90029239654541,122.90029239654541
2000-01-13,169.44476318359375,161.9071807861328,164.46995544433594,167.1081085205078,2550600.0,126.7008056640625,123.32257164849176,123.32257164849176,123.32257164849176,123.32257164849176
2000-01-14,185.87667846679688,173.66580200195312,173.66580200195312,182.10789489746094,5250600.0,138.07354736328125,124.7976692199707,124.7976692199707,124.7976692199707,124.7976692199707
2000-01-18,177.6607208251953,172.00753784179688,173.0627899169922,173.66580200195312,6882500.0,131.6728057861328,125.42268163507634,125.42268163507634,125.42268163507634,125.42268163507634
2000-01-19,175.39944458007812,168.8417510986328,173.3643035888672,169.7462615966797,3470600.0,128.70101928710938,125.69587643941243,125.69587643941243,125.69587643941243,125.69587643941243
2000-01-20,175.47482299804688,169.29400634765625,170.801513671875,170.04776000976562,3801100.0,128.92965698242188,125.9446287888747,125.9446287888747,125.9446287888747,125.9446287888747
2000-01-21,178.11297607421875,172.91204833984375,177.58534240722656,174.11805725097656,3059000.0,132.01568603515625,126.37827573503766,126.37827573503766,126.37827573503766,126.37827573503766
2000-01-24,177.81146240234375,167.93724060058594,176.6808319091797,167.93724060058594,2647200.0,127.32943725585938,126.44168650309244,126.44168650309244,126.44168650309244,126.44168650309244
2000-01-25,171.6306610107422,165.6005859375,169.29400634765625,171.40452575683594,3092400.0,129.9583282470703,126.02259267171225,126.66147661209106,126.66147661209106,126.66147661209106
2000-01-26,176.07781982421875,164.31919860839844,171.10302734375,168.23873901367188,3329500.0,127.55799102783203,126.12164866129557,126.71421275419347,126.71421275419347,126.71421275419347
2000-01-27,169.5955047607422,163.71620178222656,168.8417510986328,164.0177001953125,3554300.0,124.35762023925781,126.22832845052083,126.58329094780817,126.58329094780817,126.58329094780817
2000-01-28,169.44476318359375,150.75155639648438,167.03273010253906,154.6710968017578,4720700.0,117.27105712890625,126.79220835367839,126.09317337839227,126.09317337839227,126.09317337839227
2000-01-31,164.92221069335938,152.33445739746094,154.9726104736328,164.0177001953125,4248200.0,124.35762023925781,127.23035481770833,126.00639572143555,126.00639572143555,126.00639572143555
2000-02-01,168.23873901367188,160.62579345703125,166.1282196044922,165.07296752929688,3473000.0,125.15774536132812,127.05510050455729,125.96598379952567,125.96598379952567,125.96598379952567
2000-02-02,178.03759765625,165.14833068847656,165.2237091064453,174.4195556640625,4112600.0,132.24435424804688,127.7790049235026,126.25136427445845,126.25136427445845,126.25136427445845
2000-02-03,184.4445343017578,176.22857666015625,176.22857666015625,184.21841430664062,4438000.0,139.67373657226562,128.9334274291992,126.83494567871094,126.83494567871094,126.83494567871094
2000-02-04,190.0223388671875,181.3541259765625,184.4445343017578,188.13795471191406,4362800.0,142.64553833007812,129.99640960693358,127.4937203725179,127.4937203725179,127.4937203725179
2000-02-07,191.83135986328125,184.74603271484375,186.47967529296875,191.60523986816406,2049600.0,145.2744140625,130.47646738688152,128.2049481201172,128.2049481201172,128.2049481201172
2000-02-08,194.62026977539062,188.8163299560547,192.96200561523438,192.81124877929688,3258700.0,146.18878173828125,131.44419911702474,128.89663402850812,128.89663402850812,128.89663402850812
2000-02-09,192.96200561523438,183.4646453857422,192.96200561523438,185.1982879638672,3167100.0,140.4166717529297,132.2252426147461,129.32330209237557,129.32330209237557,129.32330209237557
2000-02-10,189.87159729003906,185.27366638183594,185.4998016357422,187.27113342285156,3327100.0,141.98834228515625,133.0958216349284,129.77562495640345,129.77562495640345,129.77562495640345
2000-02-11,187.2334442138672,179.0928497314453,186.3289337158203,182.40939331054688,3018000.0,138.3021240234375,133.5149175008138,130.06964216561153,130.06964216561153,130.06964216561153
2000-02-14,184.06765747070312,176.45469665527344,184.06765747070312,177.58534240722656,3015000.0,134.64456176757812,134.00259246826172,130.22213948567708,130.22213948567708,130.22213948567708
2000-02-15,180.8264923095703,172.53515625,178.86672973632812,179.6204833984375,3595600.0,136.1875762939453,134.41787567138672,130.41457293110508,130.41457293110508,130.41457293110508
2000-02-16,182.10789489746094,177.43458557128906,179.6204833984375,178.33909606933594,2499100.0,135.21609497070312,134.92841593424478,130.56462049484253,130.56462049484253,130.56462049484253
2000-02-17,179.2436065673828,172.4597930908203,175.47482299804688,177.58534240722656,3399500.0,134.64456176757812,135.6142120361328,130.6882550788648,130.6882550788648,130.6882550788648
2000-02-18,178.48985290527344,174.4195556640625,177.43458557128906,174.7964324951172,2545200.0,132.52999877929688,136.63147481282553,130.74242401123047,130.74242401123047,130.74242401123047
2000-02-22,191.00222778320312,174.34417724609375,176.07781982421875,189.04246520996094,4098200.0,143.33131408691406,137.8963877360026,131.10210658482143,131.10210658482143,131.10210658482143
