Date,High,Low,Open,Close,Volume,Adj Close,GD-15ma,GD-50ma,GD-100ma,GD-200ma
2000-03-06,19.875,18.875,19.5,18.90625,2772400.0,12.716559410095215,14.063185755411784,15.631984667344527,15.631984667344527,15.631984667344527
2000-03-07,18.78125,18.125,18.5,18.5,1778600.0,12.443309783935547,13.96089235941569,15.561125225490994,15.561125225490994,15.561125225490994
2000-03-08,19.84375,18.6875,18.8125,18.75,4481200.0,12.611462593078613,13.87541446685791,15.497002124786377,15.497002124786377,15.497002124786377
2000-03-09,20.0625,18.375,18.53125,19.90625,2275800.0,13.389172554016113,13.836178588867188,15.452154687110413,15.452154687110413,15.452154687110413
2000-03-10,20.0,18.625,19.9375,19.65625,2295600.0,13.221022605895996,13.75070120493571,15.40567276875178,15.40567276875178,15.40567276875178
2000-03-13,19.59375,19.125,19.25,19.53125,1523200.0,13.136940956115723,13.687643496195475,15.35937211951431,15.35937211951431,15.35937211951431
2000-03-14,20.1875,19.625,19.625,20.0625,2276600.0,13.49426555633545,13.623184712727864,15.322069988250732,15.322069988250732,15.322069988250732
2000-03-15,22.5,20.34375,20.5625,21.6875,2593200.0,14.587265968322754,13.628790219624838,15.285255393981934,15.30766206629136,15.30766206629136
2000-03-16,22.59375,21.53125,22.375,22.5625,2873200.0,15.175793647766113,13.693248430887857,15.246399211883546,15.305126135165875,15.305126135165875
2000-03-17,23.3125,22.53125,22.5625,22.875,2616000.0,15.38598918914795,13.756305694580078,15.188308334350586,15.306651853165537,15.306651853165537
2000-03-20,23.125,22.625,22.8125,23.03125,1816200.0,15.491086959838867,13.823567390441895,15.131063728332519,15.31006731810393,15.31006731810393
2000-03-21,23.375,22.8125,23.0,23.25,1805800.0,15.638216018676758,13.896433258056641,15.067135162353516,15.316033658114346,15.316033658114346
2000-03-22,23.25,22.625,23.0625,22.96875,1701800.0,15.449047088623047,13.976306025187174,15.002771415710448,15.31840889794486,15.31840889794486
2000-03-23,23.4375,22.46875,22.9375,23.21875,829000.0,15.617197036743164,14.095414352416991,14.946793403625488,15.323650795116759,15.323650795116759
2000-03-24,24.46875,23.0,23.21875,24.125,1523200.0,16.226749420166016,14.305605252583822,14.914844284057617,15.339221461065884,15.339221461065884
2000-03-27,24.125,23.75,24.0,23.90625,1066200.0,16.079618453979492,14.529809188842773,14.879952545166015,15.351770562640692,15.351770562640692
2000-03-28,24.25,23.5,23.5,23.5625,760600.0,15.848410606384277,14.756815910339355,14.837914371490479,15.360047896703085,15.360047896703085
2000-03-29,23.71875,23.1875,23.6875,23.53125,655000.0,15.827390670776367,14.971211115519205,14.805965404510498,15.367709253655105,15.367709253655105
2000-03-30,24.4375,23.65625,23.65625,24.15625,1057200.0,16.247770309448242,15.16178429921468,14.789570522308349,15.381903786813059,15.381903786813059
2000-03-31,25.71875,24.09375,24.21875,24.875,2170800.0,16.731203079223633,15.395796330769857,14.792407970428467,15.403321235898941,15.403321235898941
2000-04-03,25.625,24.53125,25.0,25.4375,1360600.0,17.10955810546875,15.660637474060058,14.802497272491456,15.42998118698597,15.42998118698597
2000-04-04,26.9375,25.125,25.34375,25.96875,2935800.0,17.466880798339844,15.925478490193685,14.83949094772339,15.461318104083722,15.461318104083722
2000-04-05,25.6875,25.15625,25.6875,25.4375,1840400.0,17.195640563964844,16.099370129903157,14.866855945587158,15.487595717112223,15.487595717112223
2000-04-06,25.9375,25.09375,25.4375,25.5625,1147400.0,17.280139923095703,16.2396598815918,14.89675168991089,15.514350108246305,15.514350108246305
2000-04-07,25.8125,25.25,25.5,25.375,1199600.0,17.153379440307617,16.357485898335774,14.923691844940185,15.538453480776619,15.538453480776619
2000-04-10,25.5,24.9375,25.25,25.375,948200.0,17.153379440307617,16.468305397033692,14.948950614929199,15.561858204827793,15.561858204827793
2000-04-11,25.6875,24.5,24.5,25.59375,1848800.0,17.301259994506836,16.579174995422363,14.978007602691651,15.586706801823206,15.586706801823206
2000-04-12,26.5625,25.5625,25.5625,26.15625,1999600.0,17.68151092529297,16.728005917867026,15.006682415008544,15.61621108525236,15.61621108525236
2000-04-13,26.96875,25.71875,26.15625,26.375,1707400.0,17.829387664794922,16.875485293070476,15.043779850006104,15.646949648857117,15.646949648857117
2000-04-14,26.1875,25.375,26.1875,25.6875,1644400.0,17.364635467529297,16.951344362894694,15.079989757537842,15.670479591578653,15.670479591578653
2000-04-17,25.375,24.40625,25.0,25.21875,1580200.0,17.047765731811523,17.015887514750162,15.114486465454101,15.689091566446665,15.689091566446665
2000-04-18,25.75,24.0,24.25,25.125,1213800.0,16.98438835144043,17.091619364420573,15.154862136840821,15.706362190246582,15.706362190246582
2000-04-19,26.6875,25.1875,25.21875,26.0,1363600.0,17.57587242126465,17.208184814453126,15.217156639099121,15.730961009075767,15.730961009075767
2000-04-20,28.5625,26.78125,27.0,26.78125,4014600.0,18.10400390625,17.331933720906576,15.298421306610107,15.761779748000107,15.761779748000107
2000-04-24,29.0625,26.65625,26.65625,29.0,3737200.0,19.603872299194336,17.523445002237956,15.406740760803222,15.81103734481029,15.81103734481029
2000-04-25,29.96875,28.46875,29.0,29.65625,3771200.0,20.047489166259766,17.719307072957356,15.528977260589599,15.8646633172337,15.8646633172337
2000-04-26,29.8125,28.0625,29.625,28.4375,4102600.0,19.223623275756836,17.83642323811849,15.633895511627196,15.90665031671524,15.90665031671524
2000-04-27,29.6875,27.59375,27.59375,29.6875,3880600.0,20.068618774414062,18.027955118815104,15.757395267486572,15.958032643353498,15.958032643353498
2000-04-28,29.46875,28.71875,29.375,29.25,2036400.0,19.772865295410156,18.194136810302734,15.873298358917236,16.004554992768824,16.004554992768824
2000-05-01,29.5,28.1875,28.53125,29.46875,3383800.0,19.92074203491211,18.378627649943034,15.981649532318116,16.051737969180188,16.051737969180188
2000-05-02,29.15625,28.5,28.90625,28.59375,1337200.0,19.32925796508789,18.52368621826172,16.086578559875488,16.090756064369565,16.090756064369565
2000-05-03,28.5625,27.8125,28.46875,27.90625,901800.0,18.864501953125,18.627902348836262,16.174645652770995,16.123388368943157,16.123388368943157
2000-05-04,28.3125,27.4375,27.75,27.90625,1310400.0,18.864501953125,18.706768417358397,16.26187202453613,16.155261782712714,16.155261782712714
2000-05-05,28.90625,27.65625,27.84375,28.5,652400.0,19.265872955322266,18.802534103393555,16.36301107406616,16.19101593412202,16.19101593412202
2000-05-08,28.53125,27.9375,28.375,28.03125,692400.0,18.948999404907227,18.908158365885416,16.453188457489013,16.222356655380942,16.222356655380942
2000-05-09,28.90625,27.6875,28.0,28.75,1293800.0,19.43487548828125,19.06729901631673,16.552242736816407,16.25845237260454,16.25845237260454
2000-05-10,28.9375,27.75,28.3125,27.875,1231200.0,18.843379974365234,19.191231791178385,16.6382057762146,16.287173790401884,16.287173790401884
2000-05-11,28.59375,27.96875,28.0,28.25,566600.0,19.096866607666016,19.292631403605142,16.735123996734618,16.318049535646544,16.318049535646544
2000-05-12,28.875,27.90625,27.90625,28.21875,911000.0,19.075759887695312,19.357415135701498,16.84002775192261,16.348024648168813,16.348024648168813
2000-05-15,28.71875,28.09375,28.09375,28.46875,1681000.0,19.2447509765625,19.33347371419271,16.963445053100585,16.379172243097777,16.379172243097777
2000-05-16,28.96875,28.0625,28.46875,28.125,1887000.0,19.012378692626953,19.264466349283854,17.089361438751222,16.407185077667236,16.407185077667236
2000-05-17,27.78125,27.28125,27.3125,27.3125,1950600.0,18.46312713623047,19.213766606648765,17.20975778579712,16.428826573020533,16.428826573020533
2000-05-18,28.28125,27.40625,27.40625,27.84375,1598400.0,18.822248458862305,19.130675252278646,17.333973503112794,16.45375805099805,16.45375805099805
2000-05-19,28.5,27.71875,27.75,28.40625,1643400.0,19.202499389648438,19.092650858561196,17.450240039825438,16.482095590571767,16.482095590571767
2000-05-22,28.5625,27.8125,28.28125,28.09375,1248400.0,18.99124526977539,19.030684407552084,17.565644493103026,16.507699158726908,16.507699158726908
2000-05-23,28.6875,27.96875,27.96875,28.46875,911800.0,19.2447509765625,19.025050608317056,17.687800693511964,16.53534614678585,16.53534614678585
