Date,High,Low,Open,Close,Volume,Adj Close,BKNG-15ma,BKNG-50ma,BKNG-100ma,BKNG-200ma
2000-01-03,318.0,288.0,315.0,307.5,847700.0,307.5,307.5,307.5,307.5,307.5
2000-01-04,343.5,307.5,308.25,324.0,972700.0,324.0,315.75,315.75,315.75,315.75
2000-01-05,385.3125,327.75,331.5,359.625,1605400.0,359.625,330.375,330.375,330.375,330.375
2000-01-06,384.75,326.25,368.25,345.0,1175200.0,345.0,334.03125,334.03125,334.03125,334.03125
2000-01-07,364.5,333.75,358.125,343.5,339400.0,343.5,335.925,335.925,335.925,335.925
2000-01-10,357.75,317.25,352.125,325.5,2018800.0,325.5,334.1875,334.1875,334.1875,334.1875
2000-01-11,342.0,311.25,322.5,316.875,842900.0,316.875,331.7142857142857,331.7142857142857,331.7142857142857,331.7142857142857
2000-01-12,325.125,306.0,321.75,306.75,283700.0,306.75,328.59375,328.59375,328.59375,328.59375
2000-01-13,319.125,300.0,318.65625,309.75,299400.0,309.75,326.5,326.5,326.5,326.5
2000-01-14,342.0,313.5,315.0,341.25,789700.0,341.25,327.975,327.975,327.975,327.975
2000-01-18,355.875,333.0,334.5,355.125,572700.0,355.125,330.4431818181818,330.4431818181818,330.4431818181818,330.4431818181818
2000-01-19,377.25,349.875,354.0,374.625,710400.0,374.625,334.125,334.125,334.125,334.125
2000-01-20,372.0,354.0,370.875,371.625,580500.0,371.625,337.00961538461536,337.00961538461536,337.00961538461536,337.00961538461536
2000-01-21,387.0,369.0,374.25,381.0,825300.0,381.0,340.1517857142857,340.1517857142857,340.1517857142857,340.1517857142857
2000-01-24,386.625,357.0,383.625,359.625,401500.0,359.625,341.45,341.45,341.45,341.45
2000-01-25,379.5,336.0,358.875,377.625,414700.0,377.625,346.125,343.7109375,343.7109375,343.7109375
2000-01-26,408.375,379.5,382.125,397.5,878300.0,397.5,351.025,346.875,346.875,346.875
2000-01-27,415.5,378.375,406.5,384.75,1031900.0,384.75,352.7,348.9791666666667,348.9791666666667,348.9791666666667
2000-01-28,385.125,348.0,384.375,357.75,568800.0,357.75,353.55,349.4407894736842,349.4407894736842,349.4407894736842
2000-01-31,359.25,339.0,358.5,348.0,343900.0,348.0,353.85,349.36875,349.36875,349.36875
2000-02-01,350.25,338.25,350.25,343.5,205500.0,343.5,355.05,349.0892857142857,349.0892857142857,349.0892857142857
2000-02-02,372.0,343.5,343.5,357.375,390000.0,357.375,357.75,349.46590909090907,349.46590909090907,349.46590909090907
2000-02-03,370.5,347.25,365.625,357.375,354000.0,357.375,361.125,349.8097826086956,349.8097826086956,349.8097826086956
2000-02-04,372.0,355.5,369.0,362.25,246900.0,362.25,364.625,350.328125,350.328125,350.328125
2000-02-07,371.25,348.0,351.75,361.5,329700.0,361.5,365.975,350.775,350.775,350.775
2000-02-08,362.25,338.25,361.5,348.375,1567000.0,348.375,365.525,350.6826923076923,350.6826923076923,350.6826923076923
2000-02-09,356.25,339.0,350.625,350.625,529100.0,350.625,363.925,350.68055555555554,350.68055555555554,350.68055555555554
2000-02-10,351.0,336.0,350.625,337.5,307900.0,337.5,361.65,350.20982142857144,350.20982142857144,350.20982142857144
2000-02-11,339.75,321.0,339.0,323.25,235700.0,323.25,357.8,349.2801724137931,349.2801724137931,349.2801724137931
2000-02-14,334.125,323.25,329.625,326.25,228400.0,326.25,355.575,348.5125,348.5125,348.5125
2000-02-15,331.5,313.5,331.5,318.0,221400.0,318.0,351.6,347.5282258064516,347.5282258064516,347.5282258064516
2000-02-16,321.75,312.75,317.25,317.625,193000.0,317.625,346.275,346.59375,346.59375,346.59375
2000-02-17,334.5,317.25,324.75,330.0,281400.0,330.0,342.625,346.09090909090907,346.09090909090907,346.09090909090907
2000-02-18,330.0,306.0,329.25,306.0,290800.0,306.0,339.175,344.9117647058824,344.9117647058824,344.9117647058824
2000-02-22,312.0,291.0,306.375,300.75,242700.0,300.75,336.025,343.65,343.65,343.65
2000-02-23,318.75,300.375,301.125,311.25,313100.0,311.25,333.875,342.75,342.75,342.75
2000-02-24,345.0,319.875,339.0,340.5,894800.0,340.5,332.75,342.68918918918916,342.68918918918916,342.68918918918916
2000-02-25,345.75,328.5,343.875,341.25,401100.0,341.25,331.675,342.6513157894737,342.6513157894737,342.6513157894737
2000-02-28,345.0,321.0,344.625,323.25,229100.0,323.25,329.075,342.15384615384613,342.15384615384613,342.15384615384613
2000-02-29,342.0,312.0,324.75,335.625,465300.0,335.625,327.35,341.990625,341.990625,341.990625
2000-03-01,388.5,354.0,354.75,386.25,2040800.0,386.25,329.875,343.0701219512195,343.0701219512195,343.0701219512195
2000-03-02,430.5,393.0,393.0,429.0,1558600.0,429.0,335.1,345.11607142857144,345.11607142857144,345.11607142857144
2000-03-03,450.375,422.625,435.0,450.0,1235600.0,450.0,342.6,347.55523255813955,347.55523255813955,347.55523255813955
2000-03-06,558.0,452.25,453.0,541.125,2516400.0,541.125,357.125,351.95454545454544,351.95454545454544,351.95454545454544
